species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Hoylesella buccalis,0,0,0,0,830,2057,9138,3048
Hoylesella timonensis,0,0,0,0,483,1257,8231,1823
Huintestinicola butyrica,0,4,0,1,0,0,0,0
Hydrogenophaga intermedia,0,0,0,0,0,0,0,1
Intestinibacter bartlettii,0,0,0,0,613,1596,8445,2293
Intestinimonas timonensis,0,7,0,0,0,0,0,0
Kandleria vitulina,0,0,0,0,3,8,28,7
Kitasatospora cinereorecta,0,0,0,0,0,0,0,1
Klebsiella aerogenes,0,0,0,0,0,0,0,3
Klebsiella africana,0,0,0,0,0,0,2,0
Klebsiella electrica,0,0,0,0,0,0,5,0
Klebsiella michiganensis,0,0,0,0,0,0,13,0
Klebsiella pasteurii,0,0,0,0,0,0,2,0
Klebsiella pneumoniae,0,0,0,0,2503,5746,17593,9406
Klebsiella quasipneumoniae,0,0,0,0,3,3,3,4
Klebsiella quasivariicola,0,0,0,0,0,0,4,0
Klebsiella variicola,0,0,0,0,730,2706,13980,2782
Kluyvera intermedia,0,0,0,0,0,0,2,0
Kosakonia oryzae,0,0,0,0,0,0,3,0
Lachnospira eligens,0,2,0,0,5581,14738,7967,9059
Lachnospira hominis (ex Hitch et al. 2024),0,0,0,0,0,0,0,17
Lachnospira pectinoschiza,0,0,0,0,3808,9970,7633,6125
Lacrimispora indolis,0,0,0,0,0,0,0,2
Lactimicrobium massiliense,0,0,0,0,0,0,1,0
Lactobacillus rogosae,1,0,0,0,0,0,0,0
Lactonifactor longoviformis,0,1,2,2,0,0,0,1
Laedolimicola ammoniilytica,0,0,0,0,10,11,8,0
Leucobacter celer,0,0,0,0,0,0,2,0
Leyella stercorea,24,139,0,0,2565,6673,8078,4133
Ligaoa zhengdingensis,0,0,2,0,0,0,0,0
Ligilactobacillus animalis,0,0,0,0,0,1,2,0
Ligilactobacillus ruminis,0,0,0,0,512,1338,5838,1929
Limosilactobacillus albertensis,0,10,0,5,0,0,5,0
Luxibacter massiliensis,0,0,0,9,1,0,24,0
Maccoya intestinihominis,0,0,0,0,0,1,0,0
Massilioclostridium coli,0,0,0,0,2,0,0,2
Mediterraneibacter agrestimuris,0,0,0,0,0,0,9,0
Mediterraneibacter catenae,0,0,1,0,0,0,0,0
Mediterraneibacter glycyrrhizinilyticus,5,0,0,0,5,0,19,12
Mediterraneibacter gnavus,0,0,0,0,2015,5415,10423,7914
Megasphaera elsdenii,0,0,0,0,332,869,7012,1252
Megasphaera stantonii,8,0,0,1,0,0,0,0
Merdibacter massiliensis,2,14,0,0,0,0,0,0
Merdimonas faecis,0,0,0,0,7,0,0,1
Mesopusillimonas faecipullorum,0,0,0,0,0,0,1,0
Methanobrevibacter smithii,0,0,0,0,2647,6922,5241,4254
Mixta hanseatica,0,0,0,0,1,0,0,0
Monoglobus pectinilyticus,0,0,0,10,392,1025,7754,1468
Muricoprocola aceti,0,0,0,0,0,1,0,0
Negativibacillus massiliensis,0,0,0,0,1,0,0,0
Odoribacter splanchnicus,0,0,0,0,3173,8282,12511,5128
Parabacteroides distasonis,37,53,66,1,10157,27158,16257,16321
Parabacteroides goldsteinii,0,0,0,6,0,0,0,0
Parabacteroides hominis,5,29,0,0,0,0,0,0
Parabacteroides leei,0,0,0,3,0,43,5,4
Parabacteroides merdae,0,7,0,0,5732,15059,12097,9275
Parafannyhessea umbonata,0,0,0,0,0,5,0,3
Paraprevotella xylaniphila,3,1,3,11,816,2120,11995,3481
Parasutterella excrementihominis,0,0,0,0,760,1992,7985,2869
Pectobacterium punjabense,0,0,0,0,0,0,1,0
Peptoniphilus obesi,0,0,0,0,2,0,0,0
