species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Mediterraneibacter gnavus,0,0,0,0,20700,54204,100182,77851
Megasphaera elsdenii,0,0,0,0,3324,8692,70107,12522
Megasphaera hexanoica,0,0,0,0,0,59,39,49
Megasphaera micronuciformis,0,0,0,0,0,0,0,1
Megasphaera stantonii,0,0,0,0,0,0,18,2
Merdibacter massiliensis,0,0,0,0,4,0,0,24
Merdimonas faecis,0,0,0,0,0,0,11,14
Mesobacillus jeotgali,0,0,0,0,0,0,1,0
Methanobrevibacter smithii,0,0,0,0,26469,69219,52409,42545
Monoglobus pectinilyticus,0,0,0,0,3895,10193,77443,14599
Neobacillus endophyticus,0,0,0,0,0,4,5,0
Neobacillus soli,0,0,0,0,0,0,1,0
Novisyntrophococcus fermenticellae,0,0,8,0,0,0,0,0
Odoribacter splanchnicus,0,0,0,0,31355,83014,124536,50337
Palleniella muris,0,2,0,0,0,0,0,0
Parabacteroides acidifaciens,0,16,0,15,0,0,0,0
Parabacteroides distasonis,517,562,731,171,98428,270005,139464,162135
Parabacteroides hominis,94,226,277,29,0,5,21,23
Parabacteroides leei,0,0,58,0,1,97,166,109
Parabacteroides merdae,21,170,10,114,54283,143019,112582,87430
Parafannyhessea umbonata,0,0,0,0,0,6,0,0
Paraprevotella xylaniphila,399,549,1460,367,8097,20966,110195,30257
Parasutterella excrementihominis,0,0,0,0,7607,19877,79863,28706
Pectobacterium aroidearum,0,0,0,0,0,0,4,0
Pectobacterium carotovorum,0,0,0,0,0,0,4,0
Pectobacterium colocasium,0,0,0,0,0,0,1,0
Pectobacterium odoriferum,0,0,0,0,0,3,0,0
Pectobacterium polaris,0,0,0,0,0,0,2,0
Pectobacterium quasiaquaticum,0,0,0,0,0,0,19,0
Peptoniphilus asaccharolyticus,0,0,0,0,0,2,2,1
Peptostreptococcus anaerobius,0,0,0,0,0,0,0,1
Peribacillus frigoritolerans,0,0,0,0,0,0,1,0
Peribacillus simplex,0,0,0,0,0,0,1,0
Phascolarctobacterium faecium,0,0,0,0,6946,18162,69376,26190
Phascolarctobacterium succinatutens,0,0,0,0,21110,55237,66055,33874
Phocaeicola barnesiae,0,0,1,0,0,0,0,0
Phocaeicola coprocola,182,169,192,13,11913,31939,99529,47071
Phocaeicola coprophilus,3,2,3,0,0,0,0,0
Phocaeicola dorei,447813,680141,1854744,408037,201265,186865,183202,329358
Phocaeicola faecalis,18,45,9,1,0,0,3,0
Phocaeicola faecicola,37,100,402,6,0,2,15,16
Phocaeicola fibrisolvens,3,0,3,1,0,0,0,0
Phocaeicola intestinalis,1,0,0,0,0,0,0,0
Phocaeicola massiliensis,0,0,0,0,18502,46997,109717,71799
Phocaeicola plebeius,119,65,826,40,87638,243822,112055,134008
Phocaeicola sartorii,0,0,1,0,5,12,48,15
Phocaeicola vulgatus,1200357,1805186,1287938,2237022,525947,496372,124607,847824
Phytobacter ursingii,0,0,0,0,0,7,3,0
Phytophthora ramorum,0,0,0,0,0,1,0,0
Pilosibacter fragilis,3,8,6,0,252,633,355,432
Porphyromonas gingivalis,0,0,0,1,0,0,0,0
Prevotella bivia,0,7,27,2,13510,35147,67144,50637
Prevotella brunnea,0,0,0,0,0,1,0,0
Prevotella corporis,0,0,0,0,4667,10922,77963,16682
Prevotella disiens,0,21,0,0,3366,8718,70603,12670
Prevotella herbatica,0,11,4,4,11,0,0,2
Prevotella marseillensis,60,59,86,19,2,0,0,1
Prevotella merdae,11,2,1,0,22,0,2,0
Prevotella pectinovora,1,1,0,1,5,0,0,0
Prevotella rectalis,0,0,0,0,1,0,9,1
Prevotella sp. B2-R-102,0,0,0,0,1,0,0,0
Prevotella veroralis,0,0,0,0,5,0,0,0
Prevotellamassilia timonensis,0,0,0,0,3,0,0,4
Proteus terrae,0,0,0,0,0,0,1,0
Provencibacterium massiliense,0,0,0,0,0,0,18,0
Providencia manganoxydans,0,0,0,0,0,0,0,2
Providencia rettgeri,0,0,0,0,0,1,0,0
Providencia zhijiangensis,0,0,0,0,0,0,2,0
Pseudoflavonifractor capillosus,0,0,0,0,0,1,0,0
Pseudoflavonifractor sp. P01024,0,0,0,0,2,0,38,0
Pseudoflavonifractor sp. P01025,0,0,0,0,0,0,2,0
Pseudomonas alloputida,0,0,0,0,3,1,0,0
Pseudomonas juntendi,0,0,0,0,0,0,10,1
Pseudoramibacter porci,0,0,0,0,4,0,0,0
Raoultella ornithinolytica,0,0,0,0,0,0,21,0
Raoultella planticola,0,0,0,0,2,0,7,5
Rikenella microfusus,0,0,4,0,0,0,0,0
Robertmurraya siralis,0,0,0,0,0,0,1,0
Romboutsia hominis,0,0,0,0,0,0,0,1
Romboutsia ilealis,0,0,0,0,0,0,5,0
Roseburia amylophila,0,0,4,0,0,0,0,0
Roseburia faecis,7,7,13,3,126866,359844,98610,215159
Roseburia hominis,7,2,0,4,20444,52456,121436,90579
Roseburia intestinalis,1,24,94,0,43961,115178,120680,72016
Roseburia inulinivorans,51,63,14,31,73315,171288,121563,93040
Roseburia rectibacter,0,7,0,0,0,0,0,0
Roseburia yibonii,0,0,0,0,0,10,2,0
Roseburia zhanii,156,259,366,155,31,65,178,77
Ruminococcoides intestinihominis,0,0,0,0,1,2,0,3
Ruminococcus bromii,265848,400001,533860,513652,114137,103738,51970,183557
Ruminococcus hominis,0,0,0,8,26,88,55,21
[Ruminococcus] lactaris,0,0,0,0,18823,49232,75540,30334
[Ruminococcus] torques,0,0,0,0,59558,154153,80336,95710
Ruthenibacterium intestinale,0,0,0,0,0,0,27,22
Ruthenibacterium lactatiformans,0,0,0,0,17303,44940,114602,64642
Schaedlerella arabinosiphila,0,0,0,0,1,0,0,0
Segatella bryantii,22,0,0,9,0,0,0,0
Segatella copri,5030798,2523210,1027126,2368289,4968339,479560,100453,846183
