Total Number of Aligned Reads:	8552997	Total Number of Mapped Genomes:	13214
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362246.1	0.01057854462478585	0.009669826845490535	82706.0	0.009669593009327607	2.3383616292628186e-07	0.010263911530886875	0.009182683019464864	78539.46031743393	0.00880311310760427	0.002125570720999902
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499580.1	0.010005290079613514	0.010001289606438538	85541.0	0.009999886589460981	1.4030169775576912e-06	0.009795860545611056	0.009363771214927341	80088.3071099599	0.009320241781915742	0.0010390509899629334
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362243.1	0.00926316510511999	0.008133874009309252	69569.0	0.008123702136221959	1.0171873087293262e-05	0.009263163783103658	0.008076399933825001	69077.42440480544	0.008093888025448857	0.00030293474907099814
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703862.1	0.009177593953710464	0.007837252836637262	67032.0	0.007836083655822631	1.1691808146314093e-06	0.009216672904412589	0.0079383142026019	67896.37755991145	0.007874198950379616	0.00020788034884146458
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000002.1	0.009005773763326183	0.009256755263681258	79173.0	0.009174328016249742	8.242724743151435e-05	0.008752123180721699	0.00834422545891861	71368.1353174545	0.00803776734634655	0.0011825094759182074
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703863.1	0.008949593281310933	0.007532915070588707	64429.0	0.007525899985700918	7.015084887788456e-06	0.008952074090697782	0.007570650381381062	64751.75000000108	0.007504270140630238	0.0001682451192254598
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362240.1	0.00850841956132388	0.007346313812573534	62833.0	0.007346313812573534	0.0	0.008511863237356752	0.0073295676564653495	62689.77017704517	0.007316733537963359	5.5419170613528804e-05
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362239.1	0.008391662990546264	0.00711984348877943	60896.0	0.00711984348877943	0.0	0.008400601223978267	0.007195372569404619	61542.0	0.007282710376257585	0.0
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362242.1	0.007896680470833237	0.0074617119589776544	63820.0	0.007461478122814728	2.3383616292628186e-07	0.007788688257099292	0.007184825584139269	61451.79166666642	0.007113179158136031	0.00042897244088826406
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362241.1	0.007456615094254423	0.006931371541460847	59284.0	0.006931371541460847	0.0	0.007247218753192388	0.006349645627142768	54308.500000015214	0.006091899716555495	0.0007721270099825827
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362245.1	0.007188511340208586	0.0067699076709602495	57903.0	0.006757514354325156	1.2393316635092938e-05	0.007942406765871896	0.009052720990384034	77427.89547259167	0.007496319711090744	0.005717060347384666
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703864.1	0.006964991306611345	0.005925759122796372	50683.0	0.005923537679248572	2.2214435477996776e-06	0.0071649839223753495	0.00671511269094873	57434.338700346416	0.006670994974042432	0.0016472588497341925
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000003.1	0.006818152033982052	0.0059422445722826745	50824.0	0.005911495116857869	3.074945542480606e-05	0.006786274146421811	0.005974471324782198	51099.63531744816	0.00582778177053026	0.0008372503813575522
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499581.1	0.0053278089783634665	0.0046403617351906	39689.0	0.0046403617351906	0.0	0.005295981409193311	0.004537984365792374	38813.36666666908	0.00448287307945975	0.00019805922999856075
ti|537011|org|Prevotella_copri_DSM_18205|accession|NZ_GG703865.1	0.0052508325257021515	0.004320240028144521	36951.0	0.00431836933884111	1.8706893034102549e-06	0.005367506655453524	0.004662371146459542	39877.24642855502	0.0043456112518220225	0.0014248806587912985
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000004.1	0.00452897374538068	0.00399824763179503	34197.0	0.003982697526960433	1.5550104834597744e-05	0.00453972163831393	0.004014997538846567	34340.261904762076	0.003933124260420061	0.0002896060877842001
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000005.1	0.00441360283996227	0.0038108279472096156	32594.0	0.0038102433568023	5.845904073157047e-07	0.0044569991016194885	0.004029380411501046	34463.27857142721	0.0037999545656335434	0.0009313694369353807
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000006.1	0.004215404871361907	0.0036721631025943306	31408.0	0.0036656156900323946	6.547412561935892e-06	0.004245224983216881	0.003741480353389586	32000.87023810007	0.0035684567643365244	0.0009853855905713517
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362234.1	0.004215189326878791	0.0035968678581320677	30764.0	0.0035968678581320677	0.0	0.004214888964586739	0.0035889758876333057	30696.5	0.0035891512647555	0.0
ti|411479|org|Bacteroides_uniformis_ATCC_8492|accession|NZ_DS362238.1	0.003595208666072028	0.003944114560077597	33734.0	0.003944114560077597	0.0	0.003592090849318092	0.004006789611151453	34270.05952380955	0.0038753667281772692	0.0005975683143581133
ti|411903|org|Collinsella_aerofaciens_ATCC_25986|accession|NZ_AAVN02000007.1	0.0035351447164968966	0.0032656389333469895	27931.0	0.0032640020802065053	1.636853140483973e-06	0.0034968231537423973	0.0031015420579834927	26527.47991730664	0.0028233378311719273	0.001220274016230802
