"old_name","current_name"
"Pseudomonas sp. [ref_mOTU_v31_00142]","Pseudomonas sp."
"Pseudomonas sp. [ref_mOTU_v31_00144]","Pseudomonas sp."
"Pseudomonas sp. Pf153 [ref_mOTU_v31_00145]","Pseudomonas sp. Pf153"
"Pseudomonas sp. [ref_mOTU_v31_00146]","Pseudomonas sp."
"Pseudomonas chlororaphis [ref_mOTU_v31_00147]","Pseudomonas chlororaphis"
"Pseudomonas mediterranea/corrugata [ref_mOTU_v31_00148]","Pseudomonas mediterranea/corrugata"
"Pseudomonas sp. [ref_mOTU_v31_00149]","Pseudomonas sp."
"Pseudomonas sp. [ref_mOTU_v31_00150]","Pseudomonas sp."
"Pseudomonas sp. Leaf48 [ref_mOTU_v31_00151]","Pseudomonas sp. Leaf48"
"Pseudomonas moorei/mohnii [ref_mOTU_v31_00152]","Pseudomonas moorei/mohnii"
"Pseudomonas sp. KK4 [ref_mOTU_v31_00153]","Pseudomonas sp. KK4"
"Pseudomonas fluorescens/jessenii [ref_mOTU_v31_00154]","Pseudomonas fluorescens/jessenii"
"Pseudomonas sp. R37(2017) [ref_mOTU_v31_00155]","Pseudomonas sp. R37(2017)"
"Pseudomonas vancouverensis [ref_mOTU_v31_00156]","Pseudomonas vancouverensis"
"Pseudomonas sp. P1.8 [ref_mOTU_v31_00157]","Pseudomonas sp. P1.8"
"Pseudomonas frederiksbergensis/fluorescens [ref_mOTU_v31_00158]","Pseudomonas frederiksbergensis/fluorescens"
"Pseudomonas sp. Ant30-3 [ref_mOTU_v31_00159]","Pseudomonas sp. Ant30-3"
"Pseudomonas sp. ES3-33 [ref_mOTU_v31_00160]","Pseudomonas sp. ES3-33"
"Pseudomonas umsongensis/mandelii [ref_mOTU_v31_00161]","Pseudomonas umsongensis/mandelii"
"Pseudomonas silesiensis [ref_mOTU_v31_00162]","Pseudomonas silesiensis"
"Pseudomonas fluorescens/migulae [ref_mOTU_v31_00163]","Pseudomonas fluorescens/migulae"
"Pseudomonas sp. [ref_mOTU_v31_00164]","Pseudomonas sp."
"Pseudomonas prosekii [ref_mOTU_v31_00165]","Pseudomonas prosekii"
"Pseudomonas fluorescens [ref_mOTU_v31_00166]","Pseudomonas fluorescens"
"Pseudomonas sp. [ref_mOTU_v31_00167]","Pseudomonas sp."
"Pseudomonas koreensis/fluorescens [ref_mOTU_v31_00168]","Pseudomonas koreensis/fluorescens"
"Pseudomonas sp. [ref_mOTU_v31_00169]","Pseudomonas sp."
"Pseudomonas fluorescens/putida [ref_mOTU_v31_00170]","Pseudomonas fluorescens/putida"
"Pseudomonas fluorescens [ref_mOTU_v31_00171]","Pseudomonas fluorescens"
"Pseudomonas sp. URHB0015 [ref_mOTU_v31_00172]","Pseudomonas sp. URHB0015"
"Pseudomonas putida [ref_mOTU_v31_00173]","Pseudomonas putida"
"Pseudomonas japonica [ref_mOTU_v31_00174]","Pseudomonas japonica"
"Pseudomonas putida [ref_mOTU_v31_00175]","Pseudomonas putida"
"Pseudomonas donghuensis/putida [ref_mOTU_v31_00176]","Pseudomonas donghuensis/putida"
"Pseudomonas alkylphenolica [ref_mOTU_v31_00177]","Pseudomonas alkylphenolica"
"Pseudomonas vranovensis [ref_mOTU_v31_00178]","Pseudomonas vranovensis"
"Pseudomonas cremoricolorata [ref_mOTU_v31_00179]","Pseudomonas cremoricolorata"
"Pseudomonas sp. [ref_mOTU_v31_00180]","Pseudomonas sp."
