species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Alloalcanivorax dieselolei,4,3,11,3,8,3,2,3
Isoalcanivorax pacificus,1,2,4,5,2,2,4,5
Alcanivorax sp. NBRC 101098,2,NA,NA,1,NA,1,2,NA
Algibacter alginolytica,5,4,2,2,5,6,3,1
Algoriphagus sp. M8-2,9,3,3,4,9,2,4,2
Alicycliphilus,NA,2,NA,1,NA,NA,NA,NA
Alicycliphilus denitrificans,14,9,19,12,14,8,9,6
Alicyclobacillus acidocaldarius,3,5,7,10,3,8,3,1
Aliivibrio fischeri,1,1,1,1,1,4,3,3
Aliivibrio salmonicida,2,1,NA,1,4,1,2,2
Aliivibrio wodanis,NA,1,1,NA,2,1,2,6
Alistipes finegoldii,529,701,1062,463,747,1537,1480,1197
Alkalilimnicola,NA,NA,NA,NA,NA,NA,1,NA
Alkalilimnicola ehrlichii,5,4,7,7,6,1,3,4
Alkaliphilus metalliredigens,NA,NA,5,2,NA,5,8,8
Alkaliphilus oremlandii,2,5,1,5,2,6,4,8
Allochromatium,NA,NA,NA,1,NA,NA,NA,NA
Allochromatium vinosum,4,5,3,11,3,4,3,4
Allofrancisella guangzhouensis,1,1,1,NA,NA,NA,1,NA
alpha proteobacterium HIMB5,NA,NA,NA,1,NA,NA,NA,NA
alpha proteobacterium HIMB59,NA,NA,NA,NA,NA,2,NA,NA
Altererythrobacter,NA,3,2,2,NA,NA,1,NA
Altererythrobacter atlanticus,NA,1,6,1,7,4,NA,5
Altererythrobacter dongtanensis,4,3,4,2,4,1,1,2
Altererythrobacter epoxidivorans,NA,2,4,4,1,1,2,1
Altererythrobacter ishigakiensis,NA,3,2,NA,4,2,NA,NA
Altererythrobacter marensis,2,1,3,2,NA,2,NA,3
Altererythrobacter namhicola,3,3,2,1,2,3,NA,3
Alteromonas stellipolaris,1,NA,4,3,4,2,NA,1
Alteromonas australica,NA,1,1,NA,NA,1,1,NA
Alteromonas macleodii,7,3,NA,5,10,4,6,1
Alteromonas mediterranea,6,2,1,4,6,2,4,2
Alteromonas naphthalenivorans,1,1,1,NA,NA,1,NA,NA
Alteromonas sp. Mac1,2,NA,6,3,4,2,NA,1
Alteromonas stellipolaris,2,1,5,5,6,1,3,2
Aminobacter,NA,NA,NA,1,NA,NA,NA,NA
Aminobacter aminovorans,4,6,11,12,6,4,6,4
Aminobacterium colombiense,3,1,1,5,1,NA,1,2
Ammonifex degensii,2,5,5,4,NA,2,1,3
Amphibacillus xylanus,4,4,5,3,6,3,1,5
Amycolatopsis,1,NA,1,NA,2,NA,NA,NA
Amycolatopsis japonica,6,7,9,2,1,4,5,4
Amycolatopsis mediterranei,4,7,9,4,5,2,3,5
Amycolatopsis methanolica,3,7,8,11,1,NA,3,3
Amycolatopsis orientalis,7,14,15,7,3,4,5,4
Anabaena cylindrica,2,NA,1,2,NA,3,1,1
Anabaena sp. 90,1,3,3,4,1,NA,2,3
Anabaena sp. wa102,1,4,NA,4,1,2,2,1
Acetomicrobium mobile,NA,3,2,1,NA,1,NA,NA
Anaerococcus prevotii,7,7,5,8,4,8,11,7
Anaerolinea thermophila,3,6,4,3,NA,NA,2,6
Anaerolineaceae bacterium oral taxon 439,NA,4,1,1,3,3,2,3
Anaeromyxobacter dehalogenans,9,16,12,20,5,4,11,7
Anaeromyxobacter sp. Fw109-5,6,2,9,5,3,9,1,3
Anaeromyxobacter sp. K,5,7,11,7,2,2,7,6
Anaplasma centrale,2,1,NA,NA,1,NA,NA,NA
Anaplasma marginale,1,1,NA,NA,1,1,NA,NA
Anaplasma phagocytophilum,NA,1,NA,NA,1,2,1,NA
Aneurinibacillus sp. XH2,3,5,1,4,8,5,1,5
