species,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_50_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_50_noerr
Anaeromyxobacter sp. Fw109-5,4,4,11,4,3,5,1,4
Anaeromyxobacter sp. K,3,7,12,7,3,2,6,6
Anaplasma centrale,NA,1,NA,NA,NA,NA,NA,NA
Anaplasma marginale,1,1,NA,NA,NA,1,NA,NA
Anaplasma phagocytophilum,NA,1,NA,NA,NA,2,1,NA
Aneurinibacillus sp. XH2,1,4,NA,2,7,3,1,5
Anomala cuprea entomopoxvirus,NA,NA,NA,NA,NA,NA,1,NA
Anoxybacillus amylolyticus,1,3,NA,3,2,2,NA,2
Anoxybacillus flavithermus,1,NA,1,NA,2,3,NA,3
Anoxybacillus gonensis,1,1,2,3,4,2,4,4
Anoxybacillus sp. B2M1,1,2,2,NA,2,1,1,4
Anoxybacillus sp. B7M1,1,NA,2,1,2,1,NA,4
Aquifex aeolicus,NA,1,NA,NA,3,2,1,2
Arabis mosaic virus,NA,NA,NA,NA,NA,NA,NA,1
Arachidicoccus sp. BS20,2,5,3,5,4,6,2,5
Arcanobacterium haemolyticum,1,1,1,3,1,1,1,3
Archaeoglobus fulgidus,1,1,NA,NA,NA,1,NA,NA
Archaeoglobus profundus,NA,NA,NA,NA,1,1,1,NA
Archaeoglobus sulfaticallidus,NA,NA,NA,NA,NA,1,1,NA
Archaeoglobus veneficus,NA,2,1,1,1,NA,NA,NA
Archangium gephyra,14,13,12,7,7,4,5,5
Aliarcobacter butzleri,NA,1,1,NA,5,1,2,NA
Arcobacter nitrofigilis,1,2,1,2,2,2,3,NA
Arcobacter sp. L,NA,NA,NA,NA,2,4,2,1
Armadillidium vulgare iridescent virus,NA,1,NA,NA,NA,NA,NA,NA
Aromatoleum aromaticum,3,NA,2,2,1,NA,4,2
Arsenicicoccus sp. oral taxon 190,2,1,6,1,1,1,2,1
Arsenophonus symbiont of Lipoptena fortisetosa,NA,NA,NA,NA,1,NA,NA,NA
Arthrobacter,NA,1,1,1,NA,NA,NA,1
Arthrobacter alpinus,4,3,7,5,4,3,3,2
Arthrobacter sp. A3,4,4,4,3,5,2,4,1
Arthrobacter sp. ATCC 21022,2,NA,1,7,2,1,NA,NA
Arthrobacter sp. ERGS1:01,7,6,6,10,5,4,5,4
Arthrobacter sp. FB24,6,5,4,4,1,3,1,2
Arthrobacter sp. IHBB 11108,2,4,3,3,5,1,NA,3
Arthrobacter sp. LS16,9,6,8,8,1,2,NA,1
Arthrobacter sp. PAMC 25486,5,7,3,8,6,4,2,1
Arthrobacter sp. Rue61a,3,3,3,3,2,2,1,2
Arthrobacter sp. U41,1,2,1,6,4,4,2,2
Arthrobacter sp. YC-RL1,4,4,8,6,2,NA,2,NA
Arthrobacter sp. ZXY-2,3,3,3,3,3,1,NA,2
Asaia bogorensis,2,3,2,1,2,NA,NA,3
Aster yellows witches'-broom phytoplasma,NA,NA,NA,NA,NA,NA,NA,1
Asticcacaulis excentricus,8,4,3,6,3,2,NA,2
Lancefieldella parvula,8,12,12,9,2,4,4,4
Aureimonas sp. AU20,3,4,3,4,3,2,2,1
Azoarcus,NA,2,1,NA,NA,NA,1,NA
Azoarcus olearius,3,3,3,4,7,NA,2,3
Azoarcus sp. BH72,4,1,3,5,5,1,2,3
Azoarcus sp. CIB,5,NA,2,7,2,1,5,5
Azoarcus sp. KH32C,2,2,2,2,2,1,5,2
Azorhizobium caulinodans,8,8,3,9,3,4,1,8
Azospira oryzae,4,5,4,12,2,1,3,4
Azospirillum brasilense,9,11,16,11,3,6,8,8
Azospirillum humicireducens,5,11,2,4,3,1,NA,1
Azospirillum lipoferum,9,21,14,14,10,5,3,7
Azospirillum thiophilum,5,10,2,10,5,4,6,4
Azotobacter chroococcum,2,4,11,9,7,2,6,3
Azotobacter vinelandii,2,5,2,9,6,5,7,2
Bacillus amyloliquefaciens,3,8,10,9,6,15,2,4
Bacillus anthracis,NA,1,1,NA,6,3,3,4
Bacillus atrophaeus,2,4,1,4,1,4,3,5
Bacillus beveridgei,1,2,1,1,2,1,3,4
Bacillus bombysepticus,1,NA,1,1,2,4,1,4
Evansella cellulosilytica,2,NA,2,2,6,6,2,2
Bacillus cereus,12,5,11,7,20,24,18,20
Shouchella clausii,1,NA,NA,NA,3,1,1,NA
Heyndrickxia coagulans,1,8,2,8,2,8,6,6
Bacillus cytotoxicus,1,3,3,2,9,5,4,6
Priestia endophytica,1,2,NA,3,1,5,7,4
Bacillus gibsonii,1,3,2,NA,2,3,4,3
Bacillus glycinifermentans,1,NA,NA,NA,2,5,1,3
Halalkalibacterium halodurans,3,NA,NA,NA,3,3,3,4
Bacillus infantis,1,1,2,4,2,5,6,1
Shouchella lehensis,NA,2,NA,3,2,1,1,5
Bacillus licheniformis,1,3,2,3,1,1,3,3
Priestia megaterium,7,3,3,6,10,6,12,13
Bacillus methanolicus,NA,1,2,NA,4,4,4,2
Bacillus muralis,2,1,1,2,3,5,5,2
Bacillus mycoides,1,4,3,3,4,9,10,6
Cytobacillus oceanisediminis,2,2,NA,3,8,5,5,4
Bacillus paralicheniformis,1,2,5,4,2,6,6,3
Bacillus phage AR9,NA,NA,NA,NA,NA,NA,NA,1
Bacillus phage B4,NA,NA,NA,1,1,NA,1,NA
Bacillus phage BCP8-2,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage CP-51,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Deep Blue,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage JBP901,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage JL,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Shanette,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage SPP1,NA,NA,NA,1,NA,NA,NA,NA
Bacillus phage vB_BceM-Bc431v3,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Waukesha92,NA,NA,1,NA,NA,NA,NA,NA
Alkalihalophilus pseudofirmus,2,2,2,2,2,4,5,2
Bacillus pumilus,15,2,5,10,8,13,11,10
