species,Healthy_stool_10_1_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_50_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_100_noerr,Healthy_stool_100_50_noerr
Amycolatopsis mediterranei,55,74,64,60,39,35,47,50
Amycolatopsis methanolica,30,55,53,58,18,23,39,40
Amycolatopsis orientalis,37,74,84,55,28,56,52,63
Anabaena,NA,NA,NA,NA,NA,NA,NA,1
Anabaena cylindrica,3,9,8,9,8,28,12,21
Anabaena sp. 90,19,26,18,27,13,25,18,25
Anabaena sp. wa102,11,18,10,11,11,12,17,15
Acetomicrobium mobile,2,9,6,7,1,9,4,6
Anaerococcus prevotii,24,26,36,37,34,44,94,49
Anaerolinea thermophila,30,45,34,44,18,21,10,27
Anaerolineaceae bacterium oral taxon 439,16,13,19,24,8,19,34,19
Anaeromyxobacter,NA,NA,2,1,1,NA,1,NA
Anaeromyxobacter dehalogenans,84,90,107,104,48,60,74,70
Anaeromyxobacter sp. Fw109-5,46,45,53,42,33,26,29,36
Anaeromyxobacter sp. K,37,44,74,59,15,35,48,35
Anaplasma centrale,4,5,2,4,4,2,3,3
Anaplasma marginale,6,10,8,12,4,3,2,3
Anaplasma phagocytophilum,3,10,3,4,9,7,5,5
Anatid herpesvirus 1,NA,NA,NA,NA,NA,1,NA,NA
Aneurinibacillus,NA,NA,NA,NA,NA,NA,NA,1
Aneurinibacillus sp. XH2,40,29,14,30,41,27,38,33
Anguillid herpesvirus 1,NA,NA,NA,NA,NA,1,1,NA
Anomala cuprea entomopoxvirus,NA,1,NA,NA,1,2,3,1
Anoxybacillus amylolyticus,17,19,10,19,19,28,29,26
Anoxybacillus flavithermus,1,NA,3,5,11,29,23,14
Anoxybacillus gonensis,10,12,4,9,12,29,26,23
Anoxybacillus sp. B2M1,2,9,14,13,10,41,33,28
Anoxybacillus sp. B7M1,2,6,17,15,16,41,22,28
Aquifex aeolicus,9,4,1,4,17,7,4,11
Arabis mosaic virus,NA,NA,NA,NA,NA,NA,NA,1
Arachidicoccus sp. BS20,29,38,21,48,40,44,46,41
Arcanobacterium,NA,NA,NA,NA,1,NA,NA,NA
Arcanobacterium haemolyticum,10,19,13,21,9,12,16,14
Archaeoglobus fulgidus,7,4,NA,2,8,6,3,NA
Archaeoglobus profundus,3,3,4,3,1,6,4,5
Archaeoglobus sulfaticallidus,8,2,NA,2,8,7,2,3
Archaeoglobus veneficus,9,13,8,8,4,5,4,12
Archangium,NA,NA,NA,1,NA,NA,NA,NA
Archangium gephyra,72,99,92,76,54,43,36,62
Aliarcobacter butzleri,NA,4,9,6,21,29,29,29
Arcobacter nitrofigilis,14,7,4,7,15,19,30,16
Arcobacter sp. L,2,5,6,8,10,25,14,18
Armadillidium vulgare iridescent virus,12,10,3,8,13,NA,2,2
Aromatoleum aromaticum,32,25,18,21,27,15,23,25
Arsenicicoccus sp. oral taxon 190,17,23,26,22,12,11,24,25
Arsenophonus symbiont of Lipoptena fortisetosa,NA,NA,NA,NA,3,8,1,6
Arthrobacter,NA,1,1,3,2,NA,2,1
Arthrobacter alpinus,46,47,50,60,39,25,18,37
Arthrobacter phage vB_ArS-ArV2,1,2,4,NA,1,NA,NA,1
Arthrobacter sp. A3,38,34,30,49,48,22,14,21
Arthrobacter sp. ATCC 21022,20,27,29,30,7,11,12,19
Arthrobacter sp. ERGS1:01,37,49,61,52,20,28,24,42
Arthrobacter sp. FB24,35,45,46,50,14,20,15,32
Arthrobacter sp. IHBB 11108,27,24,16,30,21,12,13,15
Arthrobacter sp. LS16,53,38,39,55,27,21,21,28
Arthrobacter sp. PAMC 25486,37,46,32,33,34,18,15,25
Arthrobacter sp. Rue61a,30,33,45,40,17,8,11,17
Arthrobacter sp. U41,29,43,40,49,26,24,13,27
Arthrobacter sp. YC-RL1,40,63,47,67,25,27,21,26
Arthrobacter sp. ZXY-2,38,44,31,25,30,22,14,16
Asaia bogorensis,27,34,24,32,22,13,9,25
Aster yellows witches'-broom phytoplasma,NA,NA,NA,NA,1,3,4,5
Asticcacaulis,NA,1,NA,NA,NA,NA,NA,NA
Asticcacaulis excentricus,43,52,33,54,25,20,14,27
Lancefieldella parvula,69,99,119,63,36,43,33,53
Aurantimonadaceae,NA,1,NA,NA,NA,NA,NA,NA
Aureimonas,2,NA,1,NA,1,NA,NA,NA
Aureimonas sp. AU20,33,37,52,33,28,15,16,32
Aureococcus anophagefferens virus,NA,NA,NA,NA,1,NA,NA,1
Azoarcus,4,3,2,3,3,1,1,3
Azoarcus olearius,26,43,32,36,27,23,30,29
Azoarcus sp. BH72,23,39,37,39,29,22,29,27
Azoarcus sp. CIB,35,34,46,34,21,16,27,36
Azoarcus sp. KH32C,26,30,37,32,23,15,31,26
Azorhizobium caulinodans,64,57,72,70,45,26,39,51
Azospira,1,NA,NA,2,NA,NA,NA,1
Azospira oryzae,40,51,51,60,27,27,30,43
Azospirillum,1,3,1,2,2,NA,NA,1
Azospirillum brasilense,94,124,103,134,45,60,66,90
Azospirillum humicireducens,52,50,34,48,49,18,21,28
Azospirillum lipoferum,109,149,137,156,90,70,84,86
Azospirillum thiophilum,48,70,52,95,26,45,45,44
Azotobacter,NA,NA,NA,NA,NA,NA,1,NA
Azotobacter chroococcum,49,58,58,77,29,36,27,49
Azotobacter vinelandii,45,66,37,77,34,42,29,41
Bacillus
 
 <firmicutes>
 
,1,NA,NA,1,1,NA,NA,NA
Bacillus amyloliquefaciens,53,82,69,84,78,105,66,96
Bacillus anthracis,15,11,9,12,29,37,35,34
Bacillus atrophaeus,29,29,29,34,26,35,44,31
Bacillus beveridgei,16,20,13,27,28,33,26,26
Bacillus bombysepticus,13,6,9,10,27,46,34,34
Evansella cellulosilytica,18,6,10,15,29,37,33,25
Bacillus cereus,88,75,80,105,176,255,240,195
Shouchella clausii,2,3,3,3,6,14,21,9
Heyndrickxia coagulans,43,51,45,55,43,72,57,72
Bacillus cytotoxicus,17,9,23,28,34,39,44,46
Priestia endophytica,5,20,13,16,16,43,48,30
Bacillus gibsonii,12,22,15,16,18,44,39,37
Bacillus glycinifermentans,6,2,7,9,16,34,20,26
Halalkalibacterium halodurans,12,10,7,3,24,23,21,21
Bacillus infantis,23,23,21,26,35,62,52,34
Shouchella lehensis,6,6,6,5,15,33,23,25
Bacillus licheniformis,15,13,17,7,21,33,31,34
Priestia megaterium,36,38,25,30,61,63,109,78
Bacillus methanolicus,8,15,18,16,26,48,40,28
Bacillus muralis,9,13,4,18,14,36,27,36
Bacillus mycoides,24,22,17,31,48,108,95,69
Cytobacillus oceanisediminis,21,21,16,19,47,72,38,48
Bacillus paralicheniformis,17,22,23,19,25,40,30,33
Bacillus phage 0305phi8-36,NA,1,NA,NA,NA,NA,1,NA
Bacillus phage AR9,NA,NA,NA,NA,NA,1,1,1
Bacillus phage B4,2,NA,NA,1,2,NA,1,NA
Bacillus phage BCJA1c,NA,NA,NA,NA,NA,NA,NA,1
Bacillus phage Bcp1,NA,NA,NA,1,NA,NA,NA,NA
Bacillus phage BCP8-2,1,3,2,4,1,2,NA,1
Bacillus phage Belinda,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage CP-51,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Deep Blue,1,2,2,4,NA,2,NA,1
Bacillus phage DIGNKC,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage DirtyBetty,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Eldridge,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Evoli,NA,NA,NA,NA,NA,NA,2,NA
Bacillus phage Eyuki,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Fah,NA,NA,NA,NA,NA,NA,1,1
Bacillus phage Gamma,NA,NA,NA,NA,NA,NA,1,1
Bacillus phage Hakuna,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage JBP901,1,3,2,4,1,2,NA,1
Bacillus phage JL,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage Kida,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Megatron,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Nemo,NA,NA,NA,NA,1,1,NA,NA
Bacillus phage Nigalana,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage NotTheCreek,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage phi105,NA,NA,NA,NA,NA,1,1,NA
Bacillus phage phiAGATE,NA,NA,NA,NA,NA,1,NA,1
Bacillus phage SageFayge,NA,NA,NA,NA,NA,1,NA,NA
Bacillus phage Shanette,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage SP-15,NA,NA,NA,NA,NA,2,NA,NA
Bacillus phage Spock,NA,NA,NA,NA,NA,NA,1,NA
Bacillus phage SPP1,6,2,1,2,2,1,NA,NA
Bacillus phage TsarBomba,NA,NA,NA,NA,1,1,NA,NA
Bacillus phage vB_BanS-Tsamsa,NA,1,NA,NA,NA,1,NA,1
Bacillus phage vB_BceM-Bc431v3,1,2,2,4,NA,2,NA,1
Bacillus phage W.Ph.,NA,NA,NA,NA,NA,NA,2,NA
Bacillus phage Waukesha92,NA,1,2,2,NA,1,NA,1
