species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Aerococcus viridans,5,2,6,5,13,25,33,23
Aeromicrobium,10,5,NA,3,8,1,NA,NA
Aeromicrobium erythreum,48,50,59,28,39,17,29,30
Aeromonadaceae,NA,1,NA,NA,NA,NA,NA,NA
Aeromonas,6,5,1,3,6,1,1,6
Aeromonas hydrophila,282,351,296,377,170,153,157,240
Aeromonas media,60,52,41,60,39,38,31,47
Aeromonas phage CC2,NA,NA,NA,NA,1,NA,NA,NA
Aeromonas phage phiAS4,NA,NA,NA,NA,1,1,NA,NA
Aeromonas phage phiAS5,NA,NA,NA,NA,NA,NA,NA,1
Aeromonas phage PX29,1,2,NA,1,1,NA,NA,1
Aeromonas phage vB_AsaM-56,NA,NA,NA,NA,NA,NA,1,NA
Aeromonas salmonicida,79,99,59,89,48,21,30,51
Aeromonas schubertii,56,86,73,90,43,22,35,60
Aeromonas veronii,125,140,137,149,115,133,186,177
Aeromonas virus 31,NA,NA,1,2,NA,NA,1,NA
Biquartavirus 44RR2,NA,NA,NA,2,NA,NA,1,NA
African swine fever virus,NA,NA,NA,NA,NA,NA,2,1
Agarivorans gilvus,37,25,17,24,28,9,11,15
Aggregatibacter actinomycetemcomitans,7,10,7,12,6,23,33,27
Aggregatibacter aphrophilus,19,15,21,34,21,17,21,31
Agrobacterium,7,9,7,4,2,2,1,3
Agrobacterium fabrum,69,84,58,94,60,44,41,58
Agrobacterium tumefaciens,59,68,54,91,41,27,35,51
Agrobacterium sp. RAC06,64,51,39,58,36,26,30,30
Agrobacterium tumefaciens,187,188,153,223,143,91,85,140
Agrobacterium vitis,35,57,38,73,28,14,30,47
Agromyces,NA,NA,1,1,1,NA,NA,NA
Agromyces sp. AR33,25,53,70,56,23,16,27,27
Agrotis ipsilon multiple nucleopolyhedrovirus,NA,NA,NA,NA,NA,1,1,NA
Agrotis segetum granulovirus,NA,NA,NA,NA,NA,1,NA,NA
Agrotis segetum nucleopolyhedrovirus,NA,NA,NA,NA,NA,NA,1,1
Akkermansia glycaniphila,34,54,57,39,23,37,38,48
Akkermansia muciniphila,93,70,95,72,7426,19446,7374,11905
Akkermansiaceae,NA,NA,NA,1,1,NA,NA,1
Alcaligenaceae,2,NA,2,1,1,NA,NA,2
