name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Erwinia amylovora	552	species	3869718	260	125	0.0
Pantoea ananatis	553	species	4842757	353	149	0.0
Pectobacterium carotovorum	554	species	4852842	689	349	0.0
Escherichia coli	562	species	12319210	1673	342	0.0
Shimwellia blattae	563	species	4158725	709	517	0.0
Escherichia fergusonii	564	species	4643861	595	136	0.0
Hafnia	568	genus	0	3	0	0.0
Hafnia alvei	569	species	6928293	375	125	0.0
Klebsiella	570	genus	0	43	0	0.0
Klebsiella oxytoca	571	species	16779606	1654	555	0.0
Klebsiella pneumoniae	573	species	15713353	2463	775	0.0
Morganella morganii	582	species	3853791	186	62	0.0
Proteus mirabilis	584	species	5337360	163	0	0.0
Proteus vulgaris	585	species	3794983	163	0	0.0
Providencia stuartii	588	species	6521015	213	122	0.0
Salmonella	590	genus	0	1	0	0.0
Serratia	613	genus	0	54	0	0.0
Serratia liquefaciens	614	species	7946985	432	121	0.0
Serratia marcescens	615	species	8465231	2582	836	0.0
Shigella	620	genus	0	33	0	0.0
Shigella boydii	621	species	4698475	460	9	0.0
Shigella dysenteriae	622	species	4560911	606	74	0.0
Shigella flexneri	623	species	4763519	423	3	0.0
Shigella sonnei	624	species	6798914	456	2	0.0
Xenorhabdus	626	genus	0	3	0	0.0
Xenorhabdus nematophila	628	species	4586662	132	20	0.0
Yersinia	629	genus	0	15	0	0.0
Yersinia enterocolitica	630	species	14308813	595	313	0.0
Yersinia intermedia	631	species	4859749	328	226	0.0
Yersinia pestis	632	species	7124135	158	13	0.0
Yersinia pseudotuberculosis	633	species	9565781	237	46	0.0
Edwardsiella	635	genus	0	12	0	0.0
Edwardsiella tarda	636	species	3717889	819	382	0.0
Aeromonas	642	genus	0	50	0	0.0
Aeromonas hydrophila	644	species	7739252	3855	1838	0.0
Aeromonas salmonicida	645	species	5040536	817	269	0.0
Aeromonas media	651	species	4788430	704	275	0.0
Aeromonas schubertii	652	species	4400034	916	492	0.0
Aeromonas veronii	654	species	7214925	1674	662	0.0
Vibrio	662	genus	0	23	0	0.0
Vibrio alginolyticus	663	species	8138835	236	74	0.0
Vibrio cholerae	666	species	6170861	616	269	0.0
Aliivibrio fischeri	668	species	4273718	168	149	0.0
Vibrio harveyi	669	species	11920371	220	49	0.0
Vibrio parahaemolyticus	670	species	10344823	425	226	0.0
Vibrio vulnificus	672	species	10215744	576	427	0.0
Grimontia hollisae	673	species	3998273	261	122	0.0
Vibrio mimicus	674	species	8922704	609	310	0.0
Vibrio fluvialis	676	species	4827724	284	122	0.0
Vibrio campbellii	680	species	12090206	305	105	0.0
Vibrio natriegens	691	species	10692018	286	123	0.0
Plesiomonas	702	genus	0	2	0	0.0
Plesiomonas shigelloides	703	species	3405979	172	67	0.0
Actinobacillus	713	genus	0	3	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	111	55	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	446	103	0.0
Actinobacillus suis	716	species	2501598	175	80	0.0
Actinobacillus equuli	718	species	2431533	292	82	0.0
Haemophilus influenzae	727	species	2672708	273	196	0.0
Haemophilus parainfluenzae	729	species	2086875	92	86	0.0
[Haemophilus] ducreyi	730	species	10121291	164	141	0.0
Histophilus somni	731	species	2138367	282	227	0.0
Aggregatibacter aphrophilus	732	species	3520359	273	194	0.0
[Haemophilus] parasuis	738	species	4546750	292	175	0.0
Pasteurella multocida	747	species	2546987	147	117	0.0
Gallibacterium anatis	750	species	2694139	161	142	0.0
Anaplasma centrale	769	species	1206806	76	6	0.0
