TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
0,unknown genome; accession ID isNZ_CP022054.2,182,2.07692662332357e-05,141.2,1.611620109909e-05,0,0,0,0,0,0,0,Lactobacillus,25,Bifidobacterium animalis,23,19,0.04,0.04,1,1,FALSE
1122984,Prevotella intermedia,201.152542372881,2.29548939892011e-05,245.650847457627,2.8034273765133e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia,Bacteroides,48,Bacteroides caecimuris,40,8,0.62,0.66,1,1,TRUE
649756,Anaerostipes hadrus,225.192270531401,2.56982319798544e-05,205.521449275362,2.34524862832925e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Faecalibacterium,50,uncultured human fecal virus,44,11,0.64,0.64,1,1,TRUE
411467,Pseudoflavonifractor capillosus,152,1.73457608101748e-05,146.5,1.67179263452296e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus,Faecalibacterium,38,Faecalibacterium prausnitzii,34,14,0,0,1,1,FALSE
511680,Eshraghiella crossota,177.347826086957,2.02383748125581e-05,177.234782608696,2.02302032215709e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eshraghiella,Eshraghiella crossota,Eshraghiella,50,Eshraghiella crossota,50,2,1,1,0.14,0.14,TRUE
478749,Marvinbryantia formatexigens,103,1.17540352858422e-05,104.7,1.19463958954926e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,Faecalibacterium,36,Faecalibacterium prausnitzii,23,13,0.78,0.78,1,1,TRUE
1221996,Bacillus thermotolerans,102,1.16399184384068e-05,98.3,1.12150625714177e-05,0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thermotolerans,Heyndrickxia,46,Heyndrickxia coagulans,46,4,0,0.88,1,1,FALSE
0,unknown genome; accession ID isNZ_BBAB01000016.1,93,1.06128668114886e-05,84.3,9.62318703763121e-06,0,0,0,0,0,0,0,Lachnoclostridium,42,[Clostridium] symbiosum,42,4,0,0.16,1,1,FALSE
431947,Porphyromonas gingivalis,79,9.0152309473935e-06,59.3,6.7635156873792e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,Porphyromonas,39,Porphyromonas gingivalis,40,2,0.92,0.92,1,1,TRUE
997884,Bacteroides nordii,66,7.53171193073381e-06,71.7,8.18232176006091e-06,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,Phocaeicola,50,Phocaeicola dorei,50,1,0,0,1,1,FALSE
566550,Hungatella hathewayi,55,6.27642660894484e-06,59.9,6.83587671888297e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella,Hungatella hathewayi,Lachnoclostridium,47,[Clostridium] symbiosum,27,8,0.94,0.94,1,1,TRUE
428127,Amedibacillus dolichus,47,5.36349182946196e-06,44.8,5.11339726216089e-06,0,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus dolichus,Faecalibacterium,39,Faecalibacterium prausnitzii,36,2,0,0,1,1,FALSE
