"TaxonomyID","read_count"
1121323,13.4
762211,8.9
1076550,9.4
2681618,9.4
553175,9
35760,6.6
NA,9
NA,9
NA,9
1123311,7.9
379893,11
742817,10.2
1297617,8.3
NA,7.6
1585974,13.6
1871018,12.2
1242245,8.4
679200,9
NA,8
NA,8
NA,8
NA,8
NA,8
299766,9.5
596154,6.2
1122155,9.1
1121333,7.6
742733,8
NA,5.9
NA,8.2
1903263,8.9
78344,7
82983,7.3
NA,6.6
NA,7
NA,7
NA,7
NA,7
NA,7
1236498,7
1235834,5.6
1432052,7
NA,13.8
667120,9
880526,6
1122949,5.8
525255,8.4
1171377,4.7
765909,4.4
NA,6
NA,6
NA,6
NA,6
NA,6
NA,6
1122228,6
880074,6.2
1437608,8.1
875454,5.4
NA,6
1944646,6.1
1147153,6
573058,5
568814,4.7
226185,7.2
NA,6
39480,5.2
65786,3.4
NA,5
NA,5
NA,5
NA,5
NA,5
NA,5.2
1300165,4.6
208224,4.4
1034346,5
NA,5
1560201,3.8
1870997,5
1871022,5
10730,5.5
1392005,4
556268,7.3
279808,3.3
1121865,3.3
1234679,4
365659,3.7
29524,3.6
47917,3.6
1044999,4.3
NA,3.9
NA,4
NA,4
NA,4
NA,4
NA,4
NA,4
NA,4
NA,4
1120979,4
NA,4.9
604330,4
1235794,4
1225786,5.2
1329411,4.1
1034345,4
966,2.8
1121296,3.3
411468,3
NA,2.8
1254439,4.2
1236520,2.6
641143,2.4
1458469,3.2
908937,2.8
1122978,3
561180,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
NA,3
290052,3.1
1258574,3
NA,3
NA,3
NA,3
NA,3
NA,3.3
1236516,2.7
1109412,3.2
1191699,2
1348253,3
1211813,7.8
1477437,2.9
NA,1.5
1673724,4.2
1691903,3
1723382,3
1769291,3.3
1841868,3.5
2905959,3.9
1122985,2.3
591001,2.7
NA,3
1423721,5
525254,2
1408428,3.6
NA,2.1
NA,1.7
1302863,2
357809,2.1
1125702,2.2
70584,2.7
82633,1.5
NA,2
NA,2
NA,2
NA,2
NA,2
NA,2
NA,2
NA,1.2
NA,2
NA,1.1
NA,2
NA,2
NA,2
1123263,3.5
1123399,1.6
1121925,2.6
1158607,2
169292,2.1
888064,1.9
663278,2
290054,2
1410653,2.5
319939,2.1
322095,2
NA,2.1
NA,2
1122979,2.1
1423759,0.9
NA,1.4
1122983,2
1121129,2
NA,1.5
NA,2
1129897,1.7
1239307,2.1
1384589,2.2
1118057,2
NA,2
NA,2
1522309,1.2
1712031,2
2897707,2
1870984,2.2
1870991,2
1871002,2
1871025,1.6
414970,2.3
1051631,2
432201,2
1437823,1
264731,1
869213,1.1
1336236,0.5
1452269,1.5
1267,1.4
388919,0.9
431943,2.8
1423814,1
1688,1
1732,1.3
767031,1
1122984,1
1122993,1.4
428126,1
999415,1.4
NA,1
NA,1
883114,1.4
NA,0.6
53336,1.8
1219360,1.1
1358411,1.7
60547,1.1
61652,1.4
1158601,1.1
77635,1
NA,1.5
1354252,1
471855,1
NA,1
NA,1
97481,0.6
1122930,0.7
NA,1
NA,1
NA,1.2
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1
NA,1.9
NA,1
NA,1
NA,1
NA,1
NA,1
108981,2
1141661,0.5
1122142,1
NA,1
158822,1
626523,0.8
862515,1
1123309,1
1121024,1
NA,1
690567,1
NA,1
467210,1
NA,1
1236509,1
NA,1
NA,1
NA,1
1236508,1
742818,1
761804,1.1
1437609,1.8
938293,3.1
1134435,1
1008457,2.1
1095770,1.3
947969,1
1413210,1
1033731,1
NA,0.8
NA,0.4
NA,0.4
1506471,0.6
1561004,0.5
1603886,1.1
1640685,1
1673723,1.3
1776392,1
1796620,1
1807766,1
1852362,1
NA,1
1891675,1.4
344612,1
2681617,1.6
2681626,1
1147156,1
1150869,1
1225789,1
1416032,1
