TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,genus_counts,best_hit_species,species_counts,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,blast_validated
1150298,Fusicatenibacter saccharivorans,3,3.42446207408253e-05,3,3.42472451450927e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,Clostridioides,3,Clostridioides difficile,3,1,0,0,1,1,FALSE
1650663,Allofournierella massiliensis,3,3.42446207408253e-05,3.9,4.47719016496703e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Allofournierella,Allofournierella massiliensis,Faecalibacterium,3,Faecalibacterium prausnitzii,3,4,0,0,1,1,FALSE
556268,Oxalobacter paraformigenes,2,2.28297471605502e-05,2,2.23339317985136e-05,0,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Oxalobacter paraformigenes,Clostridioides,2,Clostridioides difficile,2,1,0,0,1,1,FALSE
1291050,Ruminiclostridium josui,2,2.28297471605502e-05,1.3,1.46513770915921e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Ruminiclostridium josui,Blautia,2,Phocaeicola dorei,2,1,0,0,1,1,FALSE
0,unknown genome; accession ID isNZ_KB850945.1,2,2.28297471605502e-05,1.8,2.03307864431327e-05,0,0,0,0,0,0,0,Faecalibacterium,2,Faecalibacterium prausnitzii,2,2,0,0,1,0,FALSE
1254439,Bifidobacterium thermophilum,2,2.28297471605502e-05,2.7,3.0366894963591e-05,0,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium thermophilum,Lactobacillus,1,Lactobacillus crispatus,1,2,0,1,1,1,FALSE
0,unknown genome; accession ID isNZ_EQ973339.1,2,2.28297471605502e-05,2.6,2.99794948472988e-05,0,0,0,0,0,0,0,Faecalibacterium,2,Clostridium sp. M62/1,2,13,0,0,1,0,FALSE
0,unknown genome; accession ID isNZ_JNKJ01000018.1,2,2.28297471605502e-05,1.8,2.09575492794521e-05,0,0,0,0,0,0,0,Faecalibacterium,1,Lachnospiraceae bacterium GAM79,1,2,0,0.5,1,1,FALSE
290054,Eubacterium coprostanoligenes,2,2.28297471605502e-05,2,2.32118295539086e-05,0,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium coprostanoligenes,Faecalibacterium,2,Faecalibacterium prausnitzii,2,1,0,0,1,1,FALSE
1550024,Ruthenibacterium lactatiformans,2,2.28297471605502e-05,3.4,3.87227009740628e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruthenibacterium,Ruthenibacterium lactatiformans,Clostridioides,2,Clostridioides difficile,2,1,0,0,1,1,FALSE
1796620,Acutalibacter muris,2,2.28297471605502e-05,2,2.28297785076272e-05,0,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter,Acutalibacter muris,Faecalibacterium,2,Faecalibacterium prausnitzii,2,2,1,1,1,1,TRUE
869209,Treponema succinifaciens,1,1.14148735802751e-05,1,1.14149143219706e-05,0,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema succinifaciens,Bifidobacterium,1,uncultured bacterium,1,1,0,0,1,1,FALSE
431943,Clostridium kluyveri,1,1.14148735802751e-05,0.5,5.63390118887016e-06,0,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium kluyveri,Bacteroides,1,Phocaeicola dorei,1,1,0,1,1,1,FALSE
411460,[Ruminococcus] torques,1,1.14148735802751e-05,0.6,7.28789767548878e-06,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,Anaerobutyricum,1,Anaerobutyricum hallii,1,10,0,1,1,1,FALSE
36847,Anaerotignum neopropionicum,1,1.14148735802751e-05,2.1,2.43974372331604e-05,0,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum neopropionicum,Blautia,1,Mediterraneibacter gnavus,1,2,0,0,1,1,FALSE
411463,Eubacterium ventriosum,2,2.28297471605502e-05,8.4,9.55912249733599e-05,0,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium ventriosum,Faecalibacterium,1,uncultured human fecal virus,1,1,1,1,1,1,TRUE
679200,Johnsonella ignava,1,1.14148735802751e-05,3,3.41657653525143e-05,0,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Johnsonella,Johnsonella ignava,Clostridioides,1,Clostridioides difficile,1,2,0,0,1,1,FALSE
1125702,Treponema vincentii,1,1.14148735802751e-05,1,1.14148735802751e-05,0,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema vincentii,Faecalibacterium,1,Faecalibacterium prausnitzii,1,2,1,1,1,1,TRUE
411467,Pseudoflavonifractor capillosus,1,1.14148735802751e-05,1.3,1.4813131781516e-05,0,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus,Faecalibacterium,1,Faecalibacterium prausnitzii,1,1,0,0,1,1,FALSE
927665,Parabacteroides goldsteinii,1,1.14148735802751e-05,1,1.13812409212761e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii,Bacteroides,1,Bacteroides caecimuris,1,1,0,1,1,1,FALSE
547042,Phocaeicola coprophilus,1,1.14148735802751e-05,1.1,1.2739945701548e-05,0,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,Bacteroides,1,uncultured bacterium,1,1,0,1,1,1,FALSE
