species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Eubacterium ventriosum,1,6,4,10,646,1628,6390,2199
Ezakiella massiliensis,0,0,0,0,8,9,1,2
Faecalibacterium duncaniae,8880,13445,9810,18030,4335,3291,876,6655
Faecalicatena contorta,336,426,339,600,102,239,66,106
Faecalicoccus pleomorphus,14,5,31,31,1,0,0,6
Falseniella ignava,0,0,0,0,0,3,1,0
Felsduovirus RE2010,0,0,0,0,1,0,0,0
Finegoldia magna,0,0,0,0,99,259,1225,339
Flavonifractor plautii,0,0,0,0,1054,2506,8418,3588
Fusarium proliferatum,0,0,0,0,0,0,1,0
Fusicatenibacter saccharivorans,58,80,317,85,14119,32356,8163,20435
Gemelliphila asaccharolytica,0,0,0,0,0,0,1,0
Gemmiger formicilis,1001,1439,1141,1860,1671,3541,8915,5561
Gordonibacter pamelaeae,0,0,0,0,460,1236,8764,1636
Granulicatella elegans,0,0,0,0,0,0,1,0
Haemophilus sputorum,0,0,0,0,4,12,28,21
Hallella bergensis,0,0,0,0,16,18,91,28
Hallella multisaccharivorax,0,0,0,0,0,0,2,0
Helcococcus kunzii,0,0,0,0,0,1,1,1
Helcococcus sueciensis,0,0,0,0,0,0,3,0
Hespellia stercorisuis,0,0,0,0,14,40,13,11
Heyndrickxia acidiproducens,0,0,0,0,0,0,4,0
Holdemanella biformis,0,0,0,0,917,2410,5778,3536
Holdemania massiliensis,65,61,33,71,41,26,8,30
Hoylesella buccalis,0,0,0,0,372,984,4462,1738
Hoylesella marshii,0,0,0,0,1,4,6,1
Hoylesella nanceiensis,0,0,0,0,12,45,30,25
Hoylesella oralis,0,0,0,0,0,0,1,0
Hoylesella saccharolytica,0,0,0,0,0,1,1,3
Hoylesella timonensis,0,0,0,0,512,1369,8754,1693
Hungatella hathewayi,7,13,7,20,38,135,227,126
Intestinibacter bartlettii,0,0,0,0,648,1671,8581,2353
Intestinimonas butyriciproducens,3,17,7,14,4,3,5,9
Johnsonella ignava,1,2,1,4,3,15,25,7
Kandleria vitulina,0,0,0,0,9,23,81,41
Klebsiella phage phiKO2,0,0,0,0,0,0,1,0
Kluyvera ascorbata,0,0,0,0,6,11,44,6
Kluyvera cryocrescens,0,0,0,0,40,83,290,173
Kosakonia cowanii,0,0,0,0,3,3,25,17
Kosakonia sacchari,0,0,0,0,0,3,12,5
Kwaitsingvirus HK544,0,0,0,0,1,2,4,2
Lachnoanaerobaculum saburreum,0,0,1,0,1,2,10,1
Lachnobacterium bovis,0,0,0,0,2,3,1,1
Lachnoclostridium phocaeense,10,24,12,21,29,50,16,36
Lachnoclostridium phytofermentans,0,0,0,0,1,0,0,2
Lachnospira eligens,0,1,0,0,5391,14144,7584,8543
Lachnospira multipara,0,0,0,0,2641,6817,5246,4212
Lactobacillus pasteurii,0,0,0,1,0,0,0,0
Lactonifactor longoviformis,85,14,2,23,3,6,3,7
Lagierella massiliensis,0,0,0,0,0,0,1,0
Lambdavirus HK629,0,0,0,0,0,1,0,0
Lambdavirus lambda,0,0,0,0,1,0,0,0
Lamprocystis purpurea,0,0,0,0,2,0,2,1
Lederbergvirus Sf6,0,0,0,0,0,0,1,0
Lentilactobacillus parafarraginis,0,0,0,0,0,0,1,0
Leuconostoc kimchii,0,0,0,0,0,1,0,0
Leuconostoc lactis,0,0,0,0,1,0,0,0
Leuconostoc mesenteroides,0,0,0,0,0,0,5,0
Levyella massiliensis,0,0,0,0,0,3,1,1
Leyella stercorea,1028,1560,764,912,2954,7016,8461,4725
Ligilactobacillus agilis,0,0,0,0,1,1,0,0
Ligilactobacillus ruminis,0,0,0,0,511,1339,5844,1931
Limosilactobacillus vaginalis,0,0,0,0,1,3,1,1
Liquorilactobacillus hordei,0,0,0,0,3,0,0,2
Lonsdalea quercina,0,0,0,0,1,0,2,0
Mangrovibacter phragmitis,0,0,0,0,1,0,2,3
Marienburgvirus BP4795,0,0,0,0,28,78,37,51
Marinilactibacillus piezotolerans,0,0,0,0,0,0,24,0
Mariniphaga anaerophila,0,0,0,0,0,0,1,0
Marvinbryantia formatexigens,0,0,0,1,4,11,18,17
Massiliimalia massiliensis,0,0,0,0,0,0,0,1
Massilimicrobiota timonensis,0,0,0,0,0,3,5,2
Massilioclostridium coli,0,0,1,0,0,4,1,2
Mediterranea massiliensis,2,1,1,0,24,76,69,52
Mediterraneibacter gnavus,0,0,0,0,1213,3288,5926,4611
Megasphaera elsdenii,0,0,0,0,270,700,5445,995
Merdibacter massiliensis,4,14,10,3,12,6,4,11
Merdimmobilis hominis,1,5,2,5,0,2,0,2
Merdimonas faecis,2,3,3,3,9,61,55,50
Metapseudomonas otitidis,0,0,0,0,0,0,0,5
Microbacterium mangrovi,0,0,0,0,0,0,7,3
Moellerella wisconsensis,0,0,0,0,0,2,0,0
Morganella morganii,0,0,0,0,0,1,0,0
Muribaculum intestinale,0,0,0,0,3,17,7,12
Ndongobacter massiliensis,0,0,0,0,0,0,4,0
Negativibacillus massiliensis,2,0,0,1,7,9,8,3
Neglectibacter timonensis,1,1,0,1,1,3,0,0
Neofamilia massiliensis,0,0,0,0,0,1,0,3
Nitrolancea hollandica,0,0,0,0,0,0,0,1
Obesumbacterium proteus,0,0,0,0,1,5,1,7
Oceanivirga salmonicida,0,0,0,0,3,3,10,3
Oceanospirillum linum,0,0,0,0,1,0,0,0
Odoribacter laneus,0,0,0,0,9,21,28,9
