Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,Ti,Run_mock__vaio-mock-10-5-1,Run_mock__vaio-mock-10-6-3,Run_mock__50eb-50gr-1,Run_mock__ec-bl-rp-rm-cn-2,Run_mock__10eb-90gr-2,Run_mock__5eb-95gr-2,Run_newprimers__vaio-mock-newprimer-4,Run_mock__95eb-5gr-1,Run_mock__vaio-mock-10-4-1,Run_mock__vaio-mock-10-4-2
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella species incertae sedis,Prevotella species incertae sedis,0,947,947,947,947,947,947,947,947,947,947
Bacteria,Tenericutes,Mollicutes,Mollicutes order incertae sedis,Mollicutes fam. incertae sedis,Mollicutes gen. incertae sedis,Mollicutes species incertae sedis,Mollicutes species incertae sedis,0,455,455,455,455,455,455,455,455,455,455
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis,Lachnospiraceae species incertae sedis,0,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696
Bacteria,Firmicutes,Firmicutes class incertae sedis,Firmicutes order incertae sedis,Firmicutes fam. incertae sedis,Firmicutes gen. incertae sedis,Firmicutes species incertae sedis,Firmicutes species incertae sedis,0,600,600,600,600,600,600,600,600,600,600
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,93,93,93,93,93,93,93,93,93,93
Bacteria,Firmicutes,Firmicutes class incertae sedis,Firmicutes order incertae sedis,Firmicutes fam. incertae sedis,Firmicutes gen. incertae sedis,Firmicutes species incertae sedis,Firmicutes species incertae sedis,0,942,942,942,942,942,942,942,942,942,942
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406
Bacteria,Tenericutes,Mollicutes,Mollicutes order incertae sedis,Mollicutes fam. incertae sedis,Mollicutes gen. incertae sedis,Mollicutes species incertae sedis,Mollicutes species incertae sedis,0,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1187,1187,1187,1187,1187,1187,1187,1187,1187,1187
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,1477,1477,1477,1477,1477,1477,1477,1477,1477,1477
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,871,871,871,871,871,871,871,871,871,871
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus species incertae sedis,Ruminococcus species incertae sedis,0,1846,1846,1846,1846,1846,1846,1846,1846,1846,1846
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1699,1699,1699,1699,1699,1699,1699,1699,1699,1699
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis,Ruminococcaceae species incertae sedis,0,293,293,293,293,293,293,293,293,293,293
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis,Ruminococcaceae species incertae sedis,0,741,741,741,741,741,741,741,741,741,741
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378
Bacteria,Bacteria phylum incertae sedis,Bacteria class incertae sedis,Bacteria order incertae sedis,Bacteria fam. incertae sedis,Bacteria gen. incertae sedis,Bacteria species incertae sedis,Bacteria species incertae sedis,0,488,488,488,488,488,488,488,488,488,488
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae gen. incertae sedis,Erysipelotrichaceae species incertae sedis,Erysipelotrichaceae species incertae sedis,0,405,405,405,405,405,405,405,405,405,405
Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria order incertae sedis,Alphaproteobacteria fam. incertae sedis,Alphaproteobacteria gen. incertae sedis,Alphaproteobacteria species incertae sedis,Alphaproteobacteria species incertae sedis,0,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,219,219,219,219,219,219,219,219,219,219
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,261,261,261,261,261,261,261,261,261,261
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,747,747,747,747,747,747,747,747,747,747
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,261,261,261,261,261,261,261,261,261,261
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,593,593,593,593,593,593,593,593,593,593
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes species incertae sedis,Alistipes species incertae sedis,0,1603,1603,1603,1603,1603,1603,1603,1603,1603,1603
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis,Ruminococcaceae species incertae sedis,0,1492,1492,1492,1492,1492,1492,1492,1492,1492,1492
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium species incertae sedis,Clostridium species incertae sedis,0,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1441,1441,1441,1441,1441,1441,1441,1441,1441,1441
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1755,1755,1755,1755,1755,1755,1755,1755,1755,1755
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium species incertae sedis,Clostridium species incertae sedis,0,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis,Lachnospiraceae species incertae sedis,0,821,821,821,821,821,821,821,821,821,821
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis,Ruminococcaceae species incertae sedis,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,76,76,76,76,76,76,76,76,76,76
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,79,79,79,79,79,79,79,79,79,79
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis gen. incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis,0,830,830,830,830,830,830,830,830,830,830
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter species incertae sedis,Methanobrevibacter species incertae sedis,0,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella species incertae sedis,Prevotella species incertae sedis,0,130,130,130,130,130,130,130,130,130,130
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,305,305,305,305,305,305,305,305,305,305
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis,Lachnospiraceae species incertae sedis,0,495,495,495,495,495,495,495,495,495,495
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter species incertae sedis,Methanobrevibacter species incertae sedis,0,204,204,204,204,204,204,204,204,204,204
Bacteria,Bacteria phylum incertae sedis,Bacteria class incertae sedis,Bacteria order incertae sedis,Bacteria fam. incertae sedis,Bacteria gen. incertae sedis,Bacteria species incertae sedis,Bacteria species incertae sedis,0,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334
Bacteria,Firmicutes,Firmicutes class incertae sedis,Firmicutes order incertae sedis,Firmicutes fam. incertae sedis,Firmicutes gen. incertae sedis,Firmicutes species incertae sedis,Firmicutes species incertae sedis,0,436,436,436,436,436,436,436,436,436,436
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis,Lachnospiraceae species incertae sedis,0,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XIII. Incertae Sedis gen. incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis,0,829,829,829,829,829,829,829,829,829,829
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium species incertae sedis,Clostridium species incertae sedis,0,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales fam. incertae sedis,Clostridiales gen. incertae sedis,Clostridiales species incertae sedis,Clostridiales species incertae sedis,0,674,674,674,674,674,674,674,674,674,674
Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter species incertae sedis,Fibrobacter species incertae sedis,0,616,616,616,616,616,616,616,616,616,616
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,981,981,981,981,981,981,981,981,981,981
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis,Ruminococcaceae species incertae sedis,0,91,91,91,91,91,91,91,91,91,91
Bacteria,Candidatus Melainabacteria,Candidatus Melainabacteria class incertae sedis,Candidatus Gastranaerophilales,Candidatus Gastranaerophilales fam. incertae sedis,Candidatus Gastranaerophilales gen. incertae sedis,Candidatus Gastranaerophilales species incertae sedis,Candidatus Gastranaerophilales species incertae sedis,0,185,185,185,185,185,185,185,185,185,185
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales fam. incertae sedis,Bacteroidales gen. incertae sedis,Bacteroidales species incertae sedis,Bacteroidales species incertae sedis,0,507,507,507,507,507,507,507,507,507,507
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella species incertae sedis,Prevotella species incertae sedis,0,1758,1758,1758,1758,1758,1758,1758,1758,1758,1758
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella species incertae sedis,Prevotella species incertae sedis,0,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006
