species,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_50,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_50
Lachnospiraceae species incertae sedis,0,0,0,0,0,0,0,3303.9276
Lachnospiraceae species incertae sedis,0,0,0,0,0,1591.6092,0,0
Lachnospiraceae species incertae sedis,0,0,0,0,2412.6484,2975.9391,1521.3863,0
Bifidobacterium species incertae sedis,0,0,0,0,1413.8891,2020.3833,0,0
Lachnospiraceae species incertae sedis,0,0,0,0,0,3269.0258,0,0
Bifidobacterium species incertae sedis,0,0,0,0,1205.8815,0,0,0
Bacteroides species incertae sedis,0,0,0,0,2465.6846,5254.8871,4515.721,3860.5676
Prevotella species incertae sedis,0,0,0,0,0,0,2314.1476,0
Bacteroides species incertae sedis,0,0,0,0,0,0,1614.0479,0
Bifidobacterium species incertae sedis,0,0,0,0,0,1394.8711,3419.9757,0
Bacteroides species incertae sedis,0,0,0,0,0,0,4465.227,3228.8384
Alistipes species incertae sedis,0,0,0,0,0,0,5507.3933,0
Alistipes species incertae sedis,0,0,0,0,0,5915.2726,0,0
unassigned,23665.61,16115.2669,43403.1832,22170.1218,18381.8343,32093.2498,14281.1632,22118.379
