Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
NA,Uroviricota,Caudoviricetes,NA,NA,Wanchaivirus,Wanchaivirus HK106,Wanchaivirus HK106,771,0,0,0,0,0,56.4,0,30.2
NA,Uroviricota,Caudoviricetes,NA,NA,Wanchaivirus,Wanchaivirus mEp234,Wanchaivirus mEp234,772,0,0,0,0,2.2,2,0,2
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella koreensis,Weissella koreensis,773,0,0,0,0,0,0,2.5,0
NA,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella paramesenteroides,Weissella paramesenteroides,774,0,0,0,0,0,0,0,1
NA,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,Wickerhamomyces ciferrii,Wickerhamomyces ciferrii,775,0,0,0,0,0,2.5,1,3.6
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Winslowiella,Winslowiella iniecta,Winslowiella iniecta,776,0,0,0,0,0,2,5.2,1
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Winslowiella,Winslowiella toletana,Winslowiella toletana,777,0,0,0,0,1.6,10.9,6.5,15
NA,Uroviricota,Caudoviricetes,NA,NA,Wongtaivirus,Wongtaivirus HK542,Wongtaivirus HK542,778,0,0,0,0,1,2,1,0
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Xenophilus,Xenophilus azovorans,Xenophilus azovorans,779,0,0,0,0,0,0,7.2,1.6
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus bovienii,Xenorhabdus bovienii,780,0,0,0,0,11,14.4,50.8,17
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus cabanillasii,Xenorhabdus cabanillasii,781,0,0,0,0,200.5,565.5,1288,762.8
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus,Xenorhabdus nematophila,Xenorhabdus nematophila,782,0,0,0,0,0,1.5,5.1,3.3
NA,Uroviricota,Caudoviricetes,NA,Peduoviridae,Xuanwuvirus,Xuanwuvirus P88,Xuanwuvirus P88,783,0,0,0,0,129,361.9,171.2,260.3
NA,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Xylanibacter,Xylanibacter brevis,Xylanibacter brevis,784,0,0,0,0,0,0,7,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Xylanibacter,Xylanibacter oryzae,Xylanibacter oryzae,785,0,1.7,0,0,0,0,0,0
NA,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Xylanibacter,Xylanibacter ruminicola,Xylanibacter ruminicola,786,1.9,0.5,0,1,5.7,4.8,7.3,3
NA,Uroviricota,Caudoviricetes,NA,NA,Yautsimvirus,Yautsimvirus HK140,Yautsimvirus HK140,787,0,0,0,0,6,38.7,22.4,17.4
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,Yersinia enterocolitica,788,0,0,0,0,0,1.1,0,0
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,Yersinia pestis,789,0,0,0,0,205.7,710.7,1695.5,1059.4
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia ruckeri,Yersinia ruckeri,790,0,0,0,0,3.5,17.7,0,0
NA,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yokenella,Yokenella regensburgei,Yokenella regensburgei,791,0,0,0,0,15.1,85.3,1032,93.7
