Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Bacteria,Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,p_Kiritimatiellaeota,Kiritimatiellaeota bacterium S-5007,Kiritimatiellaeota bacterium S-5007,2768,5,8,3,7,0,0,1,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium,Planctomycetes bacterium,4115,2,1,1,0,4,1,2,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium CA51,Planctomycetes bacterium CA51,4116,0,1,22,3,2,4,15,9
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium EC9,Planctomycetes bacterium EC9,4117,0,0,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ElP,Planctomycetes bacterium ElP,4118,2,2,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Enr13,Planctomycetes bacterium Enr13,4119,2,0,1,1,4,3,1,1
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Enr17,Planctomycetes bacterium Enr17,4120,1,1,0,2,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ETA_A1,Planctomycetes bacterium ETA_A1,4121,1,0,1,2,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium ETA_A8,Planctomycetes bacterium ETA_A8,4122,0,0,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium FF011L,Planctomycetes bacterium FF011L,4123,1,0,2,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium HG15A2,Planctomycetes bacterium HG15A2,4124,1,1,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium HG66A1,Planctomycetes bacterium HG66A1,4125,1,0,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium K22_7,Planctomycetes bacterium K22_7,4127,4,2,14,2,1,3,10,2
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium K23_9,Planctomycetes bacterium K23_9,4128,1,4,1,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium KS4,Planctomycetes bacterium KS4,4129,4,2,6,5,1,3,4,4
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Mal35,Planctomycetes bacterium Mal35,4130,0,1,0,0,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Mal4,Planctomycetes bacterium Mal4,4131,2,0,1,2,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Mal48,Planctomycetes bacterium Mal48,4132,1,2,0,4,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium MalM14,Planctomycetes bacterium MalM14,4133,2,0,0,1,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium MalM25,Planctomycetes bacterium MalM25,4134,2,4,5,1,11,9,6,9
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan161,Planctomycetes bacterium Pan161,4135,3,5,1,3,0,0,0,0
Bacteria,Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,p_Planctomycetes,Planctomycetes bacterium Pan181,Planctomycetes bacterium Pan181,4136,4,4,11,0,2,2,6,7
