Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,1479,29,32,32,27,1,11,15,10,12,13
Bacteria,Bacteroidetes,p_Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,f_Rhodothermaceae,f_Rhodothermaceae,f_Rhodothermaceae,725,7,14,9,36,7,8,14,4,9,1
Bacteria,Candidatus Bipolaricaulota,p_Candidatus Bipolaricaulota,p_Candidatus Bipolaricaulota,p_Candidatus Bipolaricaulota,Candidatus Bipolaricaulis,Candidatus Bipolaricaulis anaerobius,Candidatus Bipolaricaulis anaerobius,302,0,1,1,0,0,0,0,0,0,0
Bacteria,Candidatus Cloacimonetes,p_Candidatus Cloacimonetes,p_Candidatus Cloacimonetes,p_Candidatus Cloacimonetes,Candidatus Cloacimonas,Candidatus Cloacimonas acidaminovorans,Candidatus Cloacimonas acidaminovorans,307,0,0,0,0,1,1,0,1,2,1
Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,o_Chloroflexales,o_Chloroflexales,o_Chloroflexales,o_Chloroflexales,1471,0,0,0,0,0,0,0,0,0,1
Bacteria,Cyanobacteria,p_Cyanobacteria,Synechococcales,Synechococcaceae,f_Synechococcaceae,f_Synechococcaceae,f_Synechococcaceae,736,0,0,0,0,0,0,0,0,0,2
Bacteria,Firmicutes,Bacilli,Bacillales,o_Bacillales,o_Bacillales,o_Bacillales,o_Bacillales,1466,2,8,1,27,7,8,19,11,19,9
Bacteria,Firmicutes,Bacilli,Lactobacillales,o_Lactobacillales,o_Lactobacillales,o_Lactobacillales,o_Lactobacillales,1481,1,2,2,10,2,37,52,38,45,28
Bacteria,Firmicutes,Clostridia,Clostridiales,o_Clostridiales,o_Clostridiales,o_Clostridiales,o_Clostridiales,1473,25,38,17,112,4,14,28,24,28,8
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,o_Thermoanaerobacterales,o_Thermoanaerobacterales,o_Thermoanaerobacterales,o_Thermoanaerobacterales,1499,0,0,0,1,0,0,1,0,0,0
Bacteria,Firmicutes,Tissierellia,Tissierellales,o_Tissierellales,o_Tissierellales,o_Tissierellales,o_Tissierellales,1501,1,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,p_Firmicutes,p_Firmicutes,p_Firmicutes,Ndongobacter,Ndongobacter massiliensis,Ndongobacter massiliensis,1429,0,0,0,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,o_Pelagibacterales,o_Pelagibacterales,o_Pelagibacterales,o_Pelagibacterales,1488,0,1,0,0,0,1,0,2,0,2
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,o_Rhizobiales,o_Rhizobiales,o_Rhizobiales,o_Rhizobiales,1491,16,49,6,86,4,1272,1531,1236,1421,1108
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,o_Rhodobacterales,o_Rhodobacterales,o_Rhodobacterales,o_Rhodobacterales,1492,0,1,0,0,0,2,1,0,2,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,o_Rhodospirillales,o_Rhodospirillales,o_Rhodospirillales,o_Rhodospirillales,1494,0,0,0,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,o_Rickettsiales,o_Rickettsiales,o_Rickettsiales,o_Rickettsiales,1495,1,0,0,0,0,0,1,2,1,4
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,o_Sphingomonadales,o_Sphingomonadales,o_Sphingomonadales,o_Sphingomonadales,1497,2,0,0,6,20,15,15,16,10,11
Bacteria,Proteobacteria,Betaproteobacteria,c_Betaproteobacteria,c_Betaproteobacteria,Candidatus Kinetoplastibacterium,g_Candidatus Kinetoplastibacterium,g_Candidatus Kinetoplastibacterium,844,0,0,0,0,2,3,6,3,1,3
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,o_Burkholderiales,o_Burkholderiales,o_Burkholderiales,o_Burkholderiales,1469,25,33,19,64,153,139,132,101,114,64
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,o_Neisseriales,o_Neisseriales,o_Neisseriales,o_Neisseriales,1485,1,0,2,2,7,2,5,4,5,6
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,o_Nitrosomonadales,o_Nitrosomonadales,o_Nitrosomonadales,o_Nitrosomonadales,1486,1,1,0,3,56,10,8,8,14,17
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,o_Rhodocyclales,o_Rhodocyclales,o_Rhodocyclales,o_Rhodocyclales,1493,0,0,0,1,1,1,5,1,2,0
Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,o_Bradymonadales,o_Bradymonadales,o_Bradymonadales,o_Bradymonadales,1468,0,0,0,0,0,0,1,0,0,1
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,o_Desulfuromonadales,o_Desulfuromonadales,o_Desulfuromonadales,o_Desulfuromonadales,1477,0,0,0,2,1,1,4,0,0,0
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,o_Myxococcales,o_Myxococcales,o_Myxococcales,o_Myxococcales,1484,1,0,0,0,0,0,1,0,0,3
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,o_Campylobacterales,o_Campylobacterales,o_Campylobacterales,o_Campylobacterales,1470,3,4,1,6,0,1,2,1,0,0
