"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus colihominis","Anaerotruncus colihominis",56,1.1,1.3,1.1,1.1,62.1,64,192,499.725
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus rubiinfantis","Anaerotruncus rubiinfantis",57,0,0,0,1.4,0,0,0,0
NA,"Bacillota","Tissierellia","Tissierellales","Gottschalkiaceae","Andreesenia","Andreesenia angusta","Andreesenia angusta",58,0,0,0,0,145.8,27.3,1,5.2
NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Angelakisella","Angelakisella massiliensis","Angelakisella massiliensis",59,0,132.2,0,155.1,46.2,24.5,13.3,12.2
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales",NA,"Aquabacterium","Aquabacterium parvum","Aquabacterium parvum",60,0,0,0,0,0,0,0,2.7
NA,"Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Asaccharospora","Asaccharospora irregularis","Asaccharospora irregularis",61,0,0,0,0,0,0,2.2,0
NA,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus clavatus","Aspergillus clavatus",62,0,0,0,0,4,4.1,2,1
NA,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus niger","Aspergillus niger",63,0,0,0,0,0.7,0,0,0
NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium deltae","Atopobium deltae",64,0,0,0,0,0,1,2,0
NA,"Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Atopococcus","Atopococcus tabaci","Atopococcus tabaci",65,0,0,0,0,0,0,1.1,1
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus coahuilensis","Bacillus coahuilensis",66,0,0,0,0,0,2,2,0
NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thermotolerans","Bacillus thermotolerans",67,0,0,0,0,0,8.9,13.1,0
