species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Duffyella gerundensis,0,0,0,0,0,0,3,10
Edwardsiella anguillarum,0,0,0,0,20,77,772,355
Eggerthella lenta,0,0,0,0,5440,13205,93018,19091
Eggerthia catenaformis,0,0,0,0,0,2,0,4
Eisenbergiella tayi,0,0,0,0,10,24,98,55
Elizabethkingia anophelis,0,0,0,0,0,0,0,1
Emergencia timonensis,0,0,0,0,399,946,856,924
Enorma massiliensis,0,0,5,0,0,1,0,0
Enterobacter hormaechei,0,0,0,0,33,74,1523,160
Enterobacter kobei,0,0,0,0,10,25,113,43
Enterobacter lignolyticus,0,0,0,0,76,351,630,643
Enterobacteria phage cdtI,0,0,0,0,274,84,37,35
Enterobacteria phage IME10,0,0,0,0,0,2,38,0
Enterobacteria phage mEp237,0,0,0,0,0,6,1,1
Enterobacteria phage mEp460,0,0,0,0,40,479,206,299
Enterobacteria phage Sf101,0,0,0,0,0,4,7,14
Enterobacteria phage SfI,0,0,0,0,5,14,3,7
Enterobacteria phage SfV,0,0,0,0,11,2,2,1
Enterobacteria phage ST104,0,0,0,0,1,0,0,0
Enterocloster asparagiformis,4,0,2,0,30,95,273,170
Enterocloster bolteae,0,0,0,1,193,457,509,333
Enterocloster citroniae,2,9,8,13,26,49,108,48
Enterococcus asini,0,0,0,0,0,5,17,4
Enterococcus canis,0,0,0,0,0,1,10,0
Enterococcus casseliflavus,0,0,0,0,13,75,543,115
Enterococcus cecorum,18,28,83,19,28,54,49,48
Enterococcus columbae,2,2,85,35,0,0,0,0
Enterococcus dispar,0,0,0,0,2,2,4,7
Enterococcus faecalis,0,0,0,0,48,66,462,96
Enterococcus faecium,0,0,0,0,3750,9955,68760,14570
Enterococcus gilvus,0,0,0,0,95,285,99,177
Enterococcus hirae,0,0,0,0,21,38,263,61
Enterococcus italicus,0,0,0,0,15,9,171,9
Enterococcus malodoratus,0,0,0,0,3,11,148,12
Enterococcus massiliensis,0,0,0,0,1,5,51,8
Enterococcus mundtii,0,0,0,0,51,3,12,4
Enterococcus pallens,0,0,0,0,7,23,114,21
Enterococcus phoeniculicola,0,0,0,0,0,1,2,0
Enterococcus pseudoavium,0,0,0,0,12,2,2,3
