name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Campylobacter ureolyticus	827	species	1641887	163	104	3.71559e-06
Butyrivibrio	830	genus	0	1	0	0.0
Fibrobacter	832	genus	0	1	0	0.0
Fibrobacter succinogenes	833	species	7685639	675	537	0.0
Porphyromonas	836	genus	0	1	0	0.0
Porphyromonas gingivalis	837	species	2343668	2960	2156	4.06711e-40
Prevotella	838	genus	0	17	0	0.0
Prevotella ruminicola	839	species	3619559	19577	16214	0.0
Roseburia	841	genus	0	2	0	0.0
Wolinella succinogenes	844	species	2110355	117	87	0.0
Fusobacterium nucleatum	851	species	2948417	1238	832	0.0
Syntrophomonas wolfei	863	species	2936195	191	130	0.0
Dichelobacter nodosus	870	species	1389350	93	70	0.0
Desulfovibrio	872	genus	0	21	0	0.0
Desulfovibrio africanus	873	species	4200534	632	421	0.0
Desulfovibrio desulfuricans	876	species	3366008	1687	1099	0.0
Desulfovibrio salexigens	880	species	4289847	403	265	0.0
Desulfovibrio vulgaris	881	species	3802302	2180	1491	0.0
Desulfuromonas	890	genus	0	5	0	0.0
Desulfobulbus propionicus	894	species	3851869	519	325	0.0
Desulfococcus	896	genus	0	6	0	0.0
Desulfococcus multivorans	897	species	4455399	311	203	0.0
Desulfomicrobium	898	genus	0	2	0	0.0
Desulfomicrobium baculatum	899	species	3942657	553	330	0.0
Acidaminococcus fermentans	905	species	2329769	1393	1023	1.66453e-38
Megasphaera elsdenii	907	species	2504349	14250	13117	0.00220331
Nitrobacter	911	genus	0	9	0	0.0
Nitrobacter hamburgensis	912	species	5011522	162	73	0.0
Nitrobacter winogradskyi	913	species	3402093	173	74	0.0
Nitrosomonas europaea	915	species	2812094	149	99	0.0
Nitrosomonas eutropha	916	species	2781824	118	66	0.0
Thiobacillus	919	genus	0	5	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	199	110	0.0
Starkeya novella	921	species	4765023	280	133	0.0
Thiomonas intermedia	926	species	3462095	306	165	0.0
Halothiobacillus neapolitanus	927	species	2582886	201	115	0.0
Hydrogenobacter thermophilus	940	species	3486067	41	31	0.0
Ehrlichia canis	944	species	1315030	51	34	0.0
Ehrlichia chaffeensis	945	species	1174554	48	32	0.0
Anaplasma phagocytophilum	948	species	1493914	67	42	0.0
Neorickettsia risticii	950	species	879977	52	12	0.0
Neorickettsia sennetsu	951	species	859006	37	3	0.0
Wolbachia	953	genus	0	2	0	0.0
Francisella persica	954	species	3057444	81	45	0.0
Bdellovibrio bacteriovorus	959	species	3652240	474	337	0.0
Herbaspirillum	963	genus	0	9	0	0.0
Herbaspirillum seropedicae	964	species	8221139	603	281	0.0
Selenomonas	970	genus	0	3	0	0.0
Selenomonas ruminantium	971	species	3631933	1672	1213	0.0
Cellulophaga lytica	979	species	3795066	207	152	0.0
Pedobacter heparinus	984	species	5167383	686	508	0.0
Cytophaga hutchinsonii	985	species	4433218	594	366	0.0
Flavobacterium johnsoniae	986	species	5603295	1360	982	0.0
Solitalea canadensis	995	species	5202069	694	492	0.0
Flavobacterium columnare	996	species	6492116	748	566	0.0
Flexibacter litoralis	999	species	4919337	336	254	0.0
Marivirga tractuosa	1006	species	4516490	302	221	0.0
Saprospira grandis	1008	species	4400185	221	155	0.0
Weeksella virosa	1014	species	2272954	245	137	0.0
Capnocytophaga ochracea	1018	species	2612925	536	199	0.0
Erythrobacter	1041	genus	0	4	0	0.0
Chromatiaceae	1046	family	0	3	0	0.0
Allochromatium vinosum	1049	species	3669074	378	178	0.0
Ectothiorhodospira	1051	genus	0	1	0	0.0
Halorhodospira halophila	1053	species	2678452	266	146	0.0
Rhodobacter	1060	genus	0	7	0	0.0
Rhodobacter capsulatus	1061	species	3871920	277	182	0.0
Rhodobacter sphaeroides	1063	species	5768316	810	485	0.0
Rhodomicrobium	1068	genus	0	1	0	0.0
Rhodomicrobium vannielii	1069	species	4014469	226	125	0.0
Rhodopseudomonas	1073	genus	0	13	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	1501	814	0.0
Blastochloris viridis	1079	species	11174693	319	137	0.0
Rhodospirillum	1081	genus	0	20	0	0.0
Pararhodospirillum photometricum	1084	species	3876289	254	143	0.0
Rhodospirillum rubrum	1085	species	4379691	309	193	0.0
Chlorobium	1091	genus	0	1	0	0.0
Chlorobium limicola	1092	species	2763181	276	166	0.0
Chlorobium phaeovibrioides	1094	species	1966858	239	153	0.0
Chlorobium phaeobacteroides	1096	species	2935152	358	250	0.0
Chlorobaculum tepidum	1097	species	2154946	382	165	0.0
Pelodictyon	1099	genus	0	2	0	0.0
Pelodictyon luteolum	1100	species	2364842	447	207	0.0
Prosthecochloris aestuarii	1102	species	2579695	159	81	0.0
Chloroflexus aurantiacus	1108	species	5258541	153	0	0.0
Porphyrobacter	1111	genus	0	16	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	190	114	0.0
