species,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_50,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_50
Bathymodiolus thermophilus thioautotrophic gill symbiont,5,2,1,0,0,1,0,0
Candidatus Palibaumannia cicadellinicola,3,5,0,6,0,0,0,0
endosymbiont of Euscepes postfasciatus,1,0,0,0,0,0,0,0
endosymbiont of unidentified scaly snail isolate Monju,2,0,0,0,0,0,1,0
gamma proteobacterium HdN1,0,0,0,2,0,0,0,0
gamma proteobacterium SS-5,6,0,1,4,0,1,1,0
Gammaproteobacteria bacterium DM2,0,3,15,0,2,10,21,7
Gammaproteobacteria bacterium ESL0073,2,1,1,2,0,0,0,0
Candidatus Izimaplasma sp. HR1,6,2,1,3,0,0,0,0
o_Thermotogales,0,1,0,0,0,0,0,0
Adoxophyes orana granulovirus,1,0,0,0,0,0,0,0
Spodoptera frugiperda granulovirus,0,0,0,1,0,0,0,0
f_Methanobacteriaceae,0,1,0,0,0,0,0,0
f_Methanomicrobiaceae,1,0,0,0,0,0,0,0
Thermoplasmatales archaeon BRNA1,0,0,3,3,1,0,0,5
g_Nitrosopumilus,0,0,0,1,0,1,2,2
f_Acidobacteriaceae,0,6,2,3,0,0,0,0
Chloracidobacterium thermophilum,0,0,0,3,0,0,0,0
f_Actinomycetaceae,3,3,0,1,5,3,0,1
f_Bifidobacteriaceae,3,3,2,3,6,4,3,1
f_Corynebacteriaceae,1,1,3,3,0,0,0,0
f_Mycobacteriaceae,9,13,30,15,23,22,31,14
f_Nocardiaceae,0,4,0,0,0,0,0,0
g_Tomitella,1,0,0,0,0,0,0,0
f_Microbacteriaceae,6,2,7,7,1,3,4,5
f_Micrococcaceae,6,3,0,6,0,1,0,0
f_Promicromonosporaceae,3,1,0,0,0,0,0,0
f_Micromonosporaceae,5,1,0,1,1,0,0,1
f_Nocardioidaceae,0,0,0,1,0,0,0,0
f_Propionibacteriaceae,1,0,0,0,0,0,0,0
f_Pseudonocardiaceae,0,1,0,0,0,0,0,0
f_Streptomycetaceae,2,2,1,5,0,0,0,0
f_Atopobiaceae,34,21,7,17,32,25,16,14
f_Coriobacteriaceae,1,4,1,1,8,8,4,2
f_Eggerthellaceae,249,77,34,115,23,11,10,8
f_Aquificaceae,0,0,1,0,0,0,0,1
f_Dysgonomonadaceae,6,2,7,3,1,3,4,5
f_Muribaculaceae,18,23,40,22,7,18,29,9
f_Odoribacteraceae,33,19,14,21,3,0,0,2
f_Prevotellaceae,32,24,232,48,51,100,196,108
f_Rikenellaceae,3,4,6,11,14,10,9,12
f_Tannerellaceae,4,6,3,2,0,1,0,0
g_Phocaeicola,3553,5960,6133,9487,21684,18729,12618,20808
Bacteroidales bacterium CF,15,27,94,16,42,67,101,61
f_Prolixibacteraceae,2,1,0,1,0,0,0,0
f_Chitinophagaceae,13,5,4,3,0,1,0,0
f_Cyclobacteriaceae,0,0,1,0,0,0,0,0
f_Cytophagaceae,3,1,1,4,0,0,0,0
f_Hymenobacteraceae,9,5,9,3,5,9,7,3
Cytophagales bacterium TFI 002,8,2,2,0,2,3,7,1
f_Flavobacteriaceae,87,80,159,95,46,74,142,63
f_Weeksellaceae,6,9,14,4,4,5,14,4
Candidatus Uzinura diaspidicola,1,0,0,0,0,0,0,0
f_Sphingobacteriaceae,18,15,10,13,3,5,2,4
Rhodothermaceae bacterium,3,3,21,10,17,16,26,14
Rhodothermaceae bacterium RA,0,0,1,1,4,2,3,2
f_Chlorobiaceae,0,0,0,2,0,0,0,0
Dehalogenimonas formicexedens,1,0,1,4,0,0,0,0
Dehalogenimonas lykanthroporepellens,2,0,0,0,1,2,0,0
g_Dolichospermum,2,0,1,0,0,0,0,0
g_Calothrix,5,1,4,0,0,0,0,0
g_Nostoc,4,11,5,5,0,0,1,0
g_Brasilonema,0,1,2,1,0,0,0,0
g_Scytonema,2,1,1,0,0,0,0,0
f_Bacillaceae,52,63,33,48,43,18,17,64
f_Paenibacillaceae,13,20,9,10,2,2,1,0
f_Planococcaceae,4,10,4,4,0,0,0,0
f_Staphylococcaceae,4,3,0,0,0,0,0,0
f_Thermoactinomycetaceae,2,1,0,0,0,0,0,0
g_Exiguobacterium,3,0,1,4,0,0,0,0
g_Gemella,6,7,5,7,8,5,8,8
f_Carnobacteriaceae,0,1,0,0,0,0,0,0
f_Enterococcaceae,13,2,0,14,2,9,3,4
f_Lactobacillaceae,1,1,0,1,0,0,0,0
f_Streptococcaceae,7,4,9,10,2,1,1,1
f_Clostridiaceae,10,23,7,6,1,0,0,4
f_Clostridiales Family XIII. Incertae Sedis,0,0,0,2,0,0,0,0
f_Hungateiclostridiaceae,0,0,1,0,0,0,1,0
f_Lachnospiraceae,15461,28125,24731,40139,99481,74429,49523,44879
f_Oscillospiraceae,30,32,19,29,24,23,17,21
f_Peptococcaceae,5,1,1,1,0,0,0,0
f_Peptostreptococcaceae,110,30,6,21,6,6,7,10
f_Ruminococcaceae,61,56,34,55,30,43,22,42
Clostridiales bacterium,65,54,21,51,47,41,28,42
Clostridiales bacterium CCNA10,319,287,127,272,82,117,83,175
f_Halanaerobiaceae,1,0,0,0,0,0,0,0
f_Thermoanaerobacteraceae,0,1,1,0,0,0,0,0
Thermoanaerobacterales bacterium SK-G1,7,3,5,5,0,0,0,0
f_Erysipelotrichaceae,241,321,124,256,4,11,3,5
f_Acidaminococcaceae,11,2,2,4,0,0,0,0
f_Veillonellaceae,2,1,0,0,0,2,1,0
Ezakiella massiliensis,49,21,6,15,0,0,0,0
f_Peptoniphilaceae,7,1,1,1,0,0,0,0
Victivallales bacterium CCUG 44730,0,15,13,13,19,16,27,22
f_Gemmataceae,1,4,1,1,7,2,4,5
Planctomycetales bacterium 10988,2,2,2,1,0,0,0,0
Candidatus Puniceispirillum marinum,0,3,1,0,0,0,0,0
Micavibrio aeruginosavorus,4,3,0,3,0,1,3,3
Phreatobacter cathodiphilus,3,0,1,1,5,4,6,1
Phreatobacter sp. NMCR1094,0,0,0,1,1,1,0,0
Phreatobacter stygius,4,2,0,2,0,0,0,0
Polymorphum gilvum,0,3,0,0,0,0,0,0
f_Caulobacteraceae,3,0,0,1,0,0,0,0
f_Bradyrhizobiaceae,9,1,0,2,0,0,0,0
f_Brucellaceae,0,0,0,1,0,0,0,0
f_Hyphomicrobiaceae,0,0,0,1,0,0,0,0
f_Methylobacteriaceae,1,2,0,1,0,0,0,0
f_Phyllobacteriaceae,1,1,0,1,0,0,0,0
f_Rhizobiaceae,16,4,7,16,3,1,2,0
g_Methyloceanibacter,0,2,0,0,0,0,0,0
f_Hyphomonadaceae,1,0,0,0,0,0,0,0
f_Rhodobacteraceae,10,21,17,23,11,6,15,5
f_Acetobacteraceae,2,0,0,2,0,0,0,0
f_Rhodospirillaceae,2,3,0,2,0,0,0,0
f_Rickettsiaceae,0,0,0,1,0,0,0,0
Rickettsiales bacterium Ac37b,0,1,1,0,0,0,1,0
Rickettsiales endosymbiont of Stachyamoeba lipophora,1,1,1,0,0,0,0,0
f_Erythrobacteraceae,1,1,1,2,0,0,0,0
f_Sphingomonadaceae,6,4,0,2,1,3,1,1
Candidatus Accumulibacter phosphatis,2,0,1,1,4,3,1,8
Candidatus Kinetoplastidibacterium blastocrithidiae,0,0,1,0,0,0,0,0
Candidatus Kinetoplastidibacterium desouzai,3,0,2,0,0,0,0,0
Candidatus Kinetoplastidibacterium galati,1,0,0,0,0,0,0,0
Candidatus Kinetoplastibacterium sorsogonicusi,1,1,2,3,2,1,1,0
f_Alcaligenaceae,5,3,0,4,0,1,0,0
f_Burkholderiaceae,38,12,8,25,8,8,8,8
f_Comamonadaceae,24,9,7,14,9,7,13,11
f_Oxalobacteraceae,11,4,1,8,5,5,5,5
g_Thiomonas,3,2,8,4,5,7,14,7
Burkholderiales bacterium GJ-E10,4,1,0,0,0,0,0,0
Burkholderiales bacterium JOSHI_001,3,2,0,0,0,0,0,0
Burkholderiales bacterium YL45,187,45,20,66,4,3,1,9
f_Chromobacteriaceae,1,0,1,1,3,0,1,0
f_Neisseriaceae,1,0,0,1,0,0,0,0
f_Sterolibacteriaceae,0,0,0,1,0,0,0,0
Nitrosomonadales bacterium 0125_3,1,0,0,0,0,0,0,0
Nitrosomonadales bacterium skT11,2,2,10,2,4,10,9,7
Nitrosomonadales bacterium Swamp67,1,2,2,2,6,2,1,0
f_Rhodocyclaceae,3,2,2,0,0,0,0,0
Bradymonadales bacterium V1718,0,1,0,0,0,0,0,1
f_Desulfovibrionaceae,1,0,0,0,0,0,0,0
f_Archangiaceae,1,1,0,2,2,0,0,1
f_Myxococcaceae,1,1,1,2,0,0,0,0
Nitratiruptor sp. SB155-2,1,1,0,2,0,1,0,0
Sulfurovum lithotrophicum,4,4,3,8,3,6,6,9
Sulfurovum sp. NBC37-1,4,0,0,2,0,0,0,0
f_Campylobacteraceae,7,11,2,9,0,3,2,1
f_Helicobacteraceae,0,1,0,0,0,0,0,0
Candidatus Reidiella endopervernicosa,3,0,3,1,0,0,3,0
Candidatus Ruthia endofausta,3,0,0,0,0,0,0,0
Candidatus Ruthturnera calyptogenae,1,6,1,2,0,0,0,0
Candidatus Pseudothioglobus singularis,1,1,0,1,0,0,0,0
Candidatus Thioglobus sp. NP1,6,3,0,0,0,0,0,0
Candidatus Vesicomyosocius okutanii,1,0,0,0,0,0,0,0
Gallaecimonas mangrovi,5,7,2,2,1,4,1,8
Pseudohongiella spirulinae,2,7,2,2,4,2,2,3
Sedimenticola thiotaurini,3,0,2,1,0,1,0,0
Thiolapillus brandeum,3,2,0,0,0,1,1,0
f_Alteromonadaceae,1,1,0,0,0,0,0,0
f_Colwelliaceae,1,0,0,0,0,0,0,0
f_Chromatiaceae,1,0,0,0,0,0,0,0
f_Enterobacteriaceae,5175,10469,4013,6592,20,44,88,53
f_Erwiniaceae,0,3,1,2,0,0,0,0
f_Hafniaceae,1,2,0,0,0,0,0,0
f_Morganellaceae,1,4,0,1,0,0,0,0
f_Pectobacteriaceae,2,0,0,0,0,0,0,0
f_Yersiniaceae,1,0,0,0,0,0,0,0
f_Legionellaceae,1,0,1,0,0,0,0,0
f_Methylococcaceae,1,0,0,0,0,0,0,0
f_Halomonadaceae,0,7,21,3,5,18,46,12
f_Oceanospirillaceae,0,0,0,1,0,0,0,0
Oceanospirillales bacterium S2-4-1H,0,0,0,0,0,0,1,0
f_Pasteurellaceae,16,5,4,2,0,1,0,0
f_Moraxellaceae,0,4,1,2,0,0,0,0
f_Pseudomonadaceae,2,2,1,2,1,0,0,0
f_Piscirickettsiaceae,2,1,1,2,0,0,0,0
f_Vibrionaceae,8,3,9,8,7,4,18,7
f_Rhodanobacteraceae,1,2,31,6,9,18,29,20
f_Xanthomonadaceae,4,2,0,2,4,3,0,2
Silvanigrellales bacterium RF1110005,3,3,3,2,1,0,0,0
f_Borreliaceae,0,0,0,1,0,0,0,0
f_Acholeplasmataceae,28,23,13,22,1,3,2,3
f_Petrotogaceae,0,1,0,1,0,0,0,0
f_Opitutaceae,0,0,0,0,0,1,0,0
f_Myoviridae,1,0,0,0,0,0,0,0
g_Staphylothermus,1,0,2,0,0,0,0,0
g_Acidianus,4,0,0,1,0,0,0,0
g_Sulfolobus,0,0,0,1,0,0,0,0
g_Sulfurisphaera,0,0,0,1,0,0,0,0
g_Haloarcula,0,0,1,0,0,0,0,0
g_Halorussus,0,0,0,1,0,0,0,0
g_Haloplanus,2,0,0,0,0,0,0,0
Halalkaliarchaeum desulfuricum,3,0,0,1,0,0,0,0
Natrialbaceae archaeon XQ-INN 246,0,0,0,1,0,0,0,0
g_Methanobacterium,2,0,2,2,3,5,3,3
g_Methanobrevibacter,7,5,2,5,0,0,0,0
g_Methanothermobacter,0,0,1,0,0,0,0,0
g_Methanococcus,0,1,0,0,0,0,0,0
Methanofervidicoccus sp. A16,0,0,0,1,0,0,0,0
g_Methanohalophilus,1,0,0,0,0,0,0,0
g_Methanosarcina,3,7,2,2,0,0,0,0
g_Methanopyrus,0,0,0,0,1,0,0,0
g_Thermococcus,0,2,30,3,2,14,16,9
Methanomassiliicoccaceae archaeon DOK,0,0,0,1,0,0,0,0
Candidatus Nitrosomarinus catalina,3,0,0,0,0,0,0,0
Nitrosarchaeum sp. AC2,0,0,0,1,0,0,0,0
Candidatus Nitrosopumilus koreensis,1,1,0,0,0,0,0,0
Candidatus Nitrosopumilus sediminis,1,0,0,0,0,0,0,0
Candidatus Nitrosopumilus sp. SW,0,1,0,0,0,0,0,0
Nitrosopumilus adriaticus,0,2,0,1,0,0,0,0
Nitrosopumilus maritimus,2,0,0,0,0,0,0,0
Nitrosopumilus oxyclinae,1,1,0,2,3,2,0,1
Nitrosopumilus piranensis,1,1,0,3,0,0,0,0
Candidatus Babela massiliensis,0,0,1,1,0,0,0,0
Luteitalea pratensis,1,0,0,0,0,1,3,1
Iamiaceae bacterium SCSIO 58843,1,1,0,0,1,0,0,1
g_Actinomyces,6,2,4,2,2,0,0,0
g_Bifidobacterium,2055,2141,1089,1998,2105,1644,1009,936
g_Candidatus Nanopelagicus,2,0,0,0,0,0,0,0
g_Candidatus Planktophila,0,1,1,1,0,0,0,0
g_Corynebacterium,19,10,14,11,17,10,15,15
Corynebacteriaceae bacterium ARUP UnID 227,4,1,0,0,0,0,0,0
g_Dietzia,1,0,1,1,0,0,0,0
g_Gordonia,2,2,0,1,0,0,0,1
g_Mycobacterium,6,2,3,6,3,0,0,1
g_Mycobacteroides,1,0,0,0,0,0,0,0
g_Mycolicibacterium,3,3,1,1,2,0,1,2
g_Nocardia,0,1,1,2,2,1,1,0
g_Rhodococcus,14,12,38,11,14,11,26,14
Lawsonella clevelandensis,1,1,2,0,12,0,2,2
Tomitella sp. HY172,0,0,0,0,1,0,1,1
Tomitella sp. HY188,1,0,0,0,0,0,0,0
