"TaxonomyID","superkingdom","kingdom","phylum","class","order","family","genus","species","read_count","Proportion","readsEM","EMProportion","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
301302,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia faecis",768,0.0103105239840509,794.4,0.0106666040731776,0,0,0,0,0,NA,NA
471875,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] lactaris",745,0.0100017452709869,751.6,0.0100919125663803,0,0,0,0,0,NA,NA
1002367,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Leyella","Leyella stercorea",713,0.00957214010498476,720.4,0.00967230572879372,0,0,0,0,0,NA,NA
411903,NA,NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens",709,0.0095184394592345,707.9,0.00950492207963158,0,0,0,0,0,NA,NA
511680,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eshraghiella","Eshraghiella crossota",698,0.00937076268342127,712.4,0.00956551031841789,0,0,0,0,0,NA,NA
349741,NA,NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila",697,0.0093573375219837,697,0.00935846827251,0,0,0,0,0,NA,NA
333849,NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",686,0.00920966074617047,683.8,0.00918144642980144,0,0,0,0,0,NA,NA
868129,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bivia",681,0.00914253493898264,757.9,0.0101767601749862,0,0,0,0,0,NA,NA
1122981,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella corporis",680,0.00912910977754508,842.1,0.0113065158708192,0,0,0,0,0,NA,NA
411460,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques",668,0.00896800784029428,670.5,0.00900261271600961,0,0,0,0,0,NA,NA
367928,NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis",656,0.00880690590304348,674.3,0.00905341414625399,0,0,0,0,0,NA,NA
445970,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis",650,0.00872635493441809,660.2,0.00886499673554753,0,0,0,0,0,NA,NA
1501391,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes inops",647,0.00868607945010539,647.4,0.00869217513432663,0,0,0,0,0,NA,NA
649756,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus",646,0.00867265428866782,651.7,0.00875051681294177,0,0,0,0,0,NA,NA
568816,NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini",637,0.00855182783572972,637.2,0.00855531756815566,0,0,0,0,0,NA,NA
411463,NA,NA,"Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ventriosum",624,0.00837730073704136,641.2,0.0086086164546516,0,0,0,0,0,NA,NA
518635,NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum",621,0.00833702525272866,598.6,0.00803671809650425,0,0,0,0,0,NA,NA
760570,NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis",615,0.00825647428410327,612,0.00821710340729471,0,0,0,0,0,NA,NA
1384063,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter gnavus",611,0.008202773638353,611.9,0.00821591824749106,0,0,0,0,0,NA,NA
479436,NA,NA,"Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula",603,0.00809537234685247,603.1,0.00809807312189821,0,0,0,0,0,NA,NA
518637,NA,NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella biformis",588,0.00789399492528898,583.4,0.00783308952067968,0,0,0,0,0,NA,NA
702459,NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum",582,0.00781344395666358,581.5,0.00780744030420972,0,0,0,0,0,NA,NA
1069534,NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis",580,0.00778659363378845,580.9,0.0077993599263944,0,0,0,0,0,NA,NA
1458465,NA,NA,"Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii",569,0.00763891685797522,563.9,0.00757197321498462,0,0,0,0,0,NA,NA
626939,NA,NA,"Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens",542,0.00727643749916093,543.4,0.00729631142947097,0,0,0,0,0,NA,NA
592028,NA,NA,"Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister invisus",536,0.00719588653053553,536,0.00719650502242122,0,0,0,0,0,NA,NA
1282887,NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira multipara",530,0.00711533556191013,530,0.0071161953865571,0,0,0,0,0,NA,NA
206672,NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum",524,0.00703478459328473,525.4,0.00705473851580701,0,0,0,0,0,NA,NA
1051074,NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus",501,0.00672600588022071,478.8,0.00642918114604361,0,0,0,0,0,NA,NA
679190,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella buccalis",442,0.0059339213554043,450.6,0.00605012508369339,0,0,0,0,0,NA,NA
1304,NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius",366,0.00491360908614926,391.4,0.00525561577528668,0,0,0,0,0,NA,NA
901,NA,NA,"Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger",350,0.0046988065031482,349.8,0.00469704029426361,0,0,0,0,0,NA,NA
547042,NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprophilus",266,0.00357109294239263,259.6,0.00348565569069018,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",255,0.0034234161665794,269.3,0.00361636448526558,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",197,0.00264475680320056,198.2,0.00266074526363844,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",90,0.00120826452938097,92.7,0.00124509863900919,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",82,0.00110086323788044,81.7,0.00109677257036983,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",69,0.000926336139192074,69.3,0.000930075746368733,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",64,0.000859210332004242,64.1,0.00086021929231433,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",55,0.000738383879066146,55,0.000738144144149672,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",32,0.000429605166002121,32,0.00042965707994307,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",29,0.000389329681689422,29,0.000389376728698408,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",28,0.000375904520251856,28.8,0.000386150434203323,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",24,0.000322203874501591,24,0.000322242809957303,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",21,0.000281928390188892,21,0.00028196245871264,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",19,0.000255078067313759,19,0.000255108891216198,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",19,0.000255078067313759,19,0.000255108891216198,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",18,0.000241652905876193,18,0.000241682107467977,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",17,0.000228227744438627,17,0.000228255565727859,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",16,0.000214802583001061,16,0.000214828539971535,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",16,0.000214802583001061,16,0.000214828539971535,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",16,0.000214802583001061,16,0.000214828539971535,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",15,0.000201377421563494,15,0.000201401756223314,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",14,0.000187952260125928,14,0.000187974972475093,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",14,0.000187952260125928,14,0.000187974972475093,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",14,0.000187952260125928,14,0.000187974972475093,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",14,0.000187952260125928,14,0.000187974972475093,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",14,0.000187952260125928,14,0.000187974972475093,0,0,0,0,0,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",13,0.000174527098688362,13,0.000174548188726872,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",13,0.000174527098688362,13,0.000174548188726872,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",13,0.000174527098688362,13,0.000174548188726872,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",12,0.000161101937250795,12,0.000161121404978651,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",12,0.000161101937250795,12,0.000161121404978651,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",11,0.000147676775813229,11,0.00014769462123043,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",11,0.000147676775813229,11,0.00014769462123043,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",11,0.000147676775813229,11,0.00014769462123043,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",10,0.000134251614375663,10,0.00013426783748221,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",10,0.000134251614375663,10,0.00013426783748221,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",10,0.000134251614375663,10,0.00013426783748221,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",9,0.000120826452938097,9,0.000120841053733989,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",9,0.000120826452938097,9,0.000120841053733989,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",9,0.000120826452938097,9,0.000120841053733989,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",8,0.00010740129150053,8,0.000107414269985768,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",8,0.00010740129150053,8,0.000107414269985768,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",8,0.00010740129150053,8,0.000107414269985768,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",8,0.00010740129150053,8,0.000107414269985768,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",8,0.00010740129150053,8,0.000107414269985768,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",8,0.00010740129150053,7.5,0.000100778831925656,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",7,9.3976130062964e-05,7,9.39874862375467e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",6,8.05509686253977e-05,6,8.05607024893257e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",6,8.05509686253977e-05,6,8.05607024893257e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",6,8.05509686253977e-05,6,8.05607024893257e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",6,8.05509686253977e-05,6,8.05607024893257e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",6,8.05509686253977e-05,6,8.05607024893257e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",5,6.71258071878314e-05,5,6.71339187411048e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",5,6.71258071878314e-05,5,6.71339187411048e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",5,6.71258071878314e-05,5,6.71339187411048e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",4,5.37006457502651e-05,4,5.37071349928838e-05,NA,NA,NA,NA,NA,NA,NA
