"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"11",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae",1362,0.0182850698779653,1367.2,0.0183570639974226,"10","1121101","1"
"12",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae",1327,0.0178151892276505,1380.8,0.0185394856909108,"11","47678","1"
"13",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus",1245,0.01671432598977,1248.1,0.0167580900975828,"12","709991","1"
"14",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri",1233,0.0165532240525192,1201.4,0.0161310777194991,"13","198214","1"
"15",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea formicigenerans",1222,0.016405547276706,1157.1,0.0155361609279784,"14","411461","1"
"16",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis",1200,0.0161101937250795,1230.7,0.016524408513285,"15","435591","1"
"17",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius",1177,0.0158014150120155,1164,0.0156290940507442,"16","484018","1"
"18",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris",1153,0.0154792111375139,1141,0.0153196164182512,"17","449673","1"
"19",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hoylesella","Hoylesella timonensis",1148,0.0154120853303261,967.9,0.0129955648830923,"18","1122992","1"
"20",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans",1092,0.0146602762898224,1099,0.0147566241037445,"19","1550024","1"
"21",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis",1091,0.0146468511283848,1071.5,0.0143868711005993,"20","515619","1"
"22",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii",1029,0.0138144911192557,1034.3,0.0138879035385997,"21","679935","1"
"23",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",996,0.013371460791816,996.4,0.0133788562193757,"22","537011","1"
"24",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola coprocola",974,0.0130761072401896,1039.3,0.0139548925339818,"23","470145","1"
"25",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis",961,0.0129015801415012,983,0.0131990515672148,"24","585394","1"
"26",NA,NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta",952,0.0127807536885631,950.5,0.0127624568785909,"25","479437","1"
"27",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii",940,0.0126196517513123,940.4,0.0126271987707823,"26","717959","1"
"28",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella disiens",934,0.0125391007826869,886,0.0118964924016849,"27","1235811","1"
"29",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii",926,0.0124316994911864,929.8,0.0124845499514831,"28","411469","1"
"30",NA,NA,"Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ramulus",921,0.0123645736839986,900.4,0.0120891368628408,"29","1256908","1"
"31",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila",910,0.0122168969081853,912.5,0.0122520745083302,"30","762982","1"
"32",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena",895,0.0120155194866218,903.3,0.0121277602586225,"31","411462","1"
"33",NA,NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae",876,0.0117604414193081,875.6,0.0117559956903503,"32","657308","1"
"34",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia inulinivorans",875,0.0117470162578705,929.8,0.0124847670263246,"33","622312","1"
"35",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis",862,0.0115724891591821,872.9,0.0117203546885931,"34","742726","1"
"36",NA,NA,"Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Intestinibacter","Intestinibacter bartlettii",845,0.0113442614147435,844,0.0113316500861466,"35","445973","1"
"37",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus",841,0.0112905607689932,849.3,0.0114039827212276,"36","411474","1"
"38",NA,NA,"Bacillota","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger formicilis",840,0.0112771356075557,850.5,0.0114196606799862,"37","745368","1"
"39",NA,NA,"Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii",824,0.0110623330245546,825,0.0110768049757187,"38","292800","1"
"40",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens",820,0.0110086323788044,815.7,0.0109520497523544,"39","515620","1"
"41",NA,NA,"Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens",810,0.0108743807644287,809.6,0.0108706550614461,"40","1384484","1"
"42",NA,NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Parasutterella excrementihominis",795,0.0106730033428652,793.6,0.0106556959058218,"41","762966","1"
"43",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans",793,0.0106461530199901,805.1,0.0108101938087222,"42","1150298","1"
