"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1","healthy_stool_10_10","healthy_stool_10_100","healthy_stool_10_50","healthy_stool_100_1","healthy_stool_100_10","healthy_stool_100_100","healthy_stool_100_50"
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides xylanisolvens",68,1097,1431,1790,1602,37306,162151,241076,58955
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides zhangwenhongii","Bacteroides zhangwenhongii",69,1,0,0,0,5,1,4,0
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Bariatricus","Bariatricus massiliensis","Bariatricus massiliensis",70,0,0,0,0,0,0,9,0
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","Barnesiella intestinihominis",71,0,0,0,0,48398,133131,101832,76623
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium adolescentis",72,282448,425018,604215,255002,122309,111409,62824,197348
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum","Bifidobacterium angulatum",73,9,26,33,0,5145,13470,55965,19602
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium animalis","Bifidobacterium animalis",74,0,0,0,0,3833,9988,54890,14418
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum","Bifidobacterium bifidum",75,0,0,0,0,16549,43254,61944,26634
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium boum","Bifidobacterium boum",76,5,0,0,0,0,4,0,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium catenulatum","Bifidobacterium catenulatum",77,0,0,0,2,6138,15621,48992,22306
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium erythrocebi","Bifidobacterium erythrocebi",78,0,0,0,0,0,0,0,1
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium eulemuris","Bifidobacterium eulemuris",79,0,0,0,0,0,0,0,3
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium hominis","Bifidobacterium hominis",80,0,2,0,0,0,0,0,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium imperatoris","Bifidobacterium imperatoris",81,0,0,0,0,1,0,0,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium longum",82,0,0,0,0,79563,209986,68816,127961
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium merycicum","Bifidobacterium merycicum",83,0,0,0,0,0,1,1,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium myosotis","Bifidobacterium myosotis",84,0,8,0,0,0,0,0,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudocatenulatum","Bifidobacterium pseudocatenulatum",85,27,28,52,32,15542,40832,71278,26979
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudolongum","Bifidobacterium pseudolongum",86,60,0,0,4,5,3,0,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium ramosum","Bifidobacterium ramosum",87,2,0,0,0,0,0,0,5
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium reuteri","Bifidobacterium reuteri",88,0,0,0,3,0,0,0,0
NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium ruminantium","Bifidobacterium ruminantium",89,1,3,12,16,0,0,3,0
