Total Number of Aligned Reads:	7865724	Total Number of Mapped Genomes:	33631
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1384484|org|Adlercreutzia_equolifaciens_DSM_19450|accession|NC_022567.1	0.01462435854721002	0.010353910205850091	81441.0	0.010352511733185655	1.39847266443623e-06	0.01461783331118171	0.010259437020673489	80697.89999999995	0.010256779922611066	6.99236332218115e-06
ti|657308|org|Gordonibacter_pamelaeae_7-10-1-b|accession|NC_021021.1	0.012362921658864207	0.010846426851488815	85315.0	0.010844265575552866	2.1612759359469007e-06	0.012311373556464594	0.01062204403137796	83550.06666666637	0.010606652356477293	7.081357037190727e-05
ti|568816|org|Acidaminococcus_intestini_RyC-MR95|accession|NC_016077.1	0.012172586370456474	0.008189328789059978	64415.0	0.008187930316395541	1.39847266443623e-06	0.012127423168604493	0.008062777236981573	63419.58041957965	0.00804935438873777	7.297484630785418e-05
ti|479436|org|Veillonella_parvula_DSM_2008|accession|NC_013520.1	0.011964963222240095	0.00766960549340404	60327.0	0.00766935122564687	2.5426775717022363e-07	0.011959639562825546	0.007652845010410573	60195.16666666669	0.007649009805073252	7.373764957936485e-06
ti|515620|org|[Eubacterium]_eligens_ATCC_27750|accession|NC_012778.1	0.011931676753820659	0.00792552599099587	62340.0	0.007910651327201411	1.4874663794458082e-05	0.011833147263568744	0.007724803649035807	60761.17345750852	0.007696303607906914	0.0001573917416883684
ti|760570|org|Streptococcus_parasanguinis_ATCC_15912|accession|NC_015678.1	0.011426863534598564	0.007907727247993955	62200.0	0.007902006223457625	5.721024536330031e-06	0.01139175585349351	0.007777782258809305	61177.88857989056	0.007758980610049373	6.534681359274747e-05
ti|1069534|org|Lactobacillus_ruminis_ATCC_27782|accession|NC_015975.1	0.011266729615121835	0.007425508446520625	58407.0	0.007425508446520625	0.0	0.011257290674268653	0.0074016657584984455	58219.45999659943	0.00739130943318123	1.8815814030596546e-05
ti|868129|org|Prevotella_bivia_DSM_20514|accession|NZ_JH660660.1	0.010947354852421364	0.008690490538442487	68357.0	0.008656800060617434	3.369047782505463e-05	0.009795344682451895	0.0070478569819836185	55436.49781175612	0.006682283792312062	0.0026916784774039873
ti|333849|org|Enterococcus_faecium_DO|accession|NC_017960.1	0.01061556479236188	0.008913101959845019	70108.0	0.008913101959845019	0.0	0.010445848930406659	0.008528617805131594	67083.7537566509	0.008436604182908019	0.0002938063934101934
ti|367928|org|Bifidobacterium_adolescentis_ATCC_15703|accession|NC_008618.1	0.01053036829800104	0.010656488836882657	83821.0	0.010622798359057602	3.369047782505463e-05	0.010497191243882781	0.009799720993849384	77081.90061462496	0.009725360310125298	0.00020061726040730644
ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1	0.010521671631708814	0.00681577436482643	53611.0	0.00681577436482643	0.0	0.010519139526377376	0.006805989293971328	53534.03333333333	0.00680509511902528	1.907008178776677e-06
ti|518635|org|Bifidobacterium_angulatum_DSM_20098_=_JCM_7096|accession|NZ_AP012322.1	0.010288949793069617	0.007848864262209048	61737.0	0.007832336857992983	1.6527404216064537e-05	0.010267874236936482	0.00766198586130677	60267.06607694134	0.0076360421494575705	0.0001033598432896959
ti|1121101|org|Bacteroides_salyersiae_WAL_10018_=_DSM_18765_=_JCM_12988|accession|NZ_KB905466.1	0.009697548404026715	0.01037056474394474	81572.0	0.010353910205850091	1.6654538094649645e-05	0.009688366318815072	0.01045430848989492	82230.70519237024	0.01032530508316844	0.00038686839253449526
ti|479437|org|Eggerthella_lenta_DSM_2243|accession|NC_013204.1	0.009229313859971729	0.010562664034486845	83083.0	0.01056202836509392	6.356693929255591e-07	0.009221591138508903	0.010540055393078403	82905.16666666622	0.010535584518348216	5.848158414915143e-05
ti|742726|org|Barnesiella_intestinihominis_YIT_11860|accession|NZ_JH815203.1	0.0069426035607376615	0.00522558381148385	41103.0	0.005223422535547904	2.1612759359469007e-06	0.006328428574387536	0.004313265017712817	33926.95216818413	0.003942294441045732	0.0011770054479409652
ti|445970|org|Alistipes_putredinis_DSM_17216|accession|NZ_DS499577.1	0.006446663923051208	0.004522787730665352	35575.0	0.004517956643279118	4.831087386234249e-06	0.006431889689118574	0.004467368710841366	35139.08928571399	0.004489351520597468	0.0003187246336128753
ti|435591|org|Parabacteroides_distasonis_ATCC_8503|accession|NC_009615.1	0.006061772335043265	0.01373528997457831	108038.0	0.013726899138591693	8.390835986617379e-06	0.00605254728632437	0.013681190477830235	107612.46829004075	0.013615402727072548	0.0002152376564445943
ti|511680|org|Butyrivibrio_crossotus_DSM_2876|accession|NZ_GG663524.1	0.005904997837859405	0.004060656082008471	31940.0	0.004052010978264684	8.645103743787603e-06	0.0058484319794315795	0.004022916694136651	31643.15239107131	0.003903900009713028	0.0005647286886750666
ti|349741|org|Akkermansia_muciniphila_ATCC_BAA-835|accession|NC_010655.1	0.005900034019993965	0.009178430364452147	72195.0	0.009178430364452147	0.0	0.005898470714409994	0.009173408576248035	72155.5	0.009172073670522892	3.0512130860426836e-06
ti|292800|org|Flavonifractor_plautii|accession|NZ_CP015406.2	0.0057214816033798075	0.011261137563433448	88577.0	0.011260374760161939	7.628032715106709e-07	0.005704217983912556	0.011103015104642908	87333.25238095224	0.011102093081323474	1.5637467065968752e-05
ti|742726|org|Barnesiella_intestinihominis_YIT_11860|accession|NZ_JH815204.1	0.005468468257301119	0.0036117463567244415	28409.0	0.003611492088967271	2.5426775717022363e-07	0.005456770494170502	0.0035534236899235194	27950.249999999985	0.003556570253418503	5.212489021989584e-06
ti|206672|org|Bifidobacterium_longum_NCC2705|accession|NC_004307.2	0.005296544773302978	0.007229849407378138	56868.0	0.007214847609705095	1.5001797673043194e-05	0.005237121688893095	0.006813504294270236	53593.14425154446	0.0068010268349105564	0.00011963297974859021
ti|649756|org|Anaerostipes_hadrus|accession|NZ_CP012098.1	0.005155026856141348	0.009234496404908182	72636.0	0.009176396222394785	5.8100182513396096e-05	0.004951046854084011	0.00867286298724745	68218.34654750397	0.008597174271561016	0.00034071879460809964
ti|411461|org|Dorea_formicigenerans_ATCC_27755|accession|NZ_AAXA02000015.1	0.005090679067570985	0.00421283533467485	33137.0	0.0041509211358039	6.191419887094946e-05	0.004782793055473983	0.003503933738751281	27560.97570330568	0.003343748140667026	0.0005433701970727679
ti|1121101|org|Bacteroides_salyersiae_WAL_10018_=_DSM_18765_=_JCM_12988|accession|NZ_KB905467.1	0.004980498062059874	0.005521042945315651	43427.0	0.00551951733877263	1.5256065430213418e-06	0.004891563377070989	0.0052953873010649155	41652.05498328153	0.0054984131149275	0.00015650180453827264
