"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_100_100_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_50_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_1_noerr","Healthy_stool_10_50_noerr"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","Petrimonas mucosa","Petrimonas mucosa",954,86,61,111,56,33,47,118,57
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas sp. HDW5B","Dysgonomonas sp. HDW5B",434,41,37,87,44,0,35,75,37
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas sp. HDW5A","Dysgonomonas sp. HDW5A",433,25,24,0,21,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum saccharofermentans","Proteiniphilum saccharofermentans",1017,62,77,187,65,50,103,175,88
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Fermentimonas","Fermentimonas caenicola","Fermentimonas caenicola",496,41,34,47,24,15,24,33,23
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","Paludibacter propionicigenes","Paludibacter propionicigenes",908,55,47,72,35,19,33,53,25
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","o_Bacteroidales","o_Bacteroidales","Bacteroidales bacterium CF","Bacteroidales bacterium CF",153,16,22,93,14,40,61,105,56
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tenuifilaceae","Tenuifilum","Tenuifilum thalassicum","Tenuifilum thalassicum",1257,13,10,0,0,0,0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Prolixibacteraceae","Draconibacterium","Draconibacterium orientale","Draconibacterium orientale",427,25,26,36,23,0,12,22,12
"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Prolixibacteraceae","Draconibacterium","Draconibacterium sp. M1","Draconibacterium sp. M1",428,17,19,36,19,18,14,30,15
"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Prolixibacteraceae","f_Prolixibacteraceae","Prolixibacteraceae bacterium WC007","Prolixibacteraceae bacterium WC007",1014,30,30,14,25,12,15,16,14
"Bacteria","Bacteroidetes","Bacteroidia","Marinilabiliales","Marinifilaceae","Labilibaculum","Labilibaculum antarcticum","Labilibaculum antarcticum",655,27,22,69,29,0,36,63,25
