species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Kwaitsingvirus HK544,0,0,0,0,1,0,0,1
Lachnoanaerobaculum saburreum,4.4,0,0,0,0,0,2,1
Lachnobacterium bovis,0,0,0,0,0,0,1,0
Lachnoclostridium phocaeense,3.2,7.8,0,1.1,0,7,7.2,2
Lachnospira eligens,0,0,0,0,543.207936507937,1915.8,1345.7,1254.2
Lactobacillus amylovorus,3.5,0,0,7.9,0,0,0,0
Lactonifactor longoviformis,0,0,2,0,11.2,15.3,0,0
Lambdavirus HK629,0,0,0,0,0,0,2,0
Lambdavirus HK630,0,0,0,0,2.2,0,0,0
Lambdavirus lambda,0,0,0,0,0,10.7,0,0
Lamprocystis purpurea,0,0,0,0,0.9,0,0,0
Lentimicrobium saccharophilum,0,0,0,0,0,0.5,0,0
Levyella massiliensis,0,0,0,0,4.2,0,0,0
Ligilactobacillus agilis,0,0,0,0,0,0,1.9,0
Ligilactobacillus ruminis,0,0,0,0,51,133.3,580.9,193.1
Limosilactobacillus mucosae,0,0,0,0,0,1.1,0,0
Mangrovibacter phragmitis,0,0,0,0,0,3.1,0,0
Marienburgvirus BP4795,0,0,0,0,0,46.7,8.6,8.3
Mariniblastus fucicola,0,0,0,0,1.1,0,0,0
Marinilactibacillus piezotolerans,0,0,2.6,0,0,0,0,2
Marvinbryantia formatexigens,0,2,0,2.4,0,2.9,5.3,2.7
Mediterranea massiliensis,0,0,1,0,3.2,6,0,1
Mediterraneibacter gnavus,0,1,1,4,178.159103641457,465.996914278532,630.716984702093,651.649342723005
Megasphaera elsdenii,0,0,0,0,32.4,81.5548076923077,563.9,88.1366197183099
Merdibacter massiliensis,0,0,0,0,1.1,4.4,11.6,2.6
Merdimmobilis hominis,0,1,1,1,0,0,0,1
Merdimonas faecis,0,1.2,1.3,0,0,18.6,3.9,0
Methyloglobulus morosus,0,0,0,0,0.5,0,0,0
Murdochiella massiliensis,0,0,0,0,0,0,0,0.9
Muribaculum intestinale,0,0,0,0,0,3,2,1
Musicola paradisiaca,0,0,0,0,0.5,0,0,0
Negativibacillus massiliensis,0,0,0,0,3,14.4,3.7,3.6
Neglectibacter timonensis,0,0,0,0,0,3.2,1.7,0
Neofamilia massiliensis,0,0,0,0,0,0.6,0,2.2
Nitrolancea hollandica,0,0,0,0,0,0,0,1
Obesumbacterium proteus,0,0,0,0,0,0,0,1
Oceanivirga salmonicida,0,0,0,0,0,0,3,0.6
Oceanospirillum linum,0,0,0,0,0,0,0,0.9
Odoribacter laneus,0,0,0,0,2,0,1,1
Odoribacter splanchnicus,0,0,1.1,0,316.9,838.5,1488.23333333333,521.2
Olegusella massiliensis,0,0,0,0,0.6,0.6,0,0
Oribacterium parvum,0,1.1,0,1,0.6,0,0,0
Oslovirus ov191,0,0,0,0,0,0,0,2.2
Oslovirus PA2,0,0,0,0,0,0,0,23.9
Oslovirus TL2011,0,0,0,0,12.2,1,0,0
Oxalobacter paraformigenes,3.9,3.2,2.3,2.9,1.4,0,0,0
Pankowvirus pv1717,0,0,0,0,2.2,78.8,10,22.5
Pankowvirus YYZ2008,0,0,0,0,16.6,81.1,0,44.2
Parabacteroides distasonis,10,5,34.12,33.0461538461538,1198.59237013993,2715.25930142882,2503.72869663147,1601.27878527021
Parabacteroides goldsteinii,0,0,0,0,2.9,0,3.3,9.6
Parabacteroides johnsonii,25.6,0,88.1,20.1,188.3,290.26,227.3,228.7
Paraburkholderia kururiensis,0,0,0,0,0.8,0,0,0
Paracoccus alcaliphilus,0,0,0,0,0,0.2,1.1,0
Parafannyhessea umbonata,0,0,0,0,0,1,0,2
Parapedobacter indicus,0,0,0,0,2.2,0,3,0
Paraprevotella xylaniphila,0,7.1,1,0,88.5,169.3,1124.20412698413,263
Parasutterella excrementihominis,4.7,0,0,0,75.3,193,793.6,284
Parolsenella massiliensis,0,0,0,0,0,0,1.1,0
Peptoniphilus faecalis,0,0,0,0,0,0,2.1,0
Peptoniphilus grossensis,0,0,0,0,0,0,3.8,0
Peptoniphilus obesi,0,0,0,0,0,0,4.5,0
Peptoniphilus senegalensis,0,0,0,0,0,0,1,0
Peptostreptococcus anaerobius,0,0,0,0,0,1.6,4.2,2.7
Petrimonas mucosa,0,0,0,0,0,0,1,0
Phascolarctobacterium succinatutens,0,0,0,0,168.9,452,543.4,293.845710627401
Phocaeicola barnesiae,3.4,0,0,0,4.9,1,3,3.3
Phocaeicola coprophilus,1.8,0,0,1.5,0,4.4,0,8.9
Phocaeicola paurosaccharolyticus,0,0,0,0,0,1,3,0
Phocaeicola salanitronis,0,0,1,0,0,0,4,0
Phocaeicola vulgatus,13886.7265151515,25135.3090139556,30623.3977382277,23882.112111293,6197.53040977288,6608.35277777778,2823.05993285741,9894.2676845773
Phoenicibacter congonensis,0,0,0,0,0,1,1.3,1
Pluralibacter gergoviae,0,0,0,0,9.9,3.7,0,4.3
Pontibacillus litoralis,0,0,0,0,0,0,0,2.7
Porphyromonas bennonis,0,0,0,0,0,0.8,0,0
Porphyromonas cangingivalis,0,0,0,0,0,1,0.8,0
Porphyromonas circumdentaria,0,0,0,0,0,1,0,0
Porphyromonas endodontalis,0,0,0,0,1.1,0,0,0
Porphyromonas gingivalis,0,1.3,0,0,0,0,0,1.7
Porphyromonas levii,0,0,0,0,0,5,2,1.9
Porphyromonas somerae,0,8.8,0,0,0,0,0,1.8
Prevotella amnii,0,7.6,0,0,1.5,16,0,0
Prevotella bivia,0,0,0,0,113.3,260.4,0,381.3
Prevotella corporis,0,0,0,0,40,0,0,0
Prevotella dentalis,0,0,0,0,3,4.7,0,1.8
Prevotella dentasini,0,0,0,0,1.9,1,0,0
Prevotella disiens,0,0,0,0,30.3,0,0,0
Prevotella falsenii,0,0,0,0,0,7.6,1,8.7
Prevotella ihumii,0,0,0,0,1,2.2,13,22
Prevotella intermedia,0,0,0,0,0,0,5.2,1.9
Prevotella micans,0,0,0,0,0,1.1,0,3
Prevotella multiformis,0,0,0,0,2.3,0,0,5.4
Prevotella nigrescens,0,0,0,0,1.1,0,0,2.6
Prevotella pallens,0,0,0,0,2.6,3.5,0,1.7
Prevotella scopos,0,0,0,0,1,0,0,0
Prevotella veroralis,0,0,0,0,0,0,1.5,2.6
Prevotellamassilia timonensis,0,0,0,0,1,1.7,14.8,4
Provencibacterium massiliense,0,1,0,0.9,1.1,0,0,1
Pseudoflavonifractor capillosus,0,2.1,8.8,1.2,1.6,5.8,20.4,17.7
Pseudomonas saudimassiliensis,0,0,0,0,0,0,0.2,0
Punavirus RCS47,0,0,0,0,1.7,0,6.3,4.5
Punavirus SJ46,0,0,0,0,0,2.6,8.9,9.3
Ralstonia mannitolilytica,0,0,0,0,0,1,0,0
Rhodococcoides kyotonense,0,0,0,0,0.9,0,0,0
Rhodopseudomonas palustris,0,0,0,0,1.2,0,0,0
Rikenella microfusus,0,0,0,0,0,0,1,2.7
Robinsoniella peoriensis,0,0,0,0,0,3.7,0,0
Roseburia faecis,17.3,67.9,0,38.3,0,3267.3,0,1693.4
Roseburia hominis,0,56.4,80.4,39.12,217.855088702148,904.388888888889,1099.96111111111,1027.0496713615
Roseburia intestinalis,6.2,17.7333333333333,0,35.4714285714286,482.058263305322,2169.95170311714,2072.83212560386,1681.81666666667
Ruminiclostridium josui,2.6,0,3,0,0,1.7,0,2.1
Ruminococcus bicirculans (ex Wegman et al. 2014),0,0,0,0,1,4,2,3
Ruminococcus callidus,0,0,6.1,18.4,0,4.1,2.4,0
Ruminococcus gauvreauii,0,0,0.8,3.6,0,0,0,0
[Ruminococcus] lactaris,0,0,0,0,204.2,614.4,751.6,348.6
Ruminococcus sp. YE282,3,3,7,5,1,1,0,1.2
[Ruminococcus] torques,0,0,0,0,502.402380952381,1277.7,670.5,869.842727272727
Ruthenibacterium lactatiformans,9.7,14.5,0,0,234.3,410.9,1950.6375,600.045454545455
Saikungvirus HK633,0,0,0,0,1.8,0,0,0
Salmonella enterica,0,0,0,0,4.5,18.3,11,2.9
Sanguibacteroides justesenii,0,0,0,0,0,4.8,16,4
Segatella albensis,0,0,0,0,0,0,1.2,0
Segatella baroniae,0,0,0,0,0,2,0,3
Segatella copri,50306.2,25231.8,10269.3275862069,23680.2,49739.6,4802.4,1481.33177838996,8608.61623529412
Segatella salivae,0,0,0,0,2,3.4,0,0
Sellimonas intestinalis,0,0,0,0,0,0,1,9.6
Senegalimassilia anaerobia,0,0,0,0,0,1.2,2.9,0
Serratia rubidaea,0,0,0,0,0,0,1,0
Shamshuipovirus HK022,0,0,0,0,0,3.6,0,0
Sharpea azabuensis,0,0,0,0,1.7,11.7,0,1.2
Shigella dysenteriae,0,0,0,0,1011.4,2594.2,95.1,1655.3
Shigella flexneri,0,0,0,0,86.4,230.4,1201.4,141
Shigella phage SfII,0,0,0,0,0,0.5,0,0
Slackia exigua,0,0,0,0,0,0,0,1
Slackia piriformis,0,0,0,0,0,1,0,0
Solobacterium moorei,0,0,0,1.1,3.1,1,0,0
Sporosarcina koreensis,0,0,0,0,2,1,3,2.4
