species,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
Lachnoanaerobaculum saburreum,0,0,0,0,0,0,2.4,1
Lachnobacterium bovis,0,0,0,0,0,0,1,0
Lachnoclostridium phocaeense,0,6.3,0,1,4,18,5.2,3
Lachnospira eligens,0,0,0,0,642.7,1737,1004.8,1109
Lacrimispora saccharolytica,0,0,0,0,0.7,0,0,0
Lactobacillus amylovorus,0,1.3,1.9,1.4,0,0,0,0
Lactonifactor longoviformis,0,0,0,0,8.1,2.1,0,0
Lambdavirus HK630,0,0,0,0,4.3,0,1.7,0
Lambdavirus lambda,0,0,0,0,0,6.2,0,16.3
Lederbergvirus HK620,0,0,0,0,0,0,1,0
Lederbergvirus Sf6,0,0,0,0,0,1.9,1.1,0
Leuconostoc lactis,0,0,0,0,0,0.2,0,0
Levyella massiliensis,0,0,0,0,1.4,0,0,0
Ligilactobacillus agilis,0,0,0,0,0,0,1.4,1
Ligilactobacillus equi,0,0,0,0,0,0,0.8,0
Ligilactobacillus hayakitensis,0,0,0,0,0,0.9,0,0
Ligilactobacillus ruminis,0,0,0,0,51,132.6,581.7,192.5
Limosilactobacillus mucosae,0,0,0,0,0,0.6,0,0
Limosilactobacillus vaginalis,0,0,0,0,0,1.2,0.4,0
Marienburgvirus BP4795,0,0,0,0,1.7,10.8,6,33
Marinilactibacillus piezotolerans,0,1,2.5,0,0,0,0,1
Marvinbryantia formatexigens,0,0,1.1,2.2,0,4.8,5.5,5.7
Mediterranea massiliensis,0,0,1,0,6.9,7,12.5,8.4
Mediterraneibacter gnavus,0,1,0,5,182.29761627907,422.185094850949,596.5,485.67962962963
Megasphaera elsdenii,0,0,0,0,31.1,76.4609756097561,551.5,90.5
Merdibacter massiliensis,0,0,0,0,0,0,5.6,0
Merdimmobilis hominis,0,0,0,0,0,0,0,1.2
Merdimonas faecis,0,0,0,0,0,2,2.7,1
Metapseudomonas otitidis,0,0,0,0,0,1,0,1.6
Metapseudomonas resinovorans,0,0,0,0,0,0,0,0.8
Microbacterium mangrovi,0,0,0,0,0,0,0,1
Muribaculum intestinale,0,0,0,0,0,3,2,0
Negativibacillus massiliensis,0,0,0,0,3,15.2,2.1,0
Nissabacter archeti,0,0,0,0,0,1.1,0,0
Nitrolancea hollandica,0,0,0,0,0,0,0,1
Obesumbacterium proteus,0,0,0,0,0,0,0,3.1
Oceanivirga salmonicida,0,0,0,0,0,0,2,0
Odoribacter laneus,0,0,0,0,2.3,7.8,1.1,2
Odoribacter splanchnicus,0,0,1,0,327.25,829,1260.5,508.3
Olegusella massiliensis,0,0,0,0,1,0,0,0
Oslovirus ov191,0,0,0,0,0,0,0,1
Oslovirus PA2,0,0,0,0,1,0,0,0
Oslovirus TL2011,0,0,0,0,0,1,0,0
Oxalobacter paraformigenes,2,0,0,0,0,0,0,0
Paenibacillus alvei,0,0,0,0,0,0,0.3,0
Pankowvirus pv1717,0,0,0,0,1.7,14.4,9.4,5.8
Pankowvirus YYZ2008,0,0,0,0,30.4,75.7,12.6,13.1
Pantoea alhagi,0,0,0,0,0,1.4,0,0
Pantoea septica,0,0,0,0,0.7,0,0,0
Parabacteroides distasonis,3.95,10.1,23.65,34.1719230769231,862.460704341319,2438.87715284715,1543.01426126591,1332.49365318501
Parabacteroides goldsteinii,1,0,0,0,6,3,8.1,3
Parabacteroides johnsonii,20.8,0,68.2,13.4,106.5,231.5,163,179.3
Parafannyhessea umbonata,0,0,0,0,0,1.9,0,1
Parapedobacter indicus,0,0,0,0,1.3,0,0,0
Paraprevotella xylaniphila,0,0,0,0,73.2,169,983.597671568628,256.1
Parasutterella excrementihominis,2.4,0,0,1.7,0,193.5,795.3,284.1
Parolsenella massiliensis,0,0,0,0,0,0,2,0
Peptoniphilus faecalis,0,0,0,0,0,1,0,0
Peptoniphilus grossensis,0,0,0,0,0,0,3,0
Peptoniphilus lacrimalis,0,0,0,0,0,1,2.5,0
Peptoniphilus obesi,0,0,0,0,0,0,0.9,0
Peptoniphilus rhinitidis,0,0,0,0,0,0,3,0
Peptostreptococcus anaerobius,0,0,0,0,1.2,0,3.4,2.2
Petrimonas mucosa,0,0,0,0,0,0,1,0
Phascolarctobacterium succinatutens,0,0,0,0,168.8,456.188888888889,539.2,297.9
Phocaeicola barnesiae,7,0,0,6.3,0,2.2,4.2,11.3
Phocaeicola coprophilus,1.1,0,0,6,7.6,7.3,57,39.9
Phocaeicola paurosaccharolyticus,0,0,0,0,0,2,2,0
Phocaeicola salanitronis,0,0,1,0,0,1.2,7.9,9.6
Phocaeicola vulgatus,13716.3888235294,20519.3446808511,23065.2251874367,24951.6688872927,5960.48498452012,5883.78928571429,2784.89470338837,9890.35014720942
Phoenicibacter congonensis,0,0,0,0,1,1.1,1.4,1
Pluralibacter gergoviae,0,0,0,0,0,1.9,0,1.9
Porphyromonas cangingivalis,0,0,0,0,0,1.3,2,0
Porphyromonas circumdentaria,0,0,0,0,0,1,0,0
Porphyromonas endodontalis,0,0,0,0,1,0,0,0
Porphyromonas gingivalis,0,3,0,0,0,0.4,0.5,2
Porphyromonas gingivicanis,0,0,0,0,0,0,1,0
Porphyromonas levii,0,0,0,0,0,3,1,1
Porphyromonas somerae,0,0,0,0,0,0,1.4,1.9
Prevotella amnii,0,0,0,0,3,0,0,0
Prevotella aurantiaca,0,0,0,0,0,3.5,0,0
Prevotella bivia,0,0,0,0,118.4,0,668.5,0
Prevotella corporis,0,0,0,0,44.1,104.7,0,0
Prevotella dentalis,0,0,0,0,1,1.1,1.7,1.2
Prevotella dentasini,0,0,0,0,0,2.7,0,0
Prevotella denticola,0,0,0,0,0,0,0.5,0
Prevotella disiens,0,0,0,0,35.3,0,881.4,0
Prevotella falsenii,0,0,0,0,1.3,0,1,0
Prevotella ihumii,0,0,0,0,1,0,0,4
Prevotella micans,0,0,0,0,0,1,1.5,1.9
Prevotella multiformis,0,0,0,0,0,7.5,11.8,9.2
Prevotella nigrescens,0,0,0,0,0,1.5,1.3,0.9
Prevotella pallens,0,0,0,0,1,2.2,1.8,0.9
Prevotella veroralis,0,0,0,0,0,0,0,1.9
Prevotellamassilia timonensis,0,0,0,0,1,2,10,4.3
Provencibacterium massiliense,0,0,0,0,3.3,0,0,6.5
Pseudoflavonifractor capillosus,1.3,0,0,2.2,2,4,12.8,0
Pseudostreptobacillus hongkongensis,0,0,0,0,0,0,1,0
Punavirus RCS47,0,0,0,0,0,0,5.3,3
Punavirus SJ46,0,0,0,0,0,3.1,4.9,1.2
Rhodococcoides kyotonense,0,0,0,0,0.7,0,0,0
Rhodopseudomonas palustris,0,0,0,0,0.7,0,0,0
Rikenella microfusus,0,0,0,0,0,0,1,2.8
Roseburia faecis,0,24.9,0,20.2,0,2652.9,0,0
Roseburia hominis,41.9,35.82,55.3,45.3285714285714,205.7875,775.813333333333,2190.02857142857,754.375925925926
Roseburia intestinalis,51.3680555555556,5.9,8.6,9.2,549.255581395349,1469.99555555556,2753.45714285714,910.551851851852
Ruminiclostridium cellulolyticum,0,0.4,0,0,0,0,0,0
Ruminiclostridium josui,1.3,0,0,0.4,0,0,0,1.9
Ruminococcus bicirculans (ex Wegman et al. 2014),0,0,0,0,1,4,5,2
Ruminococcus callidus,0,0,0,0,0,1,0,1.3
Ruminococcus gauvreauii,0,0.7,0,1.9,0,0,0,0
[Ruminococcus] lactaris,0,0,0,0,193.69,506.013333333333,797.5,413.566666666667
Ruminococcus sp. YE282,6,4,8.2,6,2,1,0,1
[Ruminococcus] torques,0.6,0,0,0.6,492.567558139535,1310.8,670.7,885.994444444445
Ruthenibacterium lactatiformans,3.4,12.9,5.9,0,164.5,465.722222222222,1186.3,655.4
Salmonella enterica,0,0,0,0,6.1,8,20.6,2.5
Sanguibacteroides justesenii,0,0,0,0,1,4,13.2,4
Sarcina ventriculi,0,0,0,0,0,0,0.7,0
Schaalia turicensis,0,0,0,0,0,0,2.3,0
Segatella albensis,0,0,0,0,0.7,0,1,0
Segatella baroniae,0,0,0,0,0,1.2,0,0
Segatella copri,50262.3247058824,25216.1,10264,23664.3,49650.7852941177,4935.11666666667,1062.24117647059,8459.24489795918
Segatella maculosa,0,0,0,0,1,0,0,0
Segatella salivae,0,0,0,0,0,0,3.8,4
Sellimonas intestinalis,0,0,0,0,0,0,1,0
Senegalimassilia anaerobia,0,0,0,0,5.4,1,1,0
Serratia rubidaea,0,0,0,0,0,0,1.1,0
Shamshuipovirus HK022,0,0,0,0,0,0,1.8,0.7
Sharpea azabuensis,0,0,0,0,0.8,0,1.4,1.2
Shigella dysenteriae,0,0,0,0,814.7,2046.1,205.5,1225.9
Shigella flexneri,0,0,0,0,172.2,458.6,919.3,309.1
Shuttleworthella satelles,0,0,0,0,0,0,0.7,0
Siccibacter turicensis,0,0,0,0,0,0,0,1.2
Slackia piriformis,0,0,0,0,0,1,0,1
Sodalis praecaptivus,0,0,0,0,0,0,1,0
Solobacterium moorei,0,0,0,0,0.9,0,0,0
Sporosarcina koreensis,0,0,0,0,1,1,2,2
Stenotrophomonas acidaminiphila,0,0,0,0,0,0,1,0
Stomatobaculum longum,4,7,6,13,2.9,0,1,1
Streptobacillus notomytis,0,0,0,0,1,0,1,0
Streptococcus cristatus,0,0,0,0,0,0,0,1
Streptococcus parasanguinis,0,0,0,0,40.5,107.5,613.1,157.7
Streptococcus pseudoporcinus,0,0,0,0,0,2,1.7,1.1
Streptococcus salivarius,0,0,0,0,77.5,220.1,357.5,287
Streptococcus suis,0,0,0,0,1,0,0,0
Streptococcus thermophilus,0,0,0,0,94.2,236.4,472.3,367
Subdoligranulum variabile,0,0,0,0,0,6.8,5.2,3
Succiniclasticum ruminis,0,0,0,0,0,0,1,0
Succinispira mobilis,0,0,0,0,0,0,0.9,0
Tannerella forsythia,0,0,0,0,0,0,11.2,0
Thauera humireducens,0,0,0,0,1,0,0,0
Thomasclavelia ramosa,0,0,0,0,0,0,0.6,0
Thomasclavelia saccharogumia,0,0,0,0,4.8,0,0,0
Thomasclavelia spiroformis,0,0,0,0,0,0,1,0.6
Trabulsiella odontotermitis,0,0,0,0,3,0,1.3,3.6
Traorella massiliensis,0,1.1,1.4,2.2,0,0,3.2,0
Traversvirus II,0,0,0,0,19.2,0,25.8,17.4
Traversvirus min27,0,0,0,0,0,9,0,0
Traversvirus PA28,0,0,0,0,0,7.2,5,1
Traversvirus tv86,0,0,0,0,0,0,0,1.6
Traversvirus tv933W,0,0,0,0,0,43.5,0,0
Treponema succinifaciens,1,0,0,0,0,0,0,0
Treponema vincentii,1,0,0,1,0,0,0,1
Tumebacillus flagellatus,0,0,0,0,0.8,0,0,0
Turicimonas muris,0,0,0,0,0,0,0.8,0
Urinicoccus massiliensis,0,0,0,0,0,0,0,0.7
Veillonella parvula,0,0,0,0,30,78,604,113
Wanchaivirus mEp234,0,0,0,0,0,1,0,0
Wickerhamomyces ciferrii,0,0,0,0,0,1.8,4.9,5.3
Xenophilus azovorans,0,0,0,0,0,0,1,0
Xenorhabdus cabanillasii,0,0,0,0,1,5,12,3
Xuanwuvirus P88,0,0,0,0,2,7,2,6
Xylanibacter ruminicola,0,0.6,0,0,0,0,0,0
Yersinia enterocolitica,0,0,0,0,1,0,0,0
Yersinia pestis,0,0,0,0,0,2,6,6
Yokenella regensburgei,0,0,0,0,1,3,10.4,1
