species,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
Kosakonia cowanii,0,0,0,0,11.9,4.8,16.5,4.6
Kosakonia sacchari,0,0,0,0,0,4.1,15,5.6
Kurthia massiliensis,0,0,0,0,0,0,1,0
Kwaitsingvirus HK544,0,0,0,0,1,2,4.7,2
Labilibacter marinus,0,0,0,0,0,0,1.1,0
Lachnoanaerobaculum saburreum,0,0,0,0,1,2,10,1
Lachnobacterium bovis,0,0,0,0,2.1,3,1,1
Lachnoclostridium phocaeense,12.2,28.1,11,22.5,79.7,57.1,16,38.3
Lachnoclostridium phytofermentans,0,0,0,0,1.2,0,0,2.1
Lachnospira eligens,0,0,0,0,8277.1,21582.9,11120.4,12789.1935483871
Lactobacillus gasseri,0,0,0,0,0,1,0,0
Lactonifactor longoviformis,7.5,0,2.1,8.4,3.1,6.4,4,9.1
Lagierella massiliensis,0,0,0,0,0,0,1,0
Lambdavirus HK629,0,0,0,0,0,0,6.8,0
Lambdavirus lambda,0,0,0,0,2.1,72.7,0,33.3
Lamprocystis purpurea,0,0,0,0,2.4,0,2,4.4
Lancefieldella rimae,0,0,0,0,0.5,0,0,0
Lederbergvirus Sf6,0,0,0,0,1.6,0,2.2,3.9
Lentilactobacillus parafarraginis,0,0,0,0,0,0,0.6,0
Leuconostoc carnosum,0,0,0,0,0,0,0.6,0
Leuconostoc lactis,0,0,0,0,1,0,0,0
Leuconostoc mesenteroides,0,0,0,0,1.2,0.3,2.1,0
Levyella massiliensis,0,0,0,0,0,11.1,43.6,55.7
Ligilactobacillus acidipiscis,0,0,0,0,0.9,0,0,0
Ligilactobacillus agilis,0,0,0,0,0,1.1,0,0
Ligilactobacillus ruminis,0,0,0,0,509.2,1345.2,5839.4,1932.8
Limosilactobacillus mucosae,7.2,14.2,16.5,7.8,0,0,0,0
Limosilactobacillus vaginalis,0,0,0,0,2.6,5.5,1.4,1
Liquorilactobacillus hordei,0,0,0,0,1,0,0,0.9
Lonsdalea quercina,0,0,0,0,1.1,0,2,0
Mangrovibacter phragmitis,0,0,0,0,1,0,2,3
Mannheimia haemolytica,0,0,0,0,0,2.2,0,0
Marienburgvirus BP4795,0,0,0,0,24.3,438.9,234.7,45.1
Mariniblastus fucicola,0,0,0,0,0.7,0,0,0
Marinilactibacillus piezotolerans,0,0,0,0,0,0,10.8,0
Mariniphaga anaerophila,0,0,0,0,0,0,1,0
Marvinbryantia formatexigens,0,0,0,1,4.2,13.8,20.2,35.7
Massilibacterium senegalense,0,0,0,0,0,0,0.3,0
Massilimicrobiota timonensis,0,0,0,0,0,3,4,1
Massilioclostridium coli,0,0,0,0,2.8,4.1,1,2
Mediterranea massiliensis,2,1,1,0,62,54.2,70,45.9
Mediterraneibacter gnavus,0,0,0,0,1619.68,4402.92748917749,6299.78100686499,8509.45088162931
Megasphaera elsdenii,1,0,0,1.7,315.7,859.245454545455,5465.9,1040.6
Megasphaera micronuciformis,0,0,0,0,0.7,0,0,0
Merdibacter massiliensis,0,0,0,0,22.3,6.1,4,0
Merdimmobilis hominis,1.2,2,2,4,0,2,0,2
Merdimonas faecis,1.4,3.8,3.8,5,6.5,28.6,67.5,114.5
Metapseudomonas otitidis,0,0,0,0,0,0,0,2.1
Methyloglobulus morosus,0,0,0,0,0,0,1.8,0
Microbacterium mangrovi,0,0,0,0,0,0,7,3
Mitsuokella multacida,0,0,0,0,0,0.6,0,0
Moellerella wisconsensis,0,0,0,0,0,2,0,0
Moraxella porci,0,0,0,0,0,1.9,3,0
Morganella morganii,0,0,0,0,0,1,0,0
Murdochiella massiliensis,0,0,0,0,0,0,0,1.3
Muribaculum intestinale,0,0,0,0,3,16.1,7.2,12.5
Musicola paradisiaca,0,0,0,0,1,1,0,0
Mycetohabitans rhizoxinica,0,0,0,0,0,0,0.5,0
Mycobacterium europaeum,0,0,0,0,0,0,0,1.1
Myroides injenensis,0,0,0,0,0,0,0,2.1
Ndongobacter massiliensis,0,0,0,0,0,0,3,1.6
Necropsobacter massiliensis,0,0,0,0,0,1,0,0
Negativibacillus massiliensis,2.1,0,0,1,11.7,9.4,10.2,63.8
Neglectibacter timonensis,1.1,1,0,1,1,12.6,26.9,0
Neofamilia massiliensis,0,0,0,0,0,1.1,6.7,4.2
Nissabacter archeti,0,0,0,0,0,3.4,1.3,0
Nitrolancea hollandica,0,0,0,0,0,3.9,1.1,1.7
Novibacillus thermophilus,0,0,0,0,4.3,0,0,0
Novosphingobium malaysiense,0,0,0,0,0,0,0.5,0
Obesumbacterium proteus,0,0,0,0,1,5,1.4,7.3
Oceanivirga salmonicida,0,0,0,0,3,3,11,3.3
Oceanospirillum linum,0,0,0,0,3.6,0,0,2.8
Odoribacter laneus,0,0,0,0,26.4,22.2,86.7,10.2
Odoribacter splanchnicus,2,4,4,0,3179.8,8453.5,12460.2319727891,5250.5
Olegusella massiliensis,0,0,0,0,1,2.1,8.2,0
Orenia metallireducens,0,0,0,0,0,0,0,1
Oribacterium parvum,2.3,4.9,2.2,1.1,1.1,2.3,0,0
Oslovirus ov191,0,0,0,0,0,2,0,1
Oslovirus PA2,0,0,0,0,112.3,4.3,0,0
Oslovirus TL2011,0,0,0,0,0,2,0,0
Oslovirus VASD,0,0,0,0,0,2,0,0
Oxalobacter paraformigenes,28.7,48.4,34.5,52.3,0,7.8,0,7.3
Pankowvirus pv1717,0,0,0,0,18.2,44,18.3,34
Pankowvirus YYZ2008,0,0,0,0,281.4,220.5,83.2,350.6
Pantoea alhagi,0,0,0,0,0,1.1,0,1.4
Pantoea dispersa,0,0,0,0,0,0,1,1.7
Pantoea rwandensis,0,0,0,0,9.5,6.4,7.1,9.4
Pantoea septica,0,0,0,0,0,0,5.2,0
Papillibacter cinnamivorans,0,0,0,0,0,0,0,0.7
Parabacteroides distasonis,84.1477272727273,153.74452173913,539.097211913698,296.409142270159,10108.3995120677,27798.9868530021,18822.2513056836,13829.0596298174
Parabacteroides goldsteinii,0,0,0,0,8.5,57.3,34.4,22.1
Parabacteroides johnsonii,0,0,0,0,1202.2,2874.7,2248.6,1889.5
Parabacteroides phage YZ-2015b,0,0,0,0,2,0,1,0
Paraclostridium sordellii,0,0,0,0,0,1,1,0
Paracoccus alcaliphilus,0,0,0,0,0,12.7,0,14.3
Paracoccus alkenifer,0,0,0,0,1.7,0,0,0
Parafannyhessea umbonata,0,0,0,0,0,3,16.8,4
Parapedobacter indicus,0,0,0,0,0,0,0,2.9
Paraprevotella xylaniphila,0,1,5.3,0,689.4,1747.5,10007.5875,2727.45714285714
Parasutterella excrementihominis,0,0,0,0,755.8,1984.3,8037.6,2863.7
Parolsenella massiliensis,0,0,0,0,3.8,2,1,5
Phocoenobacter skyensis,0,0,0,0,0,0,0,0.6
Peduovirus magyaro,0,0,0,0,0,3,0,0
Peduovirus pro483,0,0,0,0,0,2,0.5,0
