species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Leadbetterella byssophila,14,10,27,13,0,12,15,11
Arcticibacterium luteifluviistationis,14,12,11,0,0,0,0,0
Allopseudarcicella aquatilis,13,0,0,0,0,0,0,0
Cytophaga hutchinsonii,11,0,0,0,0,0,0,0
Echinicola strongylocentroti,13,10,16,13,10,13,24,12
Echinicola vietnamensis,14,13,40,0,0,0,34,22
Echinicola rosea,13,17,59,20,19,23,52,41
Cyclobacterium marinum,12,13,14,0,0,0,11,0
Flammeovirga sp. MY04,24,13,0,0,0,0,0,0
Flammeovirgaceae bacterium 311,10,18,73,18,18,41,91,35
Chryseolinea soli,13,0,19,16,10,15,16,12
Sphingobacterium sp. DR205,24,19,55,18,0,25,46,19
Sphingobacterium sp. CZ-2,20,13,48,14,0,25,26,34
Sphingobacterium hotanense,15,0,0,10,0,12,0,0
Sphingobacterium mizutaii,14,0,10,0,0,0,0,0
Sphingobacterium lactis,15,0,38,11,0,17,31,13
Sphingobacterium thalpophilum,12,15,80,23,35,22,76,38
Pedobacter sp. eg,20,14,52,15,12,29,40,22
Pedobacter sp. KBS0701,22,14,53,0,0,22,45,23
Pedobacter sp. HDW13,13,22,34,14,0,12,31,12
Pedobacter sp. PACM 27299,11,14,54,21,15,28,52,23
Pedobacter sp. G11,11,0,0,0,0,0,0,0
Pedobacter ginsengisoli,17,16,27,19,0,17,26,13
Pedobacter steynii,16,15,39,14,0,18,28,0
Pedobacter cryoconitis,13,24,0,10,0,0,0,0
Pedobacter heparinus,10,0,37,21,0,17,31,17
Mucilaginibacter sp. G2-14,15,16,47,18,13,22,45,17
Mucilaginibacter sp. HYN0043,13,13,59,12,16,22,55,28
Mucilaginibacter sp. F39-2,12,11,20,11,0,0,13,0
Mucilaginibacter paludis,12,11,11,0,11,10,0,0
Mucilaginibacter ginsenosidivorax,13,21,25,0,14,13,22,10
Mucilaginibacter gotjawali,11,11,0,0,0,0,0,0
Mucilaginibacter mallensis,11,13,46,16,18,24,38,14
Pseudopedobacter saltans,34,18,0,14,0,0,0,0
Solitalea canadensis,23,22,79,20,13,30,63,29
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,16,15,19,0,14,13,28,0
Chitinophaga sp. H33E-04,24,28,53,31,23,26,51,20
Chitinophaga sp. XS-30,12,16,39,14,10,33,39,14
Chitinophaga sp. MD30,12,11,25,0,12,16,39,14
Chitinophaga pinensis,24,33,97,31,42,60,95,55
Chitinophaga caeni,16,10,18,0,0,15,24,11
Arachidicoccus sp. KIS59-12,16,0,28,17,11,14,35,17
Flavisolibacter sp. 17J28-1,14,13,10,0,0,0,10,0
Paraflavitalea soli,23,17,40,23,12,17,34,12
Niabella ginsenosidivorans,11,12,10,0,0,0,14,13
Niastella koreensis,19,18,36,18,10,16,30,21
Filimonas lacunae,16,15,29,14,0,0,30,0
Pseudobacter ginsenosidimutans,15,16,69,23,17,34,68,28
Lacibacter sp. S13-6-6,12,15,17,14,0,0,16,0
Chlorobium phaeobacteroides,11,0,25,0,0,19,23,0
Melioribacter roseus,11,0,0,0,0,0,0,0
Roseburia intestinalis,16780,17576,6704,10788,148,161,1156,185
Roseburia hominis,14255,8797,3409,10474,392,383,308,505
Lachnospiraceae bacterium Choco86,2201,3093,1225,2068,399,240,24115,295
Lachnospiraceae bacterium GAM79,1388,1647,644,1114,418,333,24290,336
Lachnospiraceae bacterium,12780,24858,23435,37516,98631,73916,0,44458
Lachnospiraceae bacterium KM106-2,323,401,142,277,13,0,0,16
Lachnospiraceae bacterium oral taxon 500,26,28,13,31,0,0,0,0
Mediterraneibacter gnavus,12500,7926,3152,9641,117,96,97,120
Lachnospira eligens,8965,15982,6139,9871,78,66,59,84
Anaerostipes hadrus,8156,17837,6893,11005,33,41,22,38
Anaerostipes rhamnosivorans,158,216,109,142,0,15,23,14
Anaerostipes caccae,146,206,54,142,11,0,12,16
Blautia sp. SC05B48,3852,4902,1990,3122,131,111,99,160
Blautia sp. N6H1-15,695,874,362,689,15,21,33,24
Blautia producta,948,1466,636,997,64,77,104,92
Anaerobutyricum hallii,5281,8343,3266,5408,244,241,181,277
[Clostridium] scindens,728,1109,423,747,18,38,47,42
Lachnoclostridium phocaeense,489,785,355,512,62,83,68,100
[Clostridium] hylemonae,336,508,174,340,0,0,0,0
Lachnoclostridium sp. YL32,238,320,144,263,162,246,234,288
Lachnoclostridium phytofermentans,140,192,87,121,19,21,20,17
Enterocloster bolteae,351,388,207,303,114,144,97,170
Enterocloster clostridioformis,320,324,131,252,180,214,184,226
Butyrivibrio proteoclasticus,187,269,143,160,32,42,51,45
Butyrivibrio fibrisolvens,184,268,182,195,77,78,87,81
Butyrivibrio hungatei,154,211,156,179,68,76,87,67
Anaerocolumna sp. CBA3638,154,198,72,132,0,12,0,12
Anaerocolumna sp. CTTW,139,196,110,135,0,17,14,16
Anaerocolumna cellulosilytica,99,169,84,107,10,12,27,12
Lacrimispora saccharolytica,153,244,82,150,26,22,10,29
Lacrimispora sphenoides,141,203,146,141,27,28,42,29
Pseudobutyrivibrio xylanivorans,234,297,163,201,35,38,45,52
Lachnoanaerobaculum umeaense,113,170,65,115,24,18,0,15
Herbinix luporum,104,119,32,60,0,0,0,0
Cellulosilyticum sp. WCF-2,56,73,39,53,0,0,0,0
Anaerotignum propionicum,53,47,40,38,25,30,35,28
Flavonifractor plautii,12685,3572,1393,5053,219,262,195,366
Faecalibacterium prausnitzii,11229,31113,32847,52961,81731,109548,73629,139625
Ruthenibacterium lactatiformans,9514,3659,1402,5168,41,43,22,43
Ruminococcus bicirculans (ex Liu et al. 2021)
 
 
 <species>
 
,149,154,103,191,272,213,142,235
Ruminococcus sp. JE7A12,97,151,136,208,567,394,251,553
Ruminococcus champanellensis,37,47,40,33,34,25,36,24
Ruminococcus albus,35,69,84,59,94,84,91,131
Ethanoligenens harbinense,27,23,39,31,41,38,37,67
Caproiciproducens sp. NJN-50,26,35,21,17,15,18,0,17
[Clostridium] cellulosi,17,30,27,24,32,33,38,40
Clostridioides difficile,1014,1018,480,855,325,400,225,485
Romboutsia sp. CE17,249,64,37,85,0,0,10,0
