Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100,Healthy_stool_100_10,Healthy_stool_100_1,Healthy_stool_100_50,Healthy_stool_10_100,Healthy_stool_10_10,Healthy_stool_10_1,Healthy_stool_10_50
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,f_Flavobacteriaceae,f_Flavobacteriaceae,f_Flavobacteriaceae,978,11,7,17,12,5,11,8,7
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,f_Weeksellaceae,f_Weeksellaceae,f_Weeksellaceae,1020,1,2,0,0,0,0,1,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,f_Sphingobacteriaceae,f_Sphingobacteriaceae,f_Sphingobacteriaceae,1014,6,0,1,2,0,0,0,0
Bacteria,Bacteroidetes,p_Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,f_Rhodothermaceae,Rhodothermaceae bacterium,Rhodothermaceae bacterium,2493,0,0,1,1,0,0,5,1
Bacteria,Chloroflexi,Dehalococcoidia,c_Dehalococcoidia,c_Dehalococcoidia,Dehalogenimonas,Dehalogenimonas formicexedens,Dehalogenimonas formicexedens,783,0,0,0,2,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,c_Dehalococcoidia,c_Dehalococcoidia,Dehalogenimonas,Dehalogenimonas lykanthroporepellens,Dehalogenimonas lykanthroporepellens,784,1,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,Nostocaceae,Nostoc,g_Nostoc,g_Nostoc,1271,0,2,0,1,0,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Nostocales,Scytonemataceae,Scytonema,g_Scytonema,g_Scytonema,1308,1,0,0,0,0,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Synechococcales,Merismopediaceae,Synechocystis,g_Synechocystis,g_Synechocystis,1329,0,0,0,1,0,0,0,0
Bacteria,Cyanobacteria,p_Cyanobacteria,Synechococcales,Synechococcaceae,Synechococcus,g_Synechococcus,g_Synechococcus,1328,0,1,0,1,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,f_Bacillaceae,f_Bacillaceae,f_Bacillaceae,964,10,5,3,4,1,1,0,5
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,f_Paenibacillaceae,f_Paenibacillaceae,f_Paenibacillaceae,997,1,2,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,o_Bacillales,Gemella,g_Gemella,g_Gemella,1205,0,1,0,1,1,1,2,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,f_Enterococcaceae,f_Enterococcaceae,f_Enterococcaceae,975,2,0,0,0,0,3,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,f_Lactobacillaceae,f_Lactobacillaceae,f_Lactobacillaceae,984,0,0,0,1,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,f_Streptococcaceae,f_Streptococcaceae,f_Streptococcaceae,1016,0,1,2,0,0,1,0,0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,f_Clostridiaceae,f_Clostridiaceae,f_Clostridiaceae,969,0,0,0,0,1,0,0,1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,f_Lachnospiraceae,f_Lachnospiraceae,f_Lachnospiraceae,983,1528,2815,2456,4041,9951,7441,4955,4478
Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,f_Oscillospiraceae,f_Oscillospiraceae,f_Oscillospiraceae,995,3,2,1,3,3,3,3,3
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,f_Peptostreptococcaceae,f_Peptostreptococcaceae,f_Peptostreptococcaceae,1000,9,8,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,f_Ruminococcaceae,f_Ruminococcaceae,f_Ruminococcaceae,1013,7,7,2,1,7,4,2,7
Bacteria,Firmicutes,Clostridia,Clostridiales,o_Clostridiales,o_Clostridiales,Clostridiales bacterium,Clostridiales bacterium,645,9,6,7,4,3,5,2,2
Bacteria,Firmicutes,Clostridia,Clostridiales,o_Clostridiales,o_Clostridiales,Clostridiales bacterium CCNA10,Clostridiales bacterium CCNA10,646,29,30,15,27,5,11,7,12
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,f_Erysipelotrichaceae,f_Erysipelotrichaceae,f_Erysipelotrichaceae,976,22,35,14,21,0,0,0,0
