"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Bacillota","Clostridia","Eubacteriales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter","g_Thermaerobacter","Thermaerobacter",4399,NA,NA,1,NA,1,NA,NA,NA
NA,"Bacillota","Clostridia","Eubacteriales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter","Thermaerobacter marianensis","Thermaerobacter marianensis",4400,445,640,558,658,249,236,262,345
NA,"Deinococcota","Deinococci","Thermales","o_Thermales","o_Thermales","o_Thermales","Thermales",4401,1,2,2,NA,NA,NA,2,2
NA,"Synergistota","Synergistia","Synergistales","Synergistaceae","Thermanaerovibrio","Thermanaerovibrio acidaminovorans","Thermanaerovibrio acidaminovorans",4402,139,144,111,136,104,52,74,92
NA,"Bacillota","Clostridia","Eubacteriales","Thermincolaceae","Thermincola","Thermincola potens","Thermincola potens",4403,233,304,271,326,261,378,356,317
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","g_Thermoanaerobacter","Thermoanaerobacter",4404,4,NA,3,1,NA,2,1,4
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter brockii","Thermoanaerobacter brockii",4405,225,142,70,178,319,273,258,235
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter italicus","Thermoanaerobacter italicus",4406,225,138,144,162,300,285,274,251
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter kivui","Thermoanaerobacter kivui",4407,387,246,156,238,550,331,283,332
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter mathranii","Thermoanaerobacter mathranii",4408,111,89,125,124,155,249,250,186
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter pseudethanolicus","Thermoanaerobacter pseudethanolicus",4409,225,142,70,178,319,273,258,235
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter sp. X513","Thermoanaerobacter sp. X513",4410,170,109,50,105,290,303,319,228
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter sp. X514","Thermoanaerobacter sp. X514",4411,266,164,102,203,397,318,281,267
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","Thermoanaerobacter wiegelii","Thermoanaerobacter wiegelii",4412,183,101,75,112,329,359,310,280
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","f_Thermoanaerobacteraceae","f_Thermoanaerobacteraceae","Thermoanaerobacteraceae",4413,NA,NA,1,NA,NA,NA,NA,NA
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","f_Thermoanaerobacterales Family III. Incertae Sedis","f_Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales Family III. Incertae Sedis",4414,NA,NA,1,NA,NA,NA,NA,NA
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacterium","g_Thermoanaerobacterium","Thermoanaerobacterium",4415,NA,NA,1,NA,1,2,NA,1
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacterium","Thermoanaerobacterium thermosaccharolyticum","Thermoanaerobacterium thermosaccharolyticum",4416,150,193,237,254,297,627,608,514
NA,"Bacillota","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacterium","Thermoanaerobacterium xylanolyticum","Thermoanaerobacterium xylanolyticum",4417,75,97,94,115,151,361,363,278
NA,"Bacillota","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus","g_Thermobacillus","Thermobacillus",4418,NA,1,NA,1,NA,NA,NA,NA
NA,"Bacillota","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus","Thermobacillus composti","Thermobacillus composti",4419,492,489,525,494,445,441,436,479
NA,"Chloroflexota","Chloroflexia","Candidatus Thermobaculales","Candidatus Thermobaculaceae","Thermobaculum","Thermobaculum terrenum","Thermobaculum terrenum",4420,51,64,66,47,76,66,91,71
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Nocardiopsidaceae","Thermobifida","g_Thermobifida","Thermobifida",4421,NA,NA,1,NA,NA,NA,1,NA
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Nocardiopsidaceae","Thermobifida","Thermobifida fusca","Thermobifida fusca",4422,267,349,372,354,170,129,133,200
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Thermobispora","g_Thermobispora","Thermobispora",4423,NA,NA,NA,NA,NA,4,3,3
NA,"Actinomycetota","Actinomycetes","Streptosporangiales","Streptosporangiaceae","Thermobispora","Thermobispora bispora","Thermobispora bispora",4424,175,296,363,248,111,157,187,180
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus barophilus","Thermococcus barophilus",4425,69,76,112,105,60,99,59,84
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus chitonophagus","Thermococcus chitonophagus",4426,5,1,NA,5,13,16,21,10
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus cleftensis","Thermococcus cleftensis",4427,37,59,70,49,32,35,22,33
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus eurythermalis","Thermococcus eurythermalis",4428,5,9,3,4,16,37,37,23
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus gammatolerans","Thermococcus gammatolerans",4429,23,39,34,50,32,41,29,35
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus guaymasensis","Thermococcus guaymasensis",4430,7,3,5,11,13,32,27,26
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus kodakarensis","Thermococcus kodakarensis",4431,59,59,42,57,68,43,41,41
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus litoralis","Thermococcus litoralis",4432,54,26,14,27,61,77,74,59
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus nautili","Thermococcus nautili",4433,80,66,47,92,59,38,40,41
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus onnurineus","Thermococcus onnurineus",4434,60,40,28,33,64,42,19,37
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus paralvinellae","Thermococcus paralvinellae",4435,17,24,27,22,33,53,48,43
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus peptonophilus","Thermococcus peptonophilus",4436,8,11,24,14,7,22,30,29
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus piezophilus","Thermococcus piezophilus",4437,91,92,63,110,123,57,28,62
NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Thermococcus prieurii virus 1","Thermococcus prieurii virus 1",4438,4,5,8,4,NA,NA,2,3
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sibiricus","Thermococcus sibiricus",4439,129,67,42,102,121,59,41,49
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. 2319x1","Thermococcus sp. 2319x1",4440,5,9,6,10,19,35,55,32
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. 4557","Thermococcus sp. 4557",4441,20,29,29,17,24,37,23,35
NA,"Methanobacteriota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. AM4","Thermococcus sp. AM4",4442,93,53,32,47,86,43,28,50
NA,"Aquificota","Aquificia","Aquificales","Aquificaceae","Thermocrinis","g_Thermocrinis","Thermocrinis",4443,NA,NA,NA,1,NA,NA,NA,NA
NA,"Aquificota","Aquificia","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis albus","Thermocrinis albus",4444,79,34,21,46,121,41,30,29
NA,"Aquificota","Aquificia","Aquificales","Aquificaceae","Thermocrinis","Thermocrinis ruber","Thermocrinis ruber",4445,70,79,102,60,43,50,46,53
NA,"Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfatatoraceae","Thermodesulfatator","Thermodesulfatator indicus","Thermodesulfatator indicus",4446,32,54,49,68,37,73,85,70
NA,"Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium","Thermodesulfobacterium commune","Thermodesulfobacterium commune",4447,45,63,70,84,38,90,86,62
NA,"Thermodesulfobacteriota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermodesulfobacterium","Thermodesulfobacterium geofontis","Thermodesulfobacterium geofontis",4448,73,63,84,97,67,115,96,91
NA,"Thermodesulfobiota","Thermodesulfobiia","Thermodesulfobiales","Thermodesulfobiaceae","Thermodesulfobium","Thermodesulfobium narugense","Thermodesulfobium narugense",4449,31,29,31,34,63,85,101,99
NA,"Nitrospirota","Thermodesulfovibrionia","Thermodesulfovibrionales","Thermodesulfovibrionaceae","Thermodesulfovibrio","Thermodesulfovibrio yellowstonii","Thermodesulfovibrio yellowstonii",4450,122,97,97,108,130,199,181,170
NA,"Thermoproteota","Thermoprotei","Thermofilales","Thermofilaceae","Thermofilum","Thermofilum carboxyditrophus","Thermofilum carboxyditrophus",4451,56,74,84,78,25,29,24,42
