"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens","Lachnospira eligens",11,283,424,394,446,6727,17308,9869,10853
NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis",12,50812,76384,101309,47165,24112,25465,13346,38665
NA,"Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","f_Anaerovoracaceae","Eubacterium sulci","[Eubacterium] sulci",13,30,26,36,43,53,83,62,53
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus ducreyi","[Haemophilus] ducreyi",14,14,10,13,19,19,9,14,11
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Glaesserella","Glaesserella parasuis","Glaesserella parasuis",15,24,11,14,30,32,44,23,34
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Basfia","Mannheimia succiniciproducens","[Mannheimia] succiniciproducens",16,13,11,12,12,3,20,21,12
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Caldimonas","Caldimonas brevitalea","[Polyangium] brachysporum",17,26,40,33,32,20,17,23,31
NA,"Uroviricota","Caudoviricetes","c_Caudoviricetes","c_Caudoviricetes","c_Caudoviricetes","Abalone shriveling syndrome-associated virus","Abalone shriveling syndrome-associated virus",18,NA,NA,NA,NA,NA,NA,3,NA
NA,"Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae","Mimivirus","Mimivirus bradfordmassiliense","Acanthamoeba polyphaga mimivirus",19,NA,NA,NA,NA,1,4,4,2
NA,"Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae","Moumouvirus","Moumouvirus moumou","Acanthamoeba polyphaga moumouvirus",20,4,4,5,9,7,5,3,4
NA,"Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","Chlorovirus","Chlorovirus heliozoae","Acanthocystis turfacea Chlorella virus 1",21,NA,1,NA,NA,NA,NA,NA,NA
NA,"Cyanobacteriota","Cyanophyceae","Acaryochloridales","Acaryochloridaceae","Acaryochloris","g_Acaryochloris","Acaryochloris",22,NA,NA,NA,NA,NA,NA,NA,1
NA,"Cyanobacteriota","Cyanophyceae","Acaryochloridales","Acaryochloridaceae","Acaryochloris","Acaryochloris marina","Acaryochloris marina",23,19,14,12,13,14,18,18,8
NA,"Bacillota","Clostridia","Peptostreptococcales","Filifactoraceae","Acetoanaerobium","Acetoanaerobium sticklandii","Acetoanaerobium sticklandii",24,15,9,11,12,29,61,88,48
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter pasteurianus","Acetobacter pasteurianus",25,83,57,52,52,71,33,25,38
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter senegalensis","Acetobacter senegalensis",26,20,22,20,19,24,17,11,18
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter","Acetobacter oryzifermentans","Acetobacter sp. SLV-7",27,14,21,12,19,10,8,11,10
NA,"Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","f_Acetobacteraceae","f_Acetobacteraceae","Acetobacteraceae",28,1,1,1,1,1,NA,NA,1
NA,"Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium","Acetobacterium woodii","Acetobacterium woodii",29,13,10,7,13,33,60,60,50
NA,"Bacillota","Clostridia","Halanaerobiales","Halobacteroidaceae","Acetohalobium","Acetohalobium arabaticum","Acetohalobium arabaticum",30,3,2,4,6,16,49,37,30
NA,"Mycoplasmatota","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma brassicae","Acholeplasma brassicae",31,6,6,6,6,9,18,13,8
