"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinae","Aerococcus urinae",96,3,NA,NA,NA,NA,2,3,1
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinaeequi","Aerococcus urinaeequi",97,2,4,NA,2,5,3,NA,1
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus urinaehominis","Aerococcus urinaehominis",98,2,NA,NA,NA,2,4,4,1
NA,"Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus viridans","Aerococcus viridans",99,NA,NA,1,NA,2,1,4,3
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Aeromicrobium","g_Aeromicrobium","Aeromicrobium",100,1,NA,NA,NA,1,NA,NA,NA
NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium erythreum","Aeromicrobium erythreum",101,4,3,9,1,3,NA,2,2
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","g_Aeromonas","Aeromonas",102,NA,NA,NA,NA,NA,1,NA,1
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas hydrophila","Aeromonas hydrophila",103,26,20,21,36,10,15,31,24
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas media","Aeromonas media",104,4,6,1,8,3,2,7,2
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Chrysonvirus","Chrysonvirus as5","Aeromonas phage phiAS5",105,NA,NA,NA,NA,NA,NA,NA,1
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Angelvirus","Angelvirus px29","Aeromonas phage PX29",106,1,NA,NA,NA,NA,NA,NA,NA
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas salmonicida","Aeromonas salmonicida",107,8,8,5,4,1,2,3,5
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas schubertii","Aeromonas schubertii",108,4,9,9,5,5,3,3,4
NA,"Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas veronii","Aeromonas veronii",109,11,8,13,21,14,12,24,25
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Biquartavirus","Biquartavirus 44RR2","Aeromonas virus 31",110,NA,NA,NA,NA,NA,NA,1,NA
NA,"Uroviricota","Caudoviricetes","Pantevenvirales","Straboviridae","Biquartavirus","Biquartavirus 44RR2","Biquartavirus 44RR2",111,NA,NA,NA,NA,NA,NA,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agarivorans","Agarivorans gilvus","Agarivorans gilvus",112,4,NA,2,1,1,NA,NA,NA
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter actinomycetemcomitans","Aggregatibacter actinomycetemcomitans",113,NA,NA,NA,2,NA,3,3,2
NA,"Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter aphrophilus","Aggregatibacter aphrophilus",114,2,NA,2,4,NA,4,1,3
NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","g_Agrobacterium","Agrobacterium",115,1,NA,NA,NA,NA,NA,NA,NA
NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium fabrum","Agrobacterium fabrum",116,3,4,9,4,4,2,5,4
NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","Agrobacterium tumefaciens",117,5,6,NA,8,1,NA,4,3
NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium sp. RAC06","Agrobacterium sp. RAC06",118,5,7,5,8,3,2,5,2
NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","Agrobacterium tumefaciens",119,18,17,7,18,13,3,7,12
NA,"Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium vitis","Agrobacterium vitis",120,1,2,NA,4,1,3,6,3
NA,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Agromyces","g_Agromyces","Agromyces",121,NA,NA,1,NA,NA,NA,NA,NA
NA,"Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Agromyces","Agromyces aureus","Agromyces sp. AR33",122,2,5,6,4,1,1,2,2
NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia glycaniphila","Akkermansia glycaniphila",123,4,6,4,2,3,3,4,2
NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia muciniphila",124,11,3,13,6,741,1954,735,1178
NA,"Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","f_Akkermansiaceae","f_Akkermansiaceae","Akkermansiaceae",125,NA,NA,NA,1,NA,NA,NA,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","f_Alcaligenaceae","f_Alcaligenaceae","Alcaligenaceae",126,NA,NA,NA,1,NA,NA,NA,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes","Alcaligenes faecalis","Alcaligenes faecalis",127,3,2,NA,6,2,NA,3,3
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","g_Alcanivorax","Alcanivorax",128,NA,NA,1,NA,NA,1,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax borkumensis","Alcanivorax borkumensis",129,1,NA,NA,1,NA,1,1,NA
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alloalcanivorax","Alloalcanivorax dieselolei","Alloalcanivorax dieselolei",130,7,4,8,3,4,1,3,3
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Isoalcanivorax","Isoalcanivorax pacificus","Isoalcanivorax pacificus",131,2,2,3,3,2,2,5,5
NA,"Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Alcanivorax sp. NBRC 101098","Alcanivorax sp. NBRC 101098",132,1,NA,NA,1,NA,1,1,NA
NA,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Pseudalgibacter","Pseudalgibacter alginicilyticus","Algibacter alginolytica",133,3,4,2,3,5,5,3,1
NA,"Bacteroidota","Cytophagia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus sanaruensis","Algoriphagus sp. M8-2",134,6,2,3,4,6,1,3,2
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus","g_Alicycliphilus","Alicycliphilus",135,NA,2,NA,NA,NA,NA,NA,NA
NA,"Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Alicycliphilus","Alicycliphilus denitrificans","Alicycliphilus denitrificans",136,10,11,14,9,13,7,9,8
NA,"Bacillota","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus acidocaldarius","Alicyclobacillus acidocaldarius",137,1,4,8,9,1,9,4,1
NA,"Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio","Aliivibrio fischeri","Aliivibrio fischeri",138,2,2,NA,1,1,3,3,3
NA,"Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio","Aliivibrio salmonicida","Aliivibrio salmonicida",139,2,NA,NA,NA,3,NA,1,2
NA,"Pseudomonadota","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio","Aliivibrio wodanis","Aliivibrio wodanis",140,NA,1,1,2,2,NA,1,5
NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes finegoldii",141,369,514,770,350,593,1257,1262,966
NA,"Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Alkalilimnicola","Alkalilimnicola ehrlichii","Alkalilimnicola ehrlichii",142,2,1,7,7,3,NA,1,4
NA,"Bacillota","Clostridia","Peptostreptococcales","Natronincolaceae","Alkaliphilus","Alkaliphilus metalliredigens","Alkaliphilus metalliredigens",143,NA,NA,3,2,NA,4,6,10
NA,"Bacillota","Clostridia","Peptostreptococcales","Natronincolaceae","Alkaliphilus","Alkaliphilus oremlandii","Alkaliphilus oremlandii",144,1,3,1,5,2,7,3,6
