species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Nonlabens sp. MJ115,42,55,44,55,10,11,31,11
Nonlabens sp. Hel1_33_55,40,20,12,20,11,0,0,0
Nonlabens sp. MB-3u-79,36,43,119,52,26,61,98,48
Nonlabens sp. Ci31,30,49,341,69,75,157,301,151
Nonlabens spongiae,60,22,35,14,0,0,19,12
Nonlabens dokdonensis,51,39,39,39,0,18,32,24
Nonlabens marinus,42,58,31,47,61,56,35,23
Tenacibaculum jejuense,59,41,193,56,49,85,161,66
Tenacibaculum sp. SZ-18,40,27,31,29,0,22,48,21
Tenacibaculum sp. DSM 106434,29,0,0,0,0,0,0,0
Tenacibaculum maritimum,50,29,11,26,0,0,0,0
Tenacibaculum todarodis,41,15,0,20,0,0,0,0
Tenacibaculum dicentrarchi,34,19,0,28,0,0,0,0
Tenacibaculum mesophilum,37,27,0,0,0,0,0,0
Maribacter sp. HTCC2170,79,48,28,42,0,0,0,0
Maribacter sp. MJ134,62,91,637,94,127,308,519,300
Maribacter sp. T28,30,35,49,25,0,0,0,0
Maribacter sp. 1_2014MBL_MicDiv,28,0,0,0,0,0,0,0
Maribacter cobaltidurans,58,119,517,136,78,254,563,250
Maribacter dokdonensis,43,88,0,152,0,0,0,0
Aquimarina sp. AD1,78,71,340,89,62,168,303,139
Aquimarina sp. TRL1,70,46,42,36,11,0,24,0
Aquimarina sp. AD10,50,33,12,20,0,0,0,0
Aquimarina sp. BL5,50,63,34,52,0,0,0,0
Cellulophaga algicola,53,40,23,19,0,0,0,0
Cellulophaga baltica,48,35,85,33,13,37,76,34
Cellulophaga lytica,44,43,18,14,0,0,0,0
Cellulophaga sp. L1A9,56,45,15,45,0,0,0,0
Muricauda lutaonensis,68,51,16,30,0,0,0,0
Muricauda sp. 501str8,93,65,33,66,40,42,36,54
Flagellimonas ruestringensis,29,64,269,47,50,124,226,104
Lacinutrix venerupis,81,32,12,31,0,0,0,0
Lacinutrix sp. 5H-3-7-4,54,46,49,35,89,73,51,74
Lacinutrix sp. Bg11-31,33,23,57,23,0,33,50,17
Salegentibacter sp. T436,127,69,122,106,0,0,0,0
Salegentibacter salegens,67,90,219,110,112,185,295,140
Dokdonia sp. 4H-3-7-5,37,31,177,54,51,101,192,72
Dokdonia sp. Dokd-P16,29,16,0,0,0,0,0,0
Dokdonia sp. PRO95,22,16,33,32,28,36,25,52
Dokdonia sp. MED134,23,25,37,17,0,0,13,0
Dokdonia donghaensis,23,48,274,65,55,155,272,130
Algibacter sp. L3A6,41,15,0,33,0,0,0,0
Algibacter sp. L1A34,37,47,359,83,62,163,302,140
Algibacter alginicilyticus,62,71,29,45,0,0,0,0
Aequorivita sp. H23M31,70,79,354,79,66,147,316,146
Aequorivita sublithincola,30,20,16,13,0,11,19,12
Zobellia galactanivorans,100,50,51,47,16,18,27,13
Zunongwangia profunda,203,191,618,235,142,329,672,369
Leeuwenhoekiella sp. ZYFB001,98,87,140,76,35,55,146,70
Sediminicola sp. YIK13,85,82,238,77,40,111,236,113
Robiginitalea biformata,103,124,532,134,196,359,554,290
Kordia sp. SMS9,62,64,607,133,143,348,625,315
Kordia antarctica,13,32,26,25,0,13,23,0
Mariniflexile sp. TRM1-10,76,68,95,66,20,51,75,46
Antarcticibacterium sp. PAMC 28998,53,75,294,83,63,150,263,125
Antarcticibacterium flavum,27,41,53,46,0,23,47,18
Flavivirga eckloniae,69,38,16,48,0,0,10,0
Seonamhaeicola sp. S2-3,73,85,310,109,117,212,369,193
Costertonia aggregata,70,70,196,49,46,109,196,94
Olleya sp. Bg11-27,91,70,67,67,0,0,55,0
Olleya aquimaris,16,18,0,15,0,0,0,0
Flagellimonas maritima,61,24,44,46,0,12,26,0
Galbibacter sp. BG1,68,37,16,24,0,0,0,0
Tamlana sp. UJ94,63,82,374,103,48,151,352,159
Aureitalea sp. RR4-38,57,25,26,26,0,10,26,11
Euzebyella marina,95,60,179,55,53,72,129,67
Wenyingzhuangia fucanilytica,59,66,527,108,110,263,532,218
Lutibacter profundi,51,61,14,43,0,0,0,0
Urechidicola croceus,73,37,21,48,0,0,0,0
Gillisia sp. Hel1_33_143,61,38,19,33,0,0,0,0
Arenibacter algicola,46,63,42,67,56,70,45,76
Gilvibacter sp. SZ-19,47,31,15,45,36,23,0,0
Oceanihabitans sp. IOP_32,58,73,38,52,0,0,0,0
Changchengzhania lutea,43,24,0,30,0,0,0,0
Psychroflexus torquis,35,31,19,14,0,0,12,0
Croceibacter atlanticus,37,49,37,25,0,13,20,0
Muriicola sp. MMS17-SY002,26,46,18,38,32,45,18,19
Siansivirga zeaxanthinifaciens,26,47,27,26,0,0,0,0
Psychroserpens sp. NJDZ02,41,29,0,0,0,0,0,0
Chryseobacterium sp. NEB161,124,119,569,147,121,287,527,245
Chryseobacterium sp. 6424,97,77,31,58,0,0,0,0
Chryseobacterium sp. T16E-39,68,79,41,59,0,0,0,0
Chryseobacterium sp. IHB B 17019,66,46,42,49,22,39,38,31
Chryseobacterium sp.,75,104,526,108,102,262,550,276
Chryseobacterium sp. JV274,67,48,23,61,87,38,34,58
Chryseobacterium sp. NBC 122,63,43,21,36,25,17,14,0
Chryseobacterium sp. 3008163,57,67,347,80,79,166,324,162
Chryseobacterium sp. StRB126,56,116,560,152,108,260,560,281
Chryseobacterium sp. cx-624,52,50,90,44,31,41,63,45
Chryseobacterium sp. G0186,62,49,39,29,0,0,0,14
Chryseobacterium sp. SNU WT5,49,24,0,19,0,0,0,0
Chryseobacterium sp. POL2,51,47,60,36,0,15,36,16
Chryseobacterium sp. G0201,45,52,38,45,45,40,41,75
Chryseobacterium sp. H3001,40,41,62,30,11,24,46,19
Chryseobacterium sp. F5649,69,40,0,74,0,0,0,0
Chryseobacterium sp. H6466,75,0,0,0,0,0,0,0
Chryseobacterium sp. G0162,23,24,0,19,0,0,0,0
Chryseobacterium indologenes,199,156,89,121,38,50,50,49
Chryseobacterium gallinarum,134,193,285,132,53,95,204,94
Chryseobacterium taklimakanense,135,74,45,54,50,32,23,22
Chryseobacterium shandongense,156,158,396,172,146,294,423,296
Chryseobacterium indoltheticum,122,118,318,139,86,198,347,172
Chryseobacterium gleum,155,147,144,117,18,41,97,40
Chryseobacterium lactis,83,46,32,50,26,0,0,0
Chryseobacterium piperi,63,64,25,44,0,0,0,0
Chryseobacterium arthrosphaerae,69,51,25,49,0,0,0,0
Chryseobacterium camelliae,64,78,326,85,112,188,292,153
Chryseobacterium bernardetii,85,69,29,66,21,0,0,0
Chryseobacterium antarcticum,59,25,13,23,0,0,0,0
Chryseobacterium carnis,65,39,13,31,0,0,0,0
Chryseobacterium joostei,75,81,161,91,87,104,146,136
Chryseobacterium aureum,58,87,90,62,56,53,70,73
Chryseobacterium balustinum,64,89,78,51,15,37,48,32
Chryseobacterium jeonii,50,40,26,47,0,11,0,0
Chryseobacterium taihuense,57,87,361,101,79,164,280,150
Chryseobacterium glaciei,49,67,63,45,0,0,31,0
Chryseobacterium carnipullorum,51,49,49,50,0,33,41,17
Kaistella haifensis,47,65,202,50,48,102,173,69
Chryseobacterium nakagawai,25,69,518,123,82,242,547,224
Elizabethkingia anophelis,111,99,84,90,20,29,69,24
Elizabethkingia sp. JS20170427COW,69,37,0,31,0,0,0,0
Elizabethkingia sp. 2-6,55,48,21,27,0,0,0,0
Elizabethkingia meningoseptica,90,85,28,55,43,31,24,14
Elizabethkingia ursingii,71,36,11,23,0,0,0,0
Elizabethkingia miricola,64,113,560,191,125,304,529,251
Elizabethkingia bruuniana,55,0,0,0,0,0,0,0
Empedobacter brevis,154,88,322,137,96,167,304,175
Empedobacter falsenii,126,124,403,144,87,209,390,229
Ornithobacterium rhinotracheale,343,226,790,327,250,459,812,393
Apibacter sp. B3706,45,58,0,55,0,0,0,0
Apibacter sp. B2966,24,0,0,0,0,0,0,0
Apibacter raozihei,60,32,0,27,0,0,0,0
Riemerella anatipestifer,128,89,269,97,64,127,223,108
Cloacibacterium normanense,85,36,0,41,0,0,0,0
Weeksella virosa,71,92,397,110,171,253,423,244
Bergeyella cardium,33,52,265,66,82,135,317,143
Owenweeksia hongkongensis,70,61,29,49,11,11,0,0
Blattabacterium sp. (Mastotermes darwiniensis),15,0,0,0,0,0,0,0
Blattabacterium sp. (Cryptocercus kyebangensis),19,0,0,0,0,0,0,0
Fluviicola taffensis,67,35,29,44,26,33,36,46
Candidatus Walczuchella monophlebidarum,15,0,0,11,0,0,0,0
Ichthyobacterium seriolicida,22,0,0,12,0,0,0,0
Hymenobacter sp. PAMC 26554,78,75,437,100,170,237,402,210
Hymenobacter sp. PAMC 26628,101,94,65,140,201,131,129,88
Hymenobacter sp. TS19,80,110,515,146,87,230,490,253
Hymenobacter sp. BT182,72,52,31,84,107,63,33,24
Hymenobacter sp. NBH84,68,58,40,58,58,47,43,66
Hymenobacter sp. BT18,59,55,427,91,110,201,420,185
Hymenobacter sp. 17J36-26,107,85,150,93,69,82,105,60
Hymenobacter sp. DG01,61,56,57,46,36,35,50,16
Hymenobacter sp. APR13,58,87,550,113,146,241,491,260
Hymenobacter sp. HDW8,65,64,42,55,0,0,27,0
Hymenobacter sp. BRD128,29,15,79,28,19,30,92,38
Hymenobacter sp. BRD72,31,42,266,76,107,160,308,135
Hymenobacter sp. DG25A,30,40,29,38,76,39,38,31
Hymenobacter sp. DG25B,15,39,0,14,0,0,0,0
Hymenobacter sp. BRD67,12,16,11,24,0,0,0,14
Hymenobacter jejuensis,121,75,258,148,192,195,282,227
Hymenobacter swuensis,99,69,40,55,0,0,0,0
Hymenobacter nivis,83,47,497,123,177,309,592,260
Hymenobacter oligotrophus,64,63,320,80,61,175,362,154
Hymenobacter sedentarius,61,91,396,111,151,211,344,180
Pontibacter sp. SGAir0037,116,82,97,77,121,63,80,45
Pontibacter korlensis,102,127,627,139,146,341,649,315
Pontibacter pudoricolor,90,101,324,126,46,155,262,134
Pontibacter russatus,85,46,23,48,92,69,52,38
Pontibacter akesuensis,84,102,107,119,168,118,106,82
Pontibacter actiniarum,66,81,277,73,62,162,296,121
Rufibacter sp. DG31D,68,67,48,61,30,23,23,18
Rufibacter sp. DG15C,74,99,632,166,273,368,713,351
Rufibacter tibetensis,66,59,96,70,31,59,91,54
Adhaeribacter swui,74,83,476,133,139,273,499,207
Adhaeribacter sp. KUDC8001,51,61,66,25,26,34,72,31
Nibribacter sp. BT10,99,75,106,60,16,43,67,41
Spirosoma sp. BT328,101,65,27,53,49,22,33,15
Spirosoma sp. CJU-R4,85,74,48,96,163,118,90,65
Spirosoma sp. KCTC 42546,72,109,316,101,76,165,309,143
Spirosoma sp. TS118,59,111,398,149,202,272,390,244
Spirosoma sp. PL0136,55,37,20,29,0,0,0,0
Spirosoma sp. KUDC1026,49,69,329,90,95,186,358,164
Spirosoma sp. I-24,43,66,106,62,23,35,85,44
Spirosoma rigui,120,95,42,76,53,31,33,26
Spirosoma radiotolerans,86,88,57,65,74,63,43,74
Spirosoma montaniterrae,46,66,300,74,91,147,276,186
Spirosoma pollinicola,43,65,334,83,63,160,325,164
Spirosoma aerolatum,41,43,31,27,0,0,22,13
Runella sp. SP2,104,55,16,60,0,0,0,0
Runella sp. HYN0085,70,67,121,58,81,72,118,91
Runella slithyformis,72,86,88,76,66,81,67,67
Fibrella sp. ES10-3-2-2,141,147,339,143,78,149,285,149
Fibrella aestuarina,87,88,325,112,147,185,308,188
Dyadobacter fermentans,145,170,84,141,163,90,87,84
Cytophaga hutchinsonii,97,63,70,60,11,17,35,22
Rhodocytophaga sp. 172606-1,96,107,78,64,38,38,48,35
Arcticibacterium luteifluviistationis,93,87,117,74,11,34,73,32
Allopseudarcicella aquatilis,73,48,20,47,0,0,0,0
Leadbetterella byssophila,71,59,192,57,34,99,192,82
Echinicola strongylocentroti,92,83,279,98,41,115,247,143
Echinicola rosea,109,138,426,117,127,226,463,270
Echinicola vietnamensis,83,54,83,61,0,29,61,45
Echinicola sp. LN3S3,57,66,259,66,60,118,256,123
Cyclobacterium amurskyense,72,61,22,36,0,0,0,0
Cyclobacterium marinum,75,91,126,64,15,54,118,70
Algoriphagus sanaruensis,63,56,28,53,40,38,30,62
Algoriphagus machipongonensis,52,51,136,60,84,81,134,100
Aquiflexum balticum,75,78,535,127,140,276,523,272
Belliella baltica,46,23,11,33,0,0,0,0
Flammeovirga sp. MY04,143,98,31,93,34,21,12,15
Flammeovirga pectinis,62,67,31,41,0,0,0,0
Flammeovirgaceae bacterium 311,104,159,898,196,170,446,907,439
Chryseolinea soli,91,116,283,113,164,173,224,185
Cardinium endosymbiont of Sogatella furcifera,20,45,365,73,55,175,387,185
Candidatus Cardinium hertigii,15,0,0,0,0,0,0,0
Cardinium endosymbiont of Encarsia pergandiella,13,0,0,0,0,0,0,0
Candidatus Amoebophilus asiaticus,16,15,117,21,31,46,97,54
Bernardetia litoralis,62,44,82,50,0,28,59,40
Roseivirga pacifica,40,34,18,39,30,23,19,16
Marivirga tractuosa,59,38,15,25,0,0,0,0
Cytophagales bacterium TFI 002,39,39,44,27,0,22,38,20
Sphingobacterium sp. ML3W,114,76,44,77,28,36,27,31
Sphingobacterium sp. DR205,99,99,139,92,19,35,67,43
Sphingobacterium sp. dk4302,64,44,24,32,0,0,0,0
Sphingobacterium sp. CZ-2,64,62,112,65,64,86,108,69
Sphingobacterium sp. B29,58,83,363,66,72,192,337,173
Sphingobacterium sp. G1-14,53,27,37,25,0,25,42,0
Sphingobacterium sp. 21,79,61,13,32,0,0,0,0
Sphingobacterium hotanense,131,103,70,103,51,73,48,94
Sphingobacterium thalpophilum,129,162,812,239,247,413,786,379
Sphingobacterium lactis,119,96,251,88,35,89,226,79
Sphingobacterium psychroaquaticum,110,76,35,66,42,44,34,62
Sphingobacterium mizutaii,94,85,72,79,31,54,41,62
Sphingobacterium daejeonense,86,100,162,77,23,54,122,57
Sphingobacterium multivorum,109,159,140,102,0,35,76,32
Mucilaginibacter sp. HYN0043,107,125,547,158,118,270,462,227
Mucilaginibacter sp. F39-2,101,84,250,96,45,117,176,86
Mucilaginibacter sp. G2-14,93,114,242,130,67,111,229,103
Mucilaginibacter sp. 14171R-50,57,73,114,70,22,42,81,33
Mucilaginibacter sp. PAMC 26640,42,54,143,64,36,63,107,66
Mucilaginibacter paludis,121,94,180,93,99,106,178,83
Mucilaginibacter mallensis,120,148,296,135,58,164,235,148
Mucilaginibacter ginsenosidivorax,104,92,97,74,67,77,83,57
Mucilaginibacter gotjawali,77,98,34,78,0,0,0,0
Mucilaginibacter xinganensis,70,57,113,66,14,43,52,34
Mucilaginibacter rubeus,193,239,725,273,323,486,728,376
Mucilaginibacter ginsenosidivorans,37,30,171,73,59,82,143,85
Pedobacter sp. PACM 27299,159,154,618,168,126,280,620,325
Pedobacter sp. eg,143,106,333,133,57,130,287,154
Pedobacter sp. HDW13,92,92,60,67,12,28,35,16
Pedobacter sp. G11,72,52,33,42,0,0,0,0
Pedobacter sp. KBS0701,67,107,517,113,72,256,462,218
Pedobacter sp. CJ43,51,53,226,61,45,97,206,110
Pedobacter cryoconitis,167,192,90,139,0,0,0,0
Pedobacter ginsengisoli,113,89,270,102,49,120,287,130
Pedobacter heparinus,111,84,280,87,64,122,291,137
Pedobacter steynii,100,144,183,127,35,78,170,63
Pedobacter suwonensis,49,64,232,95,96,119,234,92
Solitalea canadensis,120,153,610,194,124,289,515,251
Pseudopedobacter saltans,119,107,106,87,31,55,69,50
Anseongella ginsenosidimutans,98,108,169,83,82,118,168,112
Sphingobacteriaceae bacterium GW460-11-11-14-LB5,88,54,151,57,25,51,127,67
Olivibacter sp. LS-1,131,155,507,180,110,231,500,243
Chitinophaga sp. XS-30,126,162,354,120,153,195,320,183
Chitinophaga sp. H33E-04,131,220,390,239,194,255,379,170
Chitinophaga sp. MD30,95,92,144,111,78,101,154,88
Chitinophaga sp. 1303,79,0,0,0,0,0,0,0
Chitinophaga pinensis,160,340,1479,383,457,773,1473,762
Chitinophaga caeni,113,83,289,66,46,140,230,109
Arachidicoccus sp. KIS59-12,123,103,226,114,92,114,175,105
Arachidicoccus sp. B3-10,82,73,193,93,52,82,231,109
Arachidicoccus sp. BS20,70,70,71,41,47,37,39,17
Arachidicoccus ginsenosidivorans,44,58,102,65,39,65,99,71
Flavisolibacter tropicus,120,102,340,133,77,164,313,146
Flavisolibacter sp. 17J28-1,111,110,178,93,32,88,171,81
Flavisolibacter ginsenosidimutans,54,94,354,89,114,201,422,184
Niabella ginsenosidivorans,81,70,65,46,23,39,61,55
Niabella soli,74,62,15,34,0,0,0,0
Niastella koreensis,146,112,337,131,51,166,274,158
Paraflavitalea soli,125,99,102,95,53,56,86,47
Filimonas lacunae,124,112,112,74,18,43,80,42
Lacibacter sp. S13-6-6,120,94,55,69,0,0,21,0
