name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pseudomonas mendocina	300	species	5293211	5	3	0.0
Pseudomonas putida	303	species	6888188	25	8	0.0
Ralstonia solanacearum	305	species	11186335	11	8	0.0
Pseudomonas stutzeri	316	species	7755802	11	7	0.0
Pseudomonas syringae	317	species	6129101	11	3	0.0
Ralstonia pickettii	329	species	6378979	9	3	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	1	0	0.0
Burkholderia glumae	337	species	7333967	2	0	0.0
Xanthomonas campestris	339	species	7063896	11	3	0.0
Xanthomonas translucens	343	species	4638247	4	0	0.0
Xanthomonas citri	346	species	17318955	7	1	0.0
Xanthomonas oryzae	347	species	17545599	7	4	0.0
Azotobacter chroococcum	353	species	5192286	2	1	0.0
Azotobacter vinelandii	354	species	5351632	6	3	0.0
Agrobacterium tumefaciens	358	species	9211775	5	2	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
