taxon	nb	tax_abundance	sample
360807	1	0.5396644693290424	healthy_stool_100_1
487174	1	0.521128480687044	healthy_stool_100_1
2173	1	0.5105266858990588	healthy_stool_100_1
28052	1	0.5044577264691837	healthy_stool_100_1
45851	1	0.5032946638405664	healthy_stool_100_1
46503	1	0.48721630710156105	healthy_stool_100_1
40520	1	0.48172841739497724	healthy_stool_100_1
214856	1	0.44739632076801	healthy_stool_100_1
818	1	0.4301101796432632	healthy_stool_100_1
418240	1	0.3963965618319824	healthy_stool_100_1
166486	1	0.3743737677839316	healthy_stool_100_1
626940	1	0.32282974624224364	healthy_stool_100_1
817	1	0.3215309862529161	healthy_stool_100_1
363265	1	0.32071169974588504	healthy_stool_100_1
28111	1	0.3150410812332427	healthy_stool_100_1
39486	1	0.28270006757549304	healthy_stool_100_1
246787	1	0.2812352249423253	healthy_stool_100_1
1681	1	0.27097336680920703	healthy_stool_100_1
28118	1	0.2584932397352864	healthy_stool_100_1
46228	1	0.25150476557682927	healthy_stool_100_1
371601	1	0.24811553785466114	healthy_stool_100_1
1628085	1	0.2439762946300858	healthy_stool_100_1
28026	1	0.2332411965154092	healthy_stool_100_1
301301	1	0.2157600548494089	healthy_stool_100_1
1304	1	0.2125557962962173	healthy_stool_100_1
33038	1	0.21039677738655474	healthy_stool_100_1
116085	1	0.20698811431388436	healthy_stool_100_1
1308	1	0.20107464115430135	healthy_stool_100_1
28125	1	0.18829417604226822	healthy_stool_100_1
1501391	1	0.17668318846082218	healthy_stool_100_1
1735	1	0.17165364303764005	healthy_stool_100_1
204516	1	0.16483651793569648	healthy_stool_100_1
573	1	0.15349657844912162	healthy_stool_100_1
1550024	1	0.15217151759281095	healthy_stool_100_1
745368	1	0.1486526873600575	healthy_stool_100_1
329854	1	0.1295109260761706	healthy_stool_100_1
328814	1	0.12742097943857453	healthy_stool_100_1
100886	1	0.12509096965316346	healthy_stool_100_1
310298	1	0.12316417897592578	healthy_stool_100_1
1686	1	0.12226746765246348	healthy_stool_100_1
446660	1	0.1160794466253035	healthy_stool_100_1
292800	1	0.11208743071581775	healthy_stool_100_1
338188	1	0.10468452985749438	healthy_stool_100_1
33025	1	0.10119396008713545	healthy_stool_100_1
674529	1	0.09711608824816648	healthy_stool_100_1
487175	1	0.09636561635413576	healthy_stool_100_1
572010	1	0.09264106557644489	healthy_stool_100_1
1683	1	0.09246581003874409	healthy_stool_100_1
39490	1	0.0924593581632786	healthy_stool_100_1
1623	1	0.08859474484122709	healthy_stool_100_1
218538	1	0.08600404762844184	healthy_stool_100_1
39496	1	0.0838151183140189	healthy_stool_100_1
28127	1	0.08375017898581713	healthy_stool_100_1
1260	1	0.08072783120003317	healthy_stool_100_1
119219	1	0.07865468439575973	healthy_stool_100_1
901	1	0.07807644661135932	healthy_stool_100_1
187327	1	0.07635058378933259	healthy_stool_100_1
454155	1	0.07353020604924429	healthy_stool_100_1
261299	1	0.07308374990099159	healthy_stool_100_1
28025	1	0.07048334483404028	healthy_stool_100_1
291644	1	0.06979459557385272	healthy_stool_100_1
1318	1	0.06795600633240112	healthy_stool_100_1
84112	1	0.058731621097309894	healthy_stool_100_1
386414	1	0.05812071838252091	healthy_stool_100_1
1352	1	0.05671489585155017	healthy_stool_100_1
28128	1	0.0565921992972057	healthy_stool_100_1
626929	1	0.05413310578560702	healthy_stool_100_1
244366	1	0.05221355613694103	healthy_stool_100_1
471189	1	0.05048028590559965	healthy_stool_100_1
