"full_sample_name","pipeline","TP","precision","recall","F1","abundance_threshold"
"healthy_stool_100_50_1mil_err","Bracken",51.6422131856607,0.117636020924056,0.516422131856607,0.19162231237722,0
"healthy_stool_100_50_1mil_err","Centrifuge",36.5763885521044,0.0125865067281846,0.365763885521044,0.0243355878590182,0
"healthy_stool_100_50_1mil_err","Ground Truth",100,1,1,1,0
"healthy_stool_100_50_1mil_err","Kraken2",51.7328584076582,0.0140923068394601,0.517328584076582,0.0274372094445283,0
"healthy_stool_100_50_1mil_err","MetaScope",72.687115759402,0.222966612758902,0.72687115759402,0.341254064598132,0
"healthy_stool_100_50_1mil_err","MetaScope Blast",57.5928954752918,0.160425892688835,0.575928954752918,0.250949435622186,0
"healthy_stool_100_50_1mil_err","MetaScope Priors",72.695234438396,0.190301660833497,0.72695234438396,0.301639976922805,0
"healthy_stool_100_50_1mil_err","PathoScope2",38.5914895507932,0.877079307972572,0.385914895507932,0.535992910427683,0
"healthy_stool_100_50_1mil_err","mOTUs",75.7652913895111,0.773115218260317,0.757652913895111,0.765305973631425,0
"healthy_stool_100_50_1mil_noerr","Bracken",51.6460570548799,0.100478710223502,0.516460570548799,0.16822819887583,0
"healthy_stool_100_50_1mil_noerr","Centrifuge",36.5779027555715,0.012466906187993,0.365779027555715,0.024111999179678,0
"healthy_stool_100_50_1mil_noerr","Ground Truth",100,1,1,1,0
"healthy_stool_100_50_1mil_noerr","Kraken2",51.7521616176908,0.0119327096190203,0.517521616176909,0.0233275463681275,0
"healthy_stool_100_50_1mil_noerr","MetaScope",72.6890648039164,0.213164412914711,0.726890648039164,0.329655622693498,0
"healthy_stool_100_50_1mil_noerr","MetaScope Blast",59.5839527336739,0.160171915950736,0.595839527336739,0.252474375990144,0
"healthy_stool_100_50_1mil_noerr","MetaScope Priors",72.6956177064343,0.184976126479477,0.726956177064343,0.294911228017989,0
"healthy_stool_100_50_1mil_noerr","PathoScope2",40.6049154472488,0.902331454383308,0.406049154472488,0.560067799272398,0
"healthy_stool_100_50_1mil_noerr","mOTUs",75.8414828118355,0.773892681753423,0.758414828118355,0.766075583957934,0
"healthy_stool_10_100_100k_err","Bracken",5.72013959758602,0.100353326273439,0.0572013959758602,0.0728680203514143,0
"healthy_stool_10_100_100k_err","Centrifuge",3.67374624946421,0.00186201026328647,0.0367374624946421,0.00354437650696016,0
"healthy_stool_10_100_100k_err","Ground Truth",10,1,0.1,0.181818181818182,0
"healthy_stool_10_100_100k_err","Kraken2",5.77963346692641,0.00800503250266815,0.0577963346692641,0.0140623685326677,0
"healthy_stool_10_100_100k_err","MetaScope",6.6390355050328,0.108836647623489,0.066390355050328,0.0824724907457491,0
"healthy_stool_10_100_100k_err","MetaScope Blast",5.54899379544766,0.0956723068180631,0.0554899379544766,0.0702404277904767,0
"healthy_stool_10_100_100k_err","MetaScope Priors",6.63402387244649,0.0809027301517864,0.0663402387244649,0.0729013612356757,0
"healthy_stool_10_100_100k_err","PathoScope2",6.63652042787804,0.28854436642948,0.0663652042787805,0.10791090126631,0
"healthy_stool_10_100_100k_err","mOTUs",6.76753505746675,0.676753505746675,0.0676753505746675,0.123046091953941,0
"healthy_stool_10_100_100k_noerr","Bracken",5.72323958225623,0.0854214863023318,0.0572323958225623,0.0685417914042662,0
"healthy_stool_10_100_100k_noerr","Centrifuge",3.65112311811579,0.00190162662401864,0.0365112311811579,0.00361497338427306,0
"healthy_stool_10_100_100k_noerr","Ground Truth",10,1,0.1,0.181818181818182,0
"healthy_stool_10_100_100k_noerr","Kraken2",5.78703358327307,0.00603444586368412,0.0578703358327307,0.0109292418947556,0
"healthy_stool_10_100_100k_noerr","MetaScope",6.6414364640884,0.116516429194533,0.066414364640884,0.0846042861667312,0
"healthy_stool_10_100_100k_noerr","MetaScope Blast",5.54948724426732,0.110989744885346,0.0554948724426732,0.0739931632568977,0
"healthy_stool_10_100_100k_noerr","MetaScope Priors",6.64450301586497,0.0949214716552139,0.0664450301586497,0.0781706237160585,0
"healthy_stool_10_100_100k_noerr","PathoScope2",6.63037369099695,0.331518684549848,0.0663037369099695,0.110506228183283,0
"healthy_stool_10_100_100k_noerr","mOTUs",6.8790934058,0.6253721278,0.068790934058,0.123947628933333,0
"healthy_stool_10_100_10mil_err","Bracken",5.72658277681574,0.00370892666892211,0.0572658277681574,0.00696664571388777,0
"healthy_stool_10_100_10mil_err","Centrifuge",3.67046758791203,0.00109960083520432,0.0367046758791203,0.0021352341989017,0
"healthy_stool_10_100_10mil_err","Ground Truth",10,1,0.1,0.181818181818182,0
"healthy_stool_10_100_10mil_err","Kraken2",5.77991228049468,0.00176485871160143,0.0577991228049468,0.00342513320325611,0
